ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1609185.42,26.42,0.85,236851.85,3.89
1608929.68,26.42,0.85,236851.85,3.89
1609342.65,26.43,0.86,236745.88,3.89
1609342.65,26.43,0.86,236740.02,3.89
1609342.65,26.43,0.86,237248.38,3.9
1609275.77,26.44,0.86,237337.51,3.9
1609208.89,26.44,0.86,237485.15,3.9
1609363.45,26.44,0.87,237170.98,3.9
1609665.65,26.45,0.88,243472.8,4.0
1609740.42,26.46,0.88,242983.5,3.99
1609894.98,26.46,0.89,242669.34,3.99
1610084.43,26.47,0.89,242755.26,3.99
1609828.7,26.47,0.89,242733.31,3.99
1615480.58,26.56,0.99,243885.9,4.01
1615480.58,26.56,0.99,243885.9,4.01
1615480.58,26.56,0.99,243885.9,4.01
1615480.58,26.56,0.99,243963.09,4.01
1615480.58,26.56,0.99,243963.09,4.01
1615224.84,26.56,0.99,243913.42,4.01
1615157.96,26.56,0.99,244204.38,4.02
1614782.77,26.56,0.98,244031.27,4.01
1614527.03,26.56,0.99,243987.5,4.01
1614460.15,26.56,0.99,244076.62,4.02
1613718.56,26.55,0.98,243284.82,4.0
1613651.68,26.56,0.98,243432.46,4.01
1613651.68,26.56,0.98,243432.46,4.01
1614194.55,26.57,0.99,243510.75,4.01
1613894.95,26.56,0.99,243176.23,4.0
1613835.05,26.56,0.99,243061.96,4.0
1613579.31,26.56,0.99,243061.96,4.0
1613992.28,26.58,1.0,242955.99,4.0
1613992.28,26.58,1.0,242913.72,4.0
1614067.16,26.58,1.0,243491.87,4.01
1617772.09,26.64,1.06,250648.64,4.13
1617772.09,26.64,1.06,250648.64,4.13
1617705.2,26.64,1.07,250737.76,4.13
1618063.3,26.65,1.07,251124.67,4.14
1617401.5,26.64,1.07,250508.0,4.13
1617145.76,26.64,1.07,250521.59,4.13
1617145.76,26.64,1.07,250521.59,4.13
1617078.88,26.64,1.07,250610.71,4.13
1616918.63,26.64,1.07,250692.16,4.13
1616918.63,26.64,1.07,250692.16,4.13
1616367.91,26.64,1.06,250121.17,4.12
1616112.17,26.64,1.06,250063.81,4.12
1615856.43,26.64,1.06,250077.4,4.12
1615856.43,26.64,1.06,250077.4,4.12
1615600.69,26.64,1.06,250020.04,4.12
1615217.1,26.63,1.06,249610.74,4.12
1615503.45,26.64,1.06,249948.91,4.12
1615503.45,26.64,1.06,249944.4,4.12
1615170.1,26.63,1.06,249857.05,4.12
1614428.51,26.63,1.05,249065.25,4.11
1614372.55,26.63,1.06,248546.3,4.1
1614372.55,26.63,1.06,248585.73,4.1
1614619.79,26.63,1.06,248713.59,4.1
1614619.79,26.63,1.06,248713.59,4.1
1614241.48,26.63,1.06,248398.71,4.1
1614407.26,26.64,1.06,248354.94,4.1
1614596.71,26.64,1.07,249182.04,4.11
1614529.83,26.64,1.07,249271.17,4.11
1614238.31,26.64,1.07,248829.66,4.11
1613982.57,26.64,1.07,248785.89,4.11
1613726.83,26.64,1.07,248785.89,4.11
1613881.39,26.65,1.07,248471.72,4.1
1613956.27,26.65,1.07,249049.87,4.11
1614030.14,26.65,1.08,249413.91,4.12
1617735.06,26.71,1.14,256570.68,4.24
1617479.32,26.71,1.14,256584.28,4.24
1617223.58,26.71,1.14,256526.91,4.24
1616482.0,26.71,1.13,255735.11,4.23
1616415.12,26.71,1.13,255824.23,4.23
1616415.12,26.71,1.13,255820.9,4.23
1616029.93,26.7,1.13,255625.3,4.22
1616029.93,26.7,1.13,255621.24,4.22
1615774.19,26.7,1.13,255619.64,4.22
1615518.45,26.7,1.13,255577.47,4.22
1615518.45,26.7,1.13,255577.47,4.22
1615262.71,26.71,1.13,255533.7,4.22
1615006.97,26.71,1.13,255533.7,4.23
1614762.15,26.71,1.13,254822.31,4.21
1614419.94,26.7,1.13,254427.72,4.21
