ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
2061042.11,33.87,0.21,188137.96,3.09
2061131.79,33.87,0.21,188315.62,3.09
2061016.53,33.88,0.21,188486.42,3.1
2060637.58,33.87,0.21,188425.39,3.1
2060590.21,33.88,0.22,189264.43,3.11
2060590.21,33.88,0.22,189264.43,3.11
2060590.21,33.88,0.22,189264.48,3.11
2060378.63,33.88,0.21,189062.6,3.11
2060120.0,33.87,0.21,188828.81,3.1
2060313.68,33.88,0.22,188584.13,3.1
2060145.79,33.88,0.22,188580.63,3.1
2059766.84,33.88,0.22,188580.63,3.1
2059598.95,33.88,0.22,188580.63,3.1
2059598.95,33.88,0.22,188667.68,3.1
2059598.95,33.88,0.22,188844.93,3.11
2059220.0,33.88,0.22,188844.93,3.11
2059052.11,33.88,0.22,189414.93,3.12
2059052.11,33.88,0.22,189414.93,3.12
2059052.11,33.88,0.22,189414.93,3.12
2058863.16,33.88,0.22,189414.93,3.12
1256502.32,20.68,0.53,243001.57,4.0
1255916.63,20.67,0.53,242307.62,3.99
1255674.53,20.67,0.53,242150.5,3.99
1255464.0,20.67,0.53,241654.62,3.98
1255581.89,20.68,0.53,241650.42,3.98
1255413.47,20.68,0.53,241519.68,3.98
1255350.84,20.68,0.53,240802.67,3.97
1255350.84,20.68,0.53,240802.23,3.97
1255140.32,20.68,0.53,240798.84,3.97
1254929.79,20.68,0.53,240955.9,3.97
1254719.26,20.68,0.53,240554.36,3.96
1254656.63,20.68,0.53,240546.49,3.96
1255000.0,20.69,0.54,240496.03,3.96
1254669.26,20.68,0.54,240665.25,3.97
1254500.84,20.68,0.54,240530.13,3.97
1254714.32,20.69,0.54,240492.71,3.97
1254503.79,20.69,0.54,240379.67,3.96
1254293.26,20.69,0.54,240382.84,3.97
1254013.47,20.69,0.54,241986.16,3.99
1253802.95,20.69,0.54,241989.02,3.99
1253761.37,20.69,0.54,241366.78,3.98
1253804.0,20.69,0.54,241511.15,3.99
1253593.47,20.69,0.54,240834.15,3.98
1253593.47,20.69,0.54,240834.15,3.98
1253404.0,20.69,0.54,240835.0,3.98
1253617.47,20.7,0.55,240825.14,3.98
1253406.95,20.7,0.55,241118.9,3.98
1253042.95,20.69,0.55,240981.81,3.98
1253308.74,20.7,0.55,241006.16,3.98
1253098.21,20.7,0.55,241007.33,3.98
1253077.68,20.7,0.55,241002.84,3.98
1253057.16,20.7,0.56,241002.32,3.98
1252729.79,20.7,0.55,240896.01,3.98
1252709.26,20.7,0.56,240896.01,3.98
1252827.16,20.71,0.56,240895.42,3.98
1252608.21,20.7,0.56,240867.76,3.98
1252608.21,20.7,0.56,240867.76,3.98
1252608.21,20.7,0.56,240867.76,3.98
1252608.21,20.7,0.56,240867.76,3.98
1252397.68,20.7,0.56,240863.93,3.98
1252377.16,20.71,0.56,240863.93,3.98
1251492.95,20.7,0.56,241173.93,3.99
1251282.42,20.7,0.56,241259.94,3.99
1251071.89,20.7,0.56,241365.24,3.99
1250861.37,20.7,0.56,241361.41,4.0
1250650.84,20.7,0.56,241411.12,4.0
1250440.32,20.7,0.56,241388.6,4.0
1250653.79,20.71,0.57,241368.01,4.0
1250443.26,20.71,0.57,241375.13,4.0
1250232.74,20.71,0.57,241709.98,4.0
1249910.84,20.71,0.56,243084.65,4.03
1249742.42,20.71,0.56,242953.92,4.03
1249531.89,20.71,0.56,242818.1,4.02
1249511.37,20.71,0.56,242806.18,4.02
1249300.84,20.71,0.56,242803.44,4.02
1249514.32,20.71,0.57,242802.34,4.03
1249303.79,20.71,0.57,242864.49,4.03
1249114.32,20.71,0.57,242684.95,4.02
1248903.79,20.71,0.57,242679.96,4.03
1248693.26,20.71,0.57,242683.13,4.03
1248545.89,20.71,0.57,242610.45,4.03
1248191.89,20.71,0.57,242553.3,4.02
1247981.37,20.71,0.57,242546.3,4.03
1247981.37,20.71,0.57,242546.3,4.03
1247770.84,20.71,0.57,242546.3,4.03
1247560.32,20.71,0.57,242682.89,4.03
1247349.79,20.71,0.57,242621.77,4.03
1247040.84,20.71,0.56,242621.74,4.03
1246999.26,20.71,0.56,242704.72,4.03
1246978.74,20.71,0.57,242702.15,4.03
1247199.26,20.72,0.57,242700.89,4.03
1247412.74,20.72,0.58,242741.37,4.03
1247412.74,20.72,0.58,242741.37,4.03
1247827.89,20.73,0.59,243257.49,4.04
1247463.89,20.72,0.58,243233.52,4.04
1247258.0,20.72,0.58,243319.63,4.04
1247047.47,20.72,0.58,243271.57,4.04
1247026.95,20.72,0.58,243268.99,4.04
1246816.42,20.72,0.58,243267.73,4.04
1246795.89,20.73,0.58,243267.73,4.04
1246795.89,20.73,0.58,243905.63,4.05
1246506.0,20.72,0.58,243544.77,4.05
1246295.47,20.72,0.58,243689.21,4.05
1246084.95,20.72,0.58,243685.38,4.05
1246064.42,20.73,0.58,243685.38,4.05
1245853.89,20.73,0.58,243740.94,4.05
1245643.37,20.73,0.58,243710.27,4.06
1245856.84,20.73,0.59,243706.83,4.06
1245646.32,20.73,0.59,243706.44,4.06
1245625.79,20.73,0.59,243706.44,4.06
1245415.26,20.73,0.59,244009.19,4.06
1245051.26,20.73,0.59,243862.05,4.06
1245051.26,20.73,0.59,243862.05,4.06
1245030.74,20.73,0.59,243859.48,4.06
1245010.21,20.73,0.59,243858.22,4.06
1245010.21,20.73,0.59,243858.22,4.06
1244799.68,20.73,0.59,243858.22,4.06
1244652.32,20.74,0.59,243785.55,4.06
1244427.16,20.73,0.59,243730.99,4.06
