ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
287,696,619700,6212,619700
288,698,620700,6212,620700
288,698,621510,6212,621510
289,700,622510,6212,622510
289,700,623510,6212,623510
290,702,625510,6212,625510
291,704,625980,6212,625980
291,704,626980,6212,626980
292,706,627980,6212,627980
292,706,627980,6212,627980
292,706,628630,6212,628630
293,708,629630,6212,629630
293,708,630630,6212,630630
293,708,631630,6212,631630
293,708,631630,6212,631630
294,710,632440,6212,632440
294,710,633440,6212,633440
295,712,634250,6212,634250
295,712,634570,6212,634570
295,712,635570,6212,635570
296,716,636570,6212,636570
296,716,637570,6212,637570
296,716,638570,6212,638570
296,716,639380,6212,639380
296,716,639380,6212,639380
297,718,640380,6212,640380
297,718,640970,6212,640970
297,718,641970,6212,641970
298,722,642970,6212,642970
298,722,643200,6212,643200
298,722,645200,6212,645200
298,722,645670,6212,645670
299,724,646670,6212,646670
299,724,647670,6212,647670
300,728,651670,6212,651670
301,730,652670,6212,652670
301,730,653670,6212,653670
301,730,654260,6212,654260
301,730,655070,6212,655070
302,732,656070,6212,656070
302,732,656070,6212,656070
302,732,656540,6212,656540
302,732,656540,6212,656540
303,734,657540,6212,657540
303,734,658540,6212,658540
304,736,659350,6212,659350
304,736,660000,6212,660000
305,738,660810,6212,660810
306,746,660810,6212,660810
306,746,661620,6212,661620
306,746,662620,6212,662620
306,746,670620,6212,670620
307,748,671620,6212,671620
307,748,672620,6212,672620
308,750,673620,6212,673620
308,750,674270,6212,674270
309,754,675270,6212,675270
310,762,675270,6212,675270
311,764,676270,6212,676270
311,764,676590,6212,676590
312,766,677400,6212,677400
312,766,678210,6212,678210
312,766,679210,6212,679210
312,766,679210,6212,679210
313,770,680210,6212,680210
313,770,680680,6212,680680
313,770,681680,6212,681680
313,770,682680,6212,682680
313,770,682680,6212,682680
313,770,683680,6212,683680
314,772,684680,6212,684680
314,772,685150,6212,685150
315,774,686150,6212,686150
315,774,686620,6212,686620
315,774,687620,6212,687620
315,774,687620,6212,687620
316,776,688620,6212,688620
317,784,688620,6212,688620
317,784,689090,6212,689090
317,784,689560,6212,689560
318,786,690560,6212,690560
318,786,691560,6212,691560
319,788,692370,6212,692370
319,788,692600,6212,692600
319,788,693410,6212,693410
320,790,694410,6212,694410
321,792,695220,6212,695220
321,792,695870,6212,695870
322,794,696680,6212,696680
322,794,697490,6212,697490
322,794,697960,6212,697960
322,794,698960,6212,698960
323,798,699960,6212,699960
324,800,700960,6212,700960
324,800,701960,6212,701960
325,802,702960,6212,702960
326,804,703770,6212,703770
327,812,703770,6212,703770
327,812,704770,6212,704770
328,814,705580,6212,705580
328,814,706580,6212,706580
328,814,707050,6212,707050
328,814,708050,6212,708050
329,816,708860,6212,708860
329,816,709860,6212,709860
330,818,710860,6212,710860
330,818,711860,6212,711860
331,822,712860,6212,712860
332,824,713860,6212,713860
332,824,714860,6212,714860
333,826,715860,6212,715860
333,826,716670,6212,716670
334,828,717670,6212,717670
334,828,718670,6212,718670
335,830,719140,6212,719140
336,832,719950,6212,719950
336,832,719950,6212,719950
336,832,720950,6212,720950
336,832,721420,6212,721420
336,832,721740,6212,721740
337,836,722740,6212,722740
338,840,723740,6212,723740
338,840,724550,6212,724550
338,840,724550,6212,724550
338,840,724870,6212,724870
338,840,725520,6212,725520
338,840,726110,6212,726110
338,840,727110,6212,727110
338,840,728110,6212,728110
339,842,728920,6212,728920
339,842,729240,6212,729240
339,842,729240,6212,729240
339,842,730240,6212,730240
340,844,731240,6212,731240
340,844,732240,6212,732240
341,846,732710,6212,732710
341,846,733710,6212,733710
341,846,734180,6212,734180
341,846,734180,6212,734180
341,846,734180,6212,734180
341,846,734180,6212,734180
341,846,742180,6212,742180
341,846,742180,6212,742180
342,848,743180,6212,743180
342,848,744180,6212,744180
343,850,744650,6212,744650
343,850,745120,6212,745120
343,850,746120,6212,746120
343,850,746120,6212,746120
344,852,747120,6212,747120
344,852,747770,6212,747770
344,852,747770,6212,747770
345,854,748240,6212,748240
345,854,749240,6212,749240
345,854,749240,6212,749240
346,856,750240,6212,750240
347,858,751050,6212,751050
347,858,752050,6212,752050
347,858,752050,6212,752050
347,858,752520,6212,752520
347,858,752990,6212,752990
348,862,753990,6212,753990
348,862,754990,6212,754990
349,864,755800,6212,755800
349,864,756800,6212,756800
350,866,757800,6212,757800
350,866,758260,6212,758260
350,866,758260,6212,758260
350,866,759260,6212,759260
351,868,760260,6212,760260
351,868,760260,6212,760260
352,870,762260,6212,762260
352,870,762260,6212,762260
352,870,762260,6212,762260
352,870,762910,6212,762910
353,872,763910,6212,763910
354,874,764720,6212,764720
354,874,765720,6212,765720
354,874,766720,6212,766720
355,876,767720,6212,767720
356,878,768530,6212,768530
356,878,769530,6212,769530
356,878,770530,6212,770530
356,878,770530,6212,770530
357,880,771530,6212,771530
357,880,771530,6212,771530
357,880,772530,6212,772530
358,882,773000,6212,773000
358,882,773000,6212,773000
358,882,773230,6212,773230
358,882,774230,6212,774230
358,882,774450,6212,774450
358,882,774450,6212,774450
358,882,774770,6212,774770
359,886,775770,6212,775770
359,886,775770,6212,775770
359,886,776090,6212,776090
359,886,784090,6212,784090
359,886,784410,6212,784410
360,894,784410,6212,784410
360,894,785410,6212,785410
361,898,786410,6212,786410
362,900,787410,6212,787410
362,900,788060,6212,788060
363,908,796060,6212,796060
363,908,796610,6212,796610
363,908,797080,6212,797080
363,908,798080,6212,798080
363,908,798400,6212,798400
364,910,798870,6212,798870
364,910,798870,6212,798870
364,910,799870,6212,799870
364,910,799870,6212,799870
365,912,800870,6212,800870
366,920,800870,6212,800870
367,922,801680,6212,801680
367,922,802150,6212,802150
367,922,802960,6212,802960
367,922,803960,6212,803960
367,922,803960,6212,803960
368,924,804960,6212,804960
368,924,805960,6212,805960
368,924,806420,6212,806420
368,924,806580,6212,806580
368,924,807580,6212,807580
369,926,808580,6212,808580
369,926,809230,6212,809230
370,928,810230,6212,810230
370,928,810230,6212,810230
370,928,810230,6212,810230
371,930,811040,6212,811040
371,930,811850,6212,811850
371,930,812850,6212,812850
371,930,813170,6212,813170
372,932,813980,6212,813980
372,932,814090,6212,814090
372,932,814090,6212,814090
372,932,814900,6212,814900
372,932,814900,6212,814900
373,934,815900,6212,815900
373,934,815900,6212,815900
373,934,823900,6212,823900
373,934,824360,6212,824360
373,934,824710,6212,824710
373,934,825170,6212,825170
373,934,826170,6212,826170
374,936,827170,6212,827170
374,936,827820,6212,827820
375,938,828630,6212,828630
375,938,829630,6212,829630
375,938,829630,6212,829630
376,940,830630,6212,830630
376,940,831630,6212,831630
377,942,832440,6212,832440
377,942,833440,6212,833440
378,944,834440,6212,834440
378,944,835440,6212,835440
378,944,835440,6212,835440
379,948,836440,6212,836440
379,948,844440,6212,844440
380,950,845250,6212,845250
380,950,846250,6212,846250
