ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
930312.12,15.51,3.24,810728.1,13.51
930515.49,15.51,3.25,810429.28,13.51
930718.85,15.52,3.25,810130.46,13.51
930935.81,15.52,3.26,809792.89,13.5
930205.15,15.51,3.25,809020.8,13.49
929664.49,15.51,3.24,808427.8,13.49
929137.76,15.5,3.24,807901.08,13.48
929856.96,15.51,3.25,808107.05,13.48
930060.33,15.52,3.26,807808.23,13.48
931116.21,15.54,3.27,809566.23,13.51
932219.12,15.56,3.29,810313.91,13.52
932767.74,15.57,3.3,810391.41,13.53
932971.11,15.57,3.31,810092.59,13.52
932853.61,15.57,3.31,809870.93,13.52
932299.36,15.57,3.3,809316.68,13.51
932502.72,15.57,3.31,809017.86,13.51
932438.47,15.57,3.31,808953.61,13.51
932438.47,15.57,3.31,808953.61,13.51
931707.81,15.56,3.3,808181.52,13.5
931671.32,15.56,3.3,808103.72,13.5
931135.4,15.56,3.29,807484.4,13.49
932608.11,15.58,3.32,808402.58,13.51
932608.11,15.58,3.32,808402.58,13.51
932825.07,15.59,3.32,808065.01,13.5
933927.97,15.6,3.34,808812.69,13.51
932497.08,15.6,3.34,807359.34,13.51
932686.51,15.61,3.34,806994.24,13.5
932039.0,15.6,3.33,806242.58,13.49
932587.63,15.61,3.35,806320.08,13.5
931940.13,15.6,3.34,805694.07,13.49
932659.32,15.62,3.35,805900.04,13.49
932659.32,15.62,3.35,805900.04,13.49
932541.82,15.61,3.35,805678.38,13.49
933014.52,15.62,3.36,805596.56,13.49
933733.72,15.64,3.37,805802.53,13.5
