ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
253,602,413460,6212,414240
254,610,421460,6212,422240
255,612,422460,6212,423240
255,612,423270,6212,424050
255,612,423270,6212,424050
256,614,424270,6212,425050
256,614,425270,6212,426050
256,614,425490,6212,426270
257,616,426140,6212,426920
257,616,427140,6212,427920
258,624,428140,6212,428920
259,626,429140,6212,429920
259,626,429790,6212,430570
260,628,430600,6212,431380
260,628,431600,6212,432380
261,630,432250,6212,433030
261,630,432720,6212,433500
261,630,432720,6212,433500
261,630,433530,6212,434310
261,630,434000,6212,434780
261,630,434470,6212,435250
262,634,434940,6212,435720
262,634,434940,6212,436190
263,636,435750,6212,437000
263,636,436750,6212,438000
263,636,437070,6212,438320
263,636,438070,6212,439320
264,638,438880,6212,440130
264,638,439350,6212,440600
264,638,440350,6212,441600
264,638,440670,6212,441920
264,638,441480,6212,442730
264,638,441640,6212,442890
264,638,442640,6212,443890
264,638,443290,6212,444540
264,638,443290,6212,444540
264,638,444290,6212,445540
264,638,444760,6212,446010
265,640,445760,6212,447010
265,640,446080,6212,447330
265,640,447080,6212,448330
266,642,448080,6212,449330
266,642,448080,6212,449700
266,642,449080,6212,450700
266,642,450080,6212,451700
267,644,451080,6212,452700
267,644,452080,6212,453700
267,644,453080,6212,454700
268,646,454080,6212,455700
268,646,455080,6212,456700
268,646,455080,6212,456700
268,646,455080,6212,456700
268,646,455310,6212,456930
269,648,456310,6212,457930
269,648,456310,6212,457930
269,648,456310,6212,458250
269,648,456780,6212,458720
270,650,457780,6212,459720
270,650,458780,6212,460720
270,650,459780,6212,461720
271,652,460590,6212,462530
271,652,461400,6212,463340
271,652,461880,6212,463820
272,660,462880,6212,464820
273,668,463880,6212,465820
273,668,464880,6212,466820
273,668,464880,6212,466820
273,668,465880,6212,467820
274,670,466880,6212,468820
274,670,467690,6212,469630
274,670,468690,6212,470630
274,670,469160,6212,471100
275,672,470160,6212,472100
275,672,470970,6212,472910
276,674,471780,6212,473720
276,674,472780,6212,474720
276,674,473780,6212,475720
277,676,474780,6212,476720
277,676,475590,6212,477530
277,676,475820,6212,477760
278,678,476820,6212,478760
