ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
150,322,241660,6212,241660
150,322,242130,6212,242130
151,324,243130,6212,243130
151,324,243130,6212,243130
152,326,243780,6212,243780
152,326,244590,6212,244590
153,334,252590,6212,252590
154,336,253590,6212,253590
154,336,254590,6212,254590
155,338,255590,6212,255590
156,340,256240,6212,256240
156,340,257240,6212,257240
156,340,257710,6212,257710
156,340,258710,6212,258710
157,342,259710,6212,259710
158,344,260710,6212,260710
158,344,261710,6212,261710
159,346,262710,6212,262710
159,346,262940,6212,262940
159,346,263940,6212,263940
159,346,264940,6212,264940
159,346,265750,6212,265750
160,348,266560,6212,266560
160,348,267030,6212,267030
161,350,268030,6212,268030
161,350,269030,6212,269030
162,352,270030,6212,270030
162,352,271030,6212,271030
162,352,271030,6212,271030
163,354,271580,6212,271580
163,354,272050,6212,272050
164,356,272700,6212,272700
164,356,272700,6212,272700
165,358,273700,6212,273700
165,358,274700,6212,274700
165,358,275510,6212,275510
165,358,275980,6212,275980
166,360,276980,6212,276980
166,360,277980,6212,277980
167,362,278980,6212,278980
168,364,279790,6212,279790
168,364,280790,6212,280790
169,372,288790,6212,288790
169,372,289600,6212,289600
170,374,290600,6212,290600
171,376,291150,6212,291150
171,376,292150,6212,292150
172,378,293150,6212,293150
172,378,293620,6212,293620
172,378,294620,6212,294620
172,378,295430,6212,295430
173,380,296080,6212,296080
174,382,297080,6212,297080
175,384,298080,6212,298080
176,386,299080,6212,299080
176,386,300080,6212,300080
176,386,301080,6212,301080
177,388,302080,6212,302080
177,388,303080,6212,303080
177,388,304080,6212,304080
177,388,304550,6212,304550
178,390,305550,6212,305550
178,390,305550,6212,305550
178,390,306550,6212,306550
178,390,306550,6212,306550
179,392,307550,6212,307550
179,392,308550,6212,308550
179,392,308550,6212,308550
180,394,309550,6212,309550
180,394,309780,6212,309780
180,394,310780,6212,310780
181,396,311780,6212,311780
182,404,311780,6212,311780
182,404,311780,6212,311780
182,404,312240,6212,312240
182,404,313240,6212,313240
183,406,314050,6212,314050
183,406,314050,6212,314050
184,408,315050,6212,315050
184,408,315270,6212,315270
184,408,316270,6212,316270
184,408,317080,6212,317080
185,410,318080,6212,318080
186,412,318540,6212,318540
186,412,319350,6212,319350
187,414,320160,6212,320160
187,414,320810,6212,320810
187,414,321810,6212,321810
187,414,322040,6212,322040
188,416,323040,6212,323040
188,416,324040,6212,324040
189,418,325040,6212,325040
189,418,326040,6212,326040
189,418,326510,6212,326510
190,420,326980,6212,326980
191,422,327980,6212,327980
191,422,328980,6212,328980
192,424,329980,6212,329980
192,424,330980,6212,330980
192,424,331300,6212,331300
193,426,332300,6212,332300
193,426,333110,6212,333110
194,428,333920,6212,333920
194,428,334920,6212,334920
195,430,335920,6212,335920
195,430,336920,6212,336920
195,430,337730,6212,337730
196,432,338540,6212,338540
197,434,339540,6212,339540
197,434,340010,6212,340010
197,434,341010,6212,341010
197,434,341010,6212,341010
197,434,341010,6212,341010
198,436,342010,6212,342010
199,444,342010,6212,342010
199,444,343010,6212,343010
199,444,343010,6212,343010
200,446,343820,6212,343820
201,448,344820,6212,344820
201,448,345050,6212,345050
201,448,346050,6212,346050
201,448,346860,6212,346860
202,450,347670,6212,347670
202,450,347670,6212,347670
203,452,348670,6212,348670
203,452,349020,6212,349020
203,452,350020,6212,350020
204,454,351020,6212,351020
204,454,351020,6212,351020
204,454,351340,6212,351340
204,454,352340,6212,352340
205,456,353340,6212,353340
