ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
466,2262,434780,6212,434780
466,2262,435250,6212,435250
467,2264,435720,6212,435720
467,2264,436190,6212,436190
468,2272,437000,6212,437000
469,2280,438000,6212,438000
470,2284,438320,6212,438320
471,2286,439320,6212,439320
472,2294,440130,6212,440130
473,2302,440600,6212,440600
474,2304,441600,6212,441600
474,2304,441920,6212,441920
475,2312,442730,6212,442730
476,2320,442890,6212,442890
476,2320,443890,6212,443890
476,2320,444540,6212,444540
477,2324,444540,6212,444540
478,2332,445540,6212,445540
478,2332,446010,6212,446010
479,2334,447010,6212,447010
479,2334,447330,6212,447330
480,2342,448330,6212,448330
480,2342,449330,6212,449330
481,2344,449700,6212,449700
482,2352,450700,6212,450700
482,2352,451700,6212,451700
483,2354,452700,6212,452700
484,2356,453700,6212,453700
484,2356,454700,6212,454700
484,2356,455700,6212,455700
484,2356,456700,6212,456700
485,2364,456700,6212,456700
485,2364,456700,6212,456700
486,2372,456930,6212,456930
487,2380,457930,6212,457930
488,2388,457930,6212,457930
489,2390,458250,6212,458250
490,2392,458720,6212,458720
490,2392,459720,6212,459720
490,2392,460720,6212,460720
491,2394,461720,6212,461720
491,2394,462530,6212,462530
492,2396,463340,6212,463340
493,2404,463820,6212,463820
493,2404,464820,6212,464820
494,2412,465820,6212,465820
495,2420,466820,6212,466820
495,2420,466820,6212,466820
496,2422,467820,6212,467820
