ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
259,612,433840,6212,434310
259,612,434310,6212,434780
260,616,434780,6212,435250
260,616,435250,6212,435720
260,616,435720,6212,436190
261,618,436530,6212,437000
261,618,437530,6212,438000
261,618,437850,6212,438320
261,618,438850,6212,439320
261,618,439660,6212,440130
261,618,440130,6212,440600
261,618,441130,6212,441600
261,618,441450,6212,441920
262,620,442260,6212,442730
262,620,442420,6212,442890
262,620,443420,6212,443890
263,622,444070,6212,444540
263,622,444070,6212,444540
263,622,445070,6212,445540
263,622,445540,6212,446010
264,624,446540,6212,447010
264,624,446860,6212,447330
264,624,447860,6212,448330
265,626,448860,6212,449330
265,626,449230,6212,449700
265,626,450230,6212,450700
266,628,451230,6212,451700
266,628,452230,6212,452700
267,630,453230,6212,453700
267,630,454230,6212,454700
267,630,455230,6212,455700
268,632,456230,6212,456700
268,632,456230,6212,456700
268,632,456230,6212,456700
268,632,456460,6212,456930
268,632,457460,6212,457930
268,632,457460,6212,457930
268,632,457780,6212,458250
268,632,458250,6212,458720
269,640,459250,6212,459720
269,640,460250,6212,460720
269,640,461250,6212,461720
269,640,462060,6212,462530
269,640,462870,6212,463340
270,644,463350,6212,463820
271,646,464350,6212,464820
271,646,465350,6212,465820
272,648,466350,6212,466820
272,648,466350,6212,466820
272,648,467350,6212,467820
273,650,468350,6212,468820
273,650,469160,6212,469630
274,652,470160,6212,470630
274,652,470630,6212,471100
274,652,471630,6212,472100
274,652,472440,6212,472910
274,652,473250,6212,473720
275,654,474250,6212,474720
276,662,475250,6212,475720
276,662,476250,6212,476720
277,664,477060,6212,477530
277,664,477290,6212,477760
277,664,478290,6212,478760
277,664,478290,6212,478760
278,666,479290,6212,479760
278,666,479510,6212,479980
278,666,479980,6212,480450
278,666,480790,6212,481260
279,668,481790,6212,482260
279,668,482790,6212,483260
280,670,483790,6212,484260
280,670,484600,6212,485070
280,670,485190,6212,485660
281,672,486190,6212,486660
282,680,494190,6212,494660
282,680,494740,6212,495210
283,682,495550,6212,496020
283,682,495550,6212,496020
283,682,496550,6212,497020
284,684,497550,6212,498020
284,684,497550,6212,498020
284,684,498550,6212,499020
285,686,499550,6212,500020
285,686,499780,6212,500250
285,686,500780,6212,501250
285,686,500940,6212,501410
286,688,501940,6212,502410
286,688,502940,6212,503410
287,690,503940,6212,504410
287,690,504410,6212,504880
287,690,504880,6212,505350
288,692,505350,6212,505820
288,692,506350,6212,506820
289,694,507160,6212,507630
289,694,508160,6212,508630
290,696,509160,6212,509630
290,696,509480,6212,509950
290,696,510290,6212,510760
290,696,510610,6212,511080
290,696,511080,6212,511550
291,698,511890,6212,512360
291,698,511890,6212,512830
291,698,512890,6212,513830
291,698,513360,6212,514300
291,698,513360,6212,514300
292,700,513680,6212,514620
292,700,514680,6212,515620
292,700,515680,6212,516620
293,702,516490,6212,517430
293,702,517490,6212,518430
293,702,517960,6212,518900
293,702,518280,6212,519220
293,702,518750,6212,519690
294,704,519560,6212,520500
294,704,520030,6212,520970
294,704,521030,6212,521970
295,706,522030,6212,522970
295,706,523030,6212,523970
295,706,523030,6212,523970
295,706,523680,6212,524620
295,706,524680,6212,525620
295,706,525490,6212,526430
295,706,525490,6212,526430
295,706,526300,6212,527240
296,708,527300,6212,528240
296,708,528300,6212,529240
296,708,528770,6212,529710
296,708,528770,6212,529710
296,708,528770,6212,529710
297,710,529770,6212,530710
297,710,530770,6212,531710
298,712,531770,6212,532710
298,712,532770,6212,533710
299,714,533770,6212,534710
299,714,534090,6212,535030
299,714,535090,6212,536030
300,716,536090,6212,537030
300,716,536090,6212,537030
300,716,536090,6212,537030
300,716,537090,6212,538030
301,718,538090,6212,539030
301,718,538560,6212,539500
302,720,539560,6212,540500
302,720,539560,6212,540500
302,720,540210,6212,541150
303,722,541210,6212,542150
303,722,541680,6212,542620
303,722,541680,6212,542620
303,722,541790,6212,542730
303,722,542260,6212,543200
304,724,543260,6212,544200
304,724,543260,6212,544200
304,724,544260,6212,545200
305,726,545260,6212,546200
305,726,546260,6212,547200
306,728,547260,6212,548200
306,728,548260,6212,549200
307,730,549260,6212,550200
307,730,550260,6212,551200
307,730,550490,6212,551430
308,732,551490,6212,552430
308,732,552490,6212,553430
309,734,553300,6212,554240
309,734,554300,6212,555240
310,736,555300,6212,556240
310,736,555760,6212,556700
310,736,556760,6212,557700
311,738,557220,6212,558160
311,738,558220,6212,559160
312,740,559030,6212,559970
312,740,559030,6212,559970
312,740,560030,6212,560970
313,742,561030,6212,561970
313,742,562030,6212,562970
314,744,562840,6212,563780
314,744,563430,6212,564370
314,744,563900,6212,564840
315,746,564900,6212,565840
316,750,568900,6212,569840
316,750,568900,6212,569840
316,750,569370,6212,570310
316,750,569370,6212,570310
316,750,569690,6212,570630
317,752,570500,6212,571440
317,752,571500,6212,572440
318,754,572500,6212,573440
318,754,572500,6212,573440
318,754,573500,6212,574440
318,754,573730,6212,574670
319,756,574730,6212,575670
319,756,575730,6212,576670
320,758,576730,6212,577670
320,758,576730,6212,577670
320,758,577730,6212,578670
321,760,578200,6212,579140
321,760,578850,6212,579790
322,762,579850,6212,580790
322,762,580850,6212,581790
322,762,580850,6212,581790
323,764,581850,6212,582790
323,764,582320,6212,583260
323,764,582320,6212,583580
323,764,583130,6212,584390
324,766,583940,6212,585200
324,766,583940,6212,585670
324,766,584940,6212,586670
324,766,584940,6212,586670
325,768,585940,6212,587670
325,768,586940,6212,588670
326,770,587940,6212,589670
326,770,588940,6212,590670
326,770,589160,6212,590890
327,772,590160,6212,591890
327,772,591160,6212,592890
328,774,592160,6212,593890
328,774,592970,6212,594700
328,774,592970,6212,594700
329,776,593430,6212,595160
329,776,593650,6212,595380
329,776,594650,6212,596380
329,776,595650,6212,597380
329,776,596120,6212,597850
329,776,597120,6212,598850
330,778,598120,6212,599850
330,778,599120,6212,600850
331,786,607120,6212,608850
332,788,607440,6212,609170
332,788,607990,6212,609720
332,788,608990,6212,610720
332,788,608990,6212,610720
333,790,609990,6212,611720
333,790,610800,6212,612530
334,792,611270,6212,613000
334,792,612080,6212,613810
335,794,613080,6212,614810
335,794,613300,6212,615030
335,794,614300,6212,616030
336,796,614770,6212,616500
336,796,615580,6212,617310
337,798,616580,6212,618310
337,798,616580,6212,619120
337,798,616900,6212,619440
337,798,616900,6212,619440
337,798,617710,6212,620250
338,800,618520,6212,621060
338,800,618520,6212,621060
338,800,618520,6212,621060
338,800,619330,6212,621870
339,802,620330,6212,622870
339,802,621140,6212,623680
340,804,621460,6212,624000
340,804,622270,6212,624810
341,806,623270,6212,625810
341,806,624080,6212,626620
342,808,625080,6212,627620
342,808,626080,6212,628620
342,808,626400,6212,628940
343,810,627400,6212,629940
343,810,627860,6212,630400
344,812,628860,6212,631400
344,812,629670,6212,632210
345,814,630670,6212,633210
345,814,631670,6212,634210
346,822,632670,6212,635210
346,822,632670,6212,635210
347,824,633480,6212,636020
348,832,634480,6212,637020
348,832,634480,6212,637020
348,832,635480,6212,638020
348,832,636290,6212,638830
349,834,637290,6212,639830
349,834,638290,6212,640830
349,834,639290,6212,641830
350,836,640100,6212,642640
350,836,640910,6212,643450
350,836,641130,6212,643670
351,838,642130,6212,644670
351,838,642590,6212,645130
351,838,643400,6212,645940
352,840,644400,6212,646940
352,840,645400,6212,647940
353,842,646400,6212,648940
353,842,647400,6212,649940
354,844,648400,6212,650940
354,844,649400,6212,651940
354,844,649400,6212,651940
354,844,649400,6212,651940
355,846,650400,6212,652940
355,846,651400,6212,653940
355,846,652400,6212,654940
355,846,653400,6212,655940
355,846,654400,6212,656940
355,846,654400,6212,656940
355,846,654400,6212,656940
355,846,655400,6212,657940
356,848,656210,6212,658750
356,848,657210,6212,659750
357,850,658020,6212,660560
357,850,658020,6212,660560
357,850,659020,6212,661560
358,852,660020,6212,662560
358,852,661020,6212,663560
359,854,662020,6212,664560
359,854,662020,6212,664560
359,854,663020,6212,665560
360,856,663830,6212,666370
360,856,664830,6212,667370
361,858,665830,6212,668370
361,858,666830,6212,669370
362,860,667830,6212,670370
362,860,668830,6212,671370
363,862,669480,6212,672020
363,862,670480,6212,673020
364,864,671480,6212,674020
364,864,672480,6212,675020
365,866,673290,6212,675830
365,866,674290,6212,676830
365,866,674610,6212,677150
366,868,675610,6212,678150
366,868,676610,6212,679150
367,870,677610,6212,680150
367,870,677610,6212,680150
367,870,678610,6212,681150
368,872,679610,6212,682150
368,872,680610,6212,683150
369,874,681610,6212,684150
369,874,682610,6212,685150
370,876,683420,6212,685960
370,876,683420,6212,685960
370,876,683420,6212,685960
370,876,684420,6212,686960
371,878,685070,6212,687610
371,878,686070,6212,688610
372,880,687070,6212,689610
372,880,687660,6212,690200
372,880,687660,6212,690200
372,880,687890,6212,690430
373,882,688890,6212,691430
373,882,689350,6212,691890
374,884,690350,6212,692890
374,884,690350,6212,692890
374,884,691350,6212,693890
374,884,691720,6212,694260
375,886,692720,6212,695260
375,886,693530,6212,696070
376,888,694530,6212,697070
376,888,695530,6212,698070
377,890,696530,6212,699070
377,890,697000,6212,699540
377,890,698000,6212,700540
378,898,699000,6212,701540
379,900,700000,6212,702540
379,900,701000,6212,703540
380,902,702000,6212,704540
380,902,703000,6212,705540
380,902,703000,6212,705540
381,904,703460,6212,706000
381,904,704460,6212,707000
381,904,704460,6212,707000
381,904,705460,6212,708000
382,906,706460,6212,709000
382,906,706460,6212,709000
382,906,706460,6212,709000
382,906,707460,6212,710000
382,906,707460,6212,710000
383,908,708460,6212,711000
383,908,708460,6212,711000
383,908,708620,6212,711160
384,916,709620,6212,712160
384,916,710430,6212,712970
385,918,711430,6212,713970
385,918,711430,6212,713970
385,918,712430,6212,714970
386,920,713430,6212,715970
386,920,714080,6212,716620
386,920,714450,6212,716990
386,920,714680,6212,717220
386,920,715680,6212,718220
386,920,716490,6212,719030
386,920,716710,6212,719250
386,920,717180,6212,719720
386,920,717730,6212,720270
386,920,718730,6212,721270
387,922,719730,6212,722270
387,922,720730,6212,723270
387,922,721050,6212,723590
387,922,721050,6212,723590
387,922,722050,6212,724590
388,926,722520,6212,725060
388,926,723330,6212,725870
388,926,724330,6212,726870
388,926,724800,6212,727340
388,926,725610,6212,728150
388,926,726610,6212,729150
388,926,727080,6212,729620
389,928,728080,6212,730620
389,928,728240,6212,730780
389,928,729050,6212,731590
390,930,729860,6212,732400
390,930,729860,6212,732400
390,930,730860,6212,733400
