ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
168,397,246810,6212,246810
168,397,247810,6212,247810
168,397,247810,6212,247810
168,397,247810,6212,247810
169,399,248810,6212,248810
169,399,249810,6212,249810
169,399,250810,6212,250810
170,403,250810,6212,250810
170,403,251280,6212,251280
170,403,251280,6212,251280
170,403,251830,6212,251830
171,411,259830,6212,259830
171,411,260150,6212,260150
172,413,261150,6212,261150
172,413,261310,6212,261310
172,413,262310,6212,262310
172,413,262780,6212,262780
172,413,263590,6212,263590
173,415,264590,6212,264590
173,415,264910,6212,264910
173,415,265500,6212,265500
173,415,266310,6212,266310
173,415,266960,6212,266960
173,415,267960,6212,267960
174,416,268420,6212,268420
175,418,269420,6212,269420
175,418,269880,6212,269880
175,418,270530,6212,270530
176,420,271530,6212,271530
176,420,272000,6212,272000
176,420,272590,6212,272590
177,424,273240,6212,273240
177,424,273560,6212,273560
177,424,273560,6212,273560
177,424,274030,6212,274030
177,424,275030,6212,275030
177,424,276030,6212,276030
177,424,276840,6212,276840
178,428,277490,6212,277490
178,428,278490,6212,278490
178,428,279490,6212,279490
178,428,280490,6212,280490
178,428,280650,6212,280650
178,428,281650,6212,281650
179,430,282650,6212,282650
179,430,283650,6212,283650
179,430,283650,6212,283650
180,432,284650,6212,284650
180,432,285650,6212,285650
180,432,285980,6212,285980
181,434,286980,6212,286980
181,434,287790,6212,287790
181,434,288790,6212,288790
182,438,289790,6212,289790
182,438,289900,6212,289900
182,438,290370,6212,290370
183,440,291370,6212,291370
184,448,299370,6212,299370
184,448,300020,6212,300020
185,452,300670,6212,300670
185,452,301670,6212,301670
185,452,302670,6212,302670
186,456,303320,6212,303320
186,456,304320,6212,304320
186,456,305130,6212,305130
186,456,305450,6212,305450
186,456,306450,6212,306450
186,456,306450,6212,306450
186,456,307450,6212,307450
186,456,308260,6212,308260
187,458,309260,6212,309260
187,458,310070,6212,310070
187,458,311070,6212,311070
187,458,311880,6212,311880
187,458,312350,6212,312350
187,458,313160,6212,313160
188,460,314160,6212,314160
188,460,315160,6212,315160
189,462,316160,6212,316160
189,462,317160,6212,317160
190,464,318160,6212,318160
190,464,319160,6212,319160
190,464,320160,6212,320160
191,466,321160,6212,321160
191,466,321390,6212,321390
191,466,322390,6212,322390
191,466,322390,6212,322390
191,466,322390,6212,322390
191,466,322390,6212,322390
192,470,323390,6212,323390
192,470,324200,6212,324200
192,470,325200,6212,325200
192,470,326010,6212,326010
193,474,327010,6212,327010
193,474,328010,6212,328010
193,474,329010,6212,329010
193,474,329470,6212,329470
193,474,329470,6212,329470
193,474,329790,6212,329790
194,478,330790,6212,330790
194,478,331380,6212,331380
194,478,332190,6212,332190
194,478,333190,6212,333190
194,478,333660,6212,333660
194,478,334660,6212,334660
195,482,335660,6212,335660
195,482,336660,6212,336660
195,482,337660,6212,337660
195,482,338660,6212,338660
195,482,339660,6212,339660
195,482,339660,6212,339660
196,484,340660,6212,340660
196,484,341660,6212,341660
196,484,342470,6212,342470
196,484,342840,6212,342840
196,484,343000,6212,343000
197,488,344000,6212,344000
197,488,345000,6212,345000
197,488,346000,6212,346000
197,488,346230,6212,346230
197,488,346230,6212,346230
198,490,346550,6212,346550
198,490,347550,6212,347550
198,490,348550,6212,348550
199,492,349550,6212,349550
200,496,350550,6212,350550
200,496,351010,6212,351010
201,500,355010,6212,355010
201,500,356010,6212,356010
201,500,357010,6212,357010
201,500,357480,6212,357480
201,500,358070,6212,358070
202,504,358540,6212,358540
202,504,359540,6212,359540
203,508,360540,6212,360540
203,508,361540,6212,361540
204,512,362540,6212,362540
204,512,362860,6212,362860
204,512,363860,6212,363860
204,512,364670,6212,364670
204,512,364900,6212,364900
205,514,365900,6212,365900
205,514,366710,6212,366710
205,514,367180,6212,367180
205,514,367650,6212,367650
205,514,368650,6212,368650
205,514,368650,6212,368650
205,514,369650,6212,369650
206,516,370300,6212,370300
206,516,370770,6212,370770
206,516,371580,6212,371580
206,516,371580,6212,371580
207,518,372580,6212,372580
207,518,373580,6212,373580
208,520,374580,6212,374580
208,520,375580,6212,375580
208,520,375580,6212,375580
209,522,376580,6212,376580
209,522,377050,6212,377050
209,522,378050,6212,378050
210,523,378860,6212,378860
210,523,378860,6212,378860
211,525,379860,6212,379860
211,525,380670,6212,380670
211,525,380670,6212,380670
212,527,381670,6212,381670
212,527,382670,6212,382670
213,529,383670,6212,383670
213,529,384670,6212,384670
214,531,385140,6212,385140
214,531,386140,6212,386140
214,531,386610,6212,386610
215,533,387610,6212,387610
215,533,387610,6212,387610
215,533,387930,6212,387930
215,533,388930,6212,388930
216,535,389930,6212,389930
216,535,390930,6212,390930
216,535,391930,6212,391930
217,536,392740,6212,392740
218,538,393210,6212,393210
218,538,394210,6212,394210
218,538,394680,6212,394680
219,540,395680,6212,395680
219,540,396680,6212,396680
220,542,397680,6212,397680
220,542,398680,6212,398680
221,544,399680,6212,399680
221,544,400150,6212,400150
221,544,400610,6212,400610
222,546,401610,6212,401610
222,546,402610,6212,402610
222,546,403610,6212,403610
223,548,404610,6212,404610
223,548,405080,6212,405080
223,548,405080,6212,405080
224,550,406080,6212,406080
224,550,407080,6212,407080
224,550,407080,6212,407080
225,552,407890,6212,407890
225,552,408890,6212,408890
226,554,409700,6212,409700
226,554,410510,6212,410510
227,556,411510,6212,411510
227,556,412510,6212,412510
228,558,413510,6212,413510
228,558,414510,6212,414510
229,560,415320,6212,415320
229,560,416320,6212,416320
230,562,416970,6212,416970
230,562,417970,6212,417970
231,564,418970,6212,418970
231,564,419970,6212,419970
232,566,420520,6212,420520
232,566,421520,6212,421520
233,568,422520,6212,422520
233,568,422840,6212,422840
233,568,423310,6212,423310
233,568,424310,6212,424310
234,570,425310,6212,425310
234,570,425310,6212,425310
234,570,425630,6212,425630
234,570,426440,6212,426440
234,570,426440,6212,426440
235,572,427440,6212,427440
235,572,428090,6212,428090
236,574,428900,6212,428900
236,574,429710,6212,429710
237,582,437710,6212,437710
238,584,438710,6212,438710
238,584,439710,6212,439710
238,584,439710,6212,439710
239,586,440520,6212,440520
239,586,440750,6212,440750
239,586,441340,6212,441340
240,588,442340,6212,442340
240,588,443340,6212,443340
241,590,443810,6212,443810
241,590,444810,6212,444810
241,590,444810,6212,444810
241,590,445280,6212,445280
242,592,446280,6212,446280
242,592,447280,6212,447280
243,594,448090,6212,448090
243,594,448560,6212,448560
244,596,449370,6212,449370
244,596,449840,6212,449840
244,596,450840,6212,450840
244,596,451160,6212,451160
244,596,451160,6212,451160
245,598,451970,6212,451970
245,598,452970,6212,452970
246,600,453970,6212,453970
246,600,453970,6212,453970
246,600,454520,6212,454520
247,602,455330,6212,455330
247,602,456330,6212,456330
248,604,457330,6212,457330
248,604,458330,6212,458330
249,606,459330,6212,459330
249,606,460330,6212,460330
250,608,461140,6212,461140
250,608,461950,6212,461950
251,610,462950,6212,462950
251,610,463950,6212,463950
252,612,464950,6212,464950
252,612,465950,6212,465950
253,614,466760,6212,466760
253,614,467230,6212,467230
254,616,468230,6212,468230
254,616,469230,6212,469230
254,616,469230,6212,469230
254,616,469230,6212,469230
255,618,470040,6212,470040
255,618,470150,6212,470150
255,618,470960,6212,470960
256,620,471960,6212,471960
256,620,472770,6212,472770
257,622,473770,6212,473770
257,622,474580,6212,474580
258,624,475390,6212,475390
258,624,475710,6212,475710
258,624,476710,6212,476710
259,626,477710,6212,477710
259,626,478520,6212,478520
260,628,479070,6212,479070
260,628,479070,6212,479070
260,628,480070,6212,480070
261,630,481070,6212,481070
261,630,482070,6212,482070
262,632,484070,6212,484070
262,632,484070,6212,484070
262,632,484530,6212,484530
263,634,485530,6212,485530
263,634,485530,6212,485530
263,634,486530,6212,486530
264,636,487530,6212,487530
264,636,487530,6212,487530
264,636,488530,6212,488530
264,636,488530,6212,488530
264,636,488850,6212,488850
265,638,489850,6212,489850
265,638,489850,6212,489850
265,638,490850,6212,490850
266,646,498850,6212,498850
267,648,499850,6212,499850
267,648,500500,6212,500500
268,650,501500,6212,501500
268,650,502500,6212,502500
269,652,503310,6212,503310
269,652,504310,6212,504310
270,654,504780,6212,504780
270,654,505780,6212,505780
271,656,506780,6212,506780
271,656,507780,6212,507780
272,658,508590,6212,508590
272,658,509590,6212,509590
272,658,509590,6212,509590
273,660,510590,6212,510590
273,660,511590,6212,511590
274,662,512400,6212,512400
274,662,513400,6212,513400
275,664,514210,6212,514210
275,664,515020,6212,515020
276,666,515670,6212,515670
276,666,516670,6212,516670
277,668,517480,6212,517480
277,668,518480,6212,518480
277,668,518940,6212,518940
277,668,518940,6212,518940
278,670,519940,6212,519940
278,670,520490,6212,520490
278,670,520490,6212,520490
278,670,520490,6212,520490
279,672,521300,6212,521300
279,672,521770,6212,521770
280,674,522770,6212,522770
280,674,523580,6212,523580
