ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
79,344,283700,6212,283700
79,344,283860,6212,283860
79,344,284180,6212,284180
79,344,284650,6212,284650
79,344,285460,6212,285460
79,344,285930,6212,285930
79,344,286150,6212,286150
80,352,286960,6212,286960
80,352,287280,6212,287280
80,352,288090,6212,288090
80,352,288900,6212,288900
80,352,289220,6212,289220
80,352,289220,6212,289220
80,352,290030,6212,290030
80,352,290350,6212,290350
80,352,291160,6212,291160
80,352,291160,6212,291160
80,352,291970,6212,291970
80,352,292780,6212,292780
81,354,293590,6212,293590
81,354,294140,6212,294140
82,362,294610,6212,294610
82,362,295080,6212,295080
82,362,295080,6212,295080
82,362,295080,6212,295080
82,362,295730,6212,295730
82,362,295730,6212,295730
82,362,295730,6212,295730
82,362,296540,6212,296540
82,362,297130,6212,297130
82,362,297180,6212,297180
82,362,297530,6212,297530
82,362,297850,6212,297850
82,362,298660,6212,298660
82,362,299470,6212,299470
82,362,300280,6212,300280
82,362,300330,6212,300330
82,362,300490,6212,300490
82,362,301140,6212,301140
83,370,301790,6212,301790
83,370,301790,6212,301790
83,370,302600,6212,302600
83,370,303250,6212,303250
83,370,304060,6212,304060
83,370,304530,6212,304530
83,370,304530,6212,304530
83,370,305340,6212,305340
83,370,306150,6212,306150
83,370,306960,6212,306960
83,370,306960,6212,306960
84,372,307770,6212,307770
84,372,307770,6212,307770
84,372,308240,6212,308240
84,372,308240,6212,308240
84,372,309050,6212,309050
85,380,309520,6212,309520
85,380,309520,6212,309520
85,380,309520,6212,309520
85,380,309840,6212,309840
85,380,310650,6212,310650
85,380,311120,6212,311120
85,380,311590,6212,311590
85,380,312400,6212,312400
85,380,312870,6212,312870
85,380,313680,6212,313680
85,380,314490,6212,314490
85,380,314860,6212,314860
85,380,315330,6212,315330
85,380,315330,6212,315330
85,380,315330,6212,315330
85,380,315790,6212,315790
85,380,316110,6212,316110
85,380,316270,6212,316270
85,380,317080,6212,317080
86,388,317550,6212,317550
86,388,317550,6212,317550
86,388,317710,6212,317710
86,388,318520,6212,318520
86,388,318840,6212,318840
86,388,319160,6212,319160
86,388,319630,6212,319630
86,388,319950,6212,319950
86,388,320600,6212,320600
86,388,321250,6212,321250
86,388,321570,6212,321570
86,388,322380,6212,322380
86,388,323190,6212,323190
86,388,323740,6212,323740
86,388,324550,6212,324550
86,388,324770,6212,324770
86,388,325090,6212,325090
87,390,325560,6212,325560
87,390,326020,6212,326020
87,390,326250,6212,326250
88,392,327060,6212,327060
88,392,327060,6212,327060
88,392,327530,6212,327530
88,392,328340,6212,328340
89,394,329150,6212,329150
89,394,329960,6212,329960
90,396,330770,6212,330770
90,396,331580,6212,331580
91,404,332390,6212,332390
91,404,332860,6212,332860
91,404,332860,6212,332860
91,404,333330,6212,333330
91,404,333800,6212,333800
91,404,334030,6212,334030
91,404,334030,6212,334030
91,404,334250,6212,334250
91,404,334250,6212,334250
91,404,334570,6212,334570
91,404,334570,6212,334570
91,404,335030,6212,335030
91,404,335510,6212,335510
91,404,335980,6212,335980
91,404,336450,6212,336450
91,404,337260,6212,337260
91,404,338070,6212,338070
91,404,338070,6212,338070
91,404,338540,6212,338540
92,408,339010,6212,339010
92,408,339660,6212,339660
92,408,339980,6212,339980
93,410,340450,6212,340450
93,410,341260,6212,341260
93,410,341730,6212,341730
94,418,342200,6212,342200
94,418,342670,6212,342670
94,418,342670,6212,342670
94,418,342670,6212,342670
94,418,343140,6212,343140
94,418,343730,6212,343730
94,418,344540,6212,344540
94,418,345010,6212,345010
94,418,345820,6212,345820
94,418,346630,6212,346630
94,418,347440,6212,347440
94,418,347710,6212,347710
94,418,348300,6212,348300
95,420,349110,6212,349110
95,420,349340,6212,349340
95,420,349810,6212,349810
96,428,350620,6212,350620
96,428,351430,6212,351430
96,428,352080,6212,352080
96,428,352310,6212,352310
96,428,353120,6212,353120
96,428,353120,6212,353120
96,428,353340,6212,353340
96,428,354150,6212,354150
96,428,354260,6212,354260
96,428,355070,6212,355070
96,428,355880,6212,355880
96,428,356690,6212,356690
96,428,357160,6212,357160
96,428,357480,6212,357480
97,430,357800,6212,357800
97,430,358610,6212,358610
98,438,359420,6212,359420
98,438,359890,6212,359890
98,438,360350,6212,360350
98,438,360820,6212,360820
98,438,361290,6212,361290
98,438,361400,6212,361400
98,438,361860,6212,361860
98,438,362670,6212,362670
98,438,363140,6212,363140
98,438,363140,6212,363140
98,438,363360,6212,363360
98,438,364170,6212,364170
98,438,364640,6212,364640
98,438,364990,6212,364990
98,438,365640,6212,365640
98,438,365870,6212,365870
99,446,366680,6212,366680
99,446,367150,6212,367150
99,446,367960,6212,367960
99,446,368420,6212,368420
99,446,368890,6212,368890
99,446,368890,6212,368890
99,446,369540,6212,369540
99,446,369760,6212,369760
99,446,370570,6212,370570
99,446,371040,6212,371040
99,446,371410,6212,371410
99,446,371730,6212,371730
99,446,372540,6212,372540
99,446,373130,6212,373130
100,454,373780,6212,373780
100,454,373780,6212,373780
100,454,373780,6212,373780
100,454,374590,6212,374590
100,454,375400,6212,375400
100,454,375870,6212,375870
100,454,376680,6212,376680
100,454,377000,6212,377000
100,454,377000,6212,377000
100,454,377810,6212,377810
100,454,377810,6212,377810
100,454,378460,6212,378460
100,454,378460,6212,378460
100,454,378930,6212,378930
100,454,379740,6212,379740
101,462,380390,6212,380390
101,462,380860,6212,380860
101,462,381090,6212,381090
101,462,381410,6212,381410
101,462,381730,6212,381730
101,462,382540,6212,382540
101,462,383350,6212,383350
101,462,384160,6212,384160
101,462,384630,6212,384630
101,462,385100,6212,385100
101,462,385910,6212,385910
101,462,386500,6212,386500
102,470,387310,6212,387310
102,470,387770,6212,387770
102,470,388090,6212,388090
102,470,388090,6212,388090
102,470,388900,6212,388900
102,470,389710,6212,389710
102,470,390520,6212,390520
102,470,390990,6212,390990
102,470,391310,6212,391310
102,470,392120,6212,392120
102,470,392590,6212,392590
102,470,392590,6212,392590
102,470,393400,6212,393400
103,478,394210,6212,394210
103,478,394530,6212,394530
103,478,395340,6212,395340
103,478,395800,6212,395800
103,478,396260,6212,396260
103,478,396580,6212,396580
103,478,397390,6212,397390
103,478,397940,6212,397940
103,478,397940,6212,397940
103,478,398750,6212,398750
103,478,399220,6212,399220
103,478,399690,6212,399690
103,478,400500,6212,400500
104,480,400730,6212,400730
