ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
871240.31,14.27,0.65,191330.0,3.13
871460.59,14.27,0.65,191329.74,3.13
871512.52,14.27,0.65,191452.71,3.14
871564.46,14.28,0.66,191452.83,3.14
871832.58,14.28,0.66,191414.59,3.14
872607.41,14.3,0.67,191737.01,3.14
872471.21,14.3,0.67,191717.68,3.14
872471.21,14.3,0.67,191717.41,3.14
872739.34,14.3,0.68,191717.15,3.14
873060.98,14.31,0.69,191716.89,3.14
872924.77,14.31,0.69,191716.63,3.14
872788.57,14.31,0.69,191716.37,3.14
872840.5,14.31,0.69,191839.35,3.14
873012.31,14.31,0.69,191919.92,3.15
872876.11,14.31,0.69,191919.92,3.15
872739.9,14.31,0.69,191789.5,3.15
872791.83,14.32,0.7,191912.47,3.15
873027.86,14.32,0.7,191812.96,3.15
873349.5,14.33,0.71,191814.22,3.15
873401.43,14.33,0.71,191937.19,3.15
873143.94,14.33,0.71,191483.09,3.14
873195.87,14.33,0.71,191483.21,3.14
873464.0,14.34,0.72,191482.94,3.14
873327.79,14.34,0.72,191463.61,3.14
873595.92,14.34,0.72,191449.34,3.14
873647.85,14.34,0.72,191572.32,3.15
873875.92,14.35,0.73,191572.06,3.15
873927.85,14.35,0.73,191572.06,3.15
874099.66,14.36,0.74,191571.79,3.15
874151.6,14.36,0.74,191694.77,3.15
874151.6,14.36,0.74,191699.16,3.15
874203.53,14.36,0.74,191822.13,3.15
874384.04,14.36,0.74,191824.94,3.15
874652.17,14.37,0.75,191824.68,3.15
874907.22,14.38,0.75,191890.05,3.15
874907.22,14.38,0.75,191778.97,3.15
874959.16,14.38,0.76,191779.08,3.15
875011.09,14.38,0.76,191902.05,3.15
875063.02,14.38,0.76,191902.17,3.15
875114.95,14.39,0.77,191902.29,3.15
875728.61,14.4,0.78,192016.08,3.16
876056.2,14.4,0.78,192015.82,3.16
876277.52,14.41,0.79,192015.56,3.16
876329.45,14.41,0.79,192015.67,3.16
876381.39,14.41,0.79,192015.79,3.16
876245.18,14.41,0.79,191885.37,3.16
876245.18,14.41,0.79,191842.14,3.16
876566.82,14.42,0.8,191841.77,3.16
877694.9,14.44,0.82,192661.63,3.17
878016.55,14.44,0.82,192661.37,3.17
878338.19,14.45,0.83,192651.29,3.17
878390.12,14.45,0.83,192651.29,3.17
878442.05,14.46,0.84,192774.26,3.17
878663.38,14.46,0.84,192807.36,3.17
878891.44,14.47,0.84,192791.39,3.17
878755.24,14.47,0.84,192772.05,3.17
878807.17,14.47,0.85,192789.13,3.17
879028.49,14.47,0.85,192789.63,3.17
879084.29,14.48,0.86,192431.46,3.17
879247.01,14.48,0.86,192465.07,3.17
879298.94,14.48,0.86,192465.07,3.17
879350.87,14.48,0.86,192588.04,3.17
879522.69,14.49,0.87,192664.63,3.17
879744.01,14.49,0.87,192664.37,3.17
879972.07,14.5,0.88,192664.11,3.17
880193.39,14.5,0.88,192663.85,3.17
880193.39,14.5,0.88,192663.59,3.17
880245.33,14.51,0.89,192663.59,3.18
880109.12,14.51,0.89,192663.33,3.18
880330.44,14.51,0.89,192695.1,3.18
880382.37,14.51,0.89,192695.1,3.18
880602.65,14.52,0.9,192694.84,3.18
880830.72,14.52,0.9,192694.58,3.18
880882.65,14.53,0.91,192694.58,3.18
881103.97,14.53,0.91,192694.32,3.18
881325.29,14.54,0.92,192828.55,3.18
881938.95,14.55,0.93,192942.35,3.18
881990.88,14.55,0.93,192942.46,3.18
881854.68,14.55,0.93,192812.04,3.18
881906.61,14.55,0.93,192935.02,3.18
881906.61,14.55,0.93,192804.6,3.18
881770.4,14.55,0.93,192674.18,3.18
881770.4,14.55,0.93,192543.77,3.18
