ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eae0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eae0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eae0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eae0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eae0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
854959.31,14.02,0.46,222955.22,3.66
855157.59,14.03,0.46,223029.53,3.66
855323.49,14.03,0.47,223410.2,3.67
855375.02,14.04,0.47,223528.68,3.67
855143.45,14.03,0.47,223275.38,3.66
855309.36,14.04,0.47,223293.02,3.66
855077.79,14.03,0.47,223236.71,3.66
855129.32,14.04,0.47,223355.19,3.67
855180.85,14.04,0.47,223414.23,3.67
855223.52,14.04,0.48,222868.31,3.66
855223.52,14.04,0.48,222074.49,3.65
855173.52,14.04,0.47,222024.49,3.65
855173.52,14.04,0.47,221631.7,3.64
857714.11,14.08,0.52,228487.98,3.75
857880.01,14.09,0.52,228435.26,3.75
857583.48,14.08,0.52,228232.95,3.75
857635.01,14.09,0.52,228421.78,3.75
857686.54,14.09,0.52,228540.26,3.75
857738.07,14.09,0.53,228599.3,3.76
857789.6,14.09,0.53,228717.77,3.76
857841.13,14.1,0.53,228776.82,3.76
857995.4,14.1,0.53,228986.83,3.76
857763.83,14.1,0.53,228930.52,3.76
857918.1,14.1,0.54,229116.01,3.77
858078.42,14.11,0.54,229087.25,3.77
857908.49,14.1,0.54,229001.68,3.76
857908.49,14.1,0.54,229001.08,3.76
857751.89,14.1,0.54,228869.4,3.76
857803.42,14.1,0.54,229044.37,3.77
857854.95,14.11,0.54,229162.84,3.77
857906.48,14.11,0.54,229221.89,3.77
857680.5,14.11,0.54,229155.5,3.77
857732.03,14.11,0.54,229273.97,3.77
857783.56,14.11,0.55,229333.01,3.77
857835.09,14.12,0.55,229451.49,3.78
857835.09,14.12,0.55,229451.49,3.78
857835.09,14.12,0.55,231256.61,3.81
857995.41,14.12,0.55,231284.34,3.81
857759.43,14.12,0.55,231208.15,3.81
857810.96,14.12,0.55,231326.62,3.81
857810.96,14.12,0.55,233072.53,3.84
857965.22,14.12,0.56,233155.59,3.84
858366.66,14.13,0.56,233213.75,3.84
858328.29,14.13,0.57,232831.36,3.83
858488.61,14.14,0.57,232802.6,3.83
858540.14,14.14,0.57,232977.56,3.84
858591.67,14.14,0.58,233096.04,3.84
861421.06,14.19,0.62,233459.71,3.85
861195.08,14.19,0.62,233393.31,3.84
861425.94,14.19,0.62,233536.77,3.85
861166.01,14.19,0.62,233374.97,3.84
861217.54,14.19,0.62,233202.44,3.84
861377.86,14.19,0.63,233680.35,3.85
861429.39,14.2,0.63,233798.82,3.85
861192.87,14.19,0.63,233675.48,3.85
861244.4,14.2,0.63,233734.52,3.85
861008.42,14.19,0.63,233486.91,3.85
861168.74,14.2,0.63,233458.14,3.85
861220.27,14.2,0.63,233633.11,3.85
861453.07,14.21,0.64,233050.22,3.84
861323.33,14.2,0.64,233078.95,3.84
861477.59,14.21,0.64,233170.92,3.85
861370.4,14.21,0.64,233068.59,3.84
861421.93,14.21,0.64,233267.29,3.85
861576.19,14.21,0.65,233477.3,3.85
861316.27,14.21,0.64,233201.01,3.85
861104.75,14.21,0.64,232985.8,3.84
861104.75,14.21,0.64,232985.8,3.84
861104.75,14.21,0.64,232985.8,3.84
861156.28,14.21,0.64,233062.16,3.85
860896.36,14.21,0.64,232790.17,3.84
860947.89,14.21,0.64,232443.87,3.84
860999.42,14.21,0.65,232223.78,3.83
860763.44,14.21,0.64,232147.59,3.83
860503.51,14.21,0.64,231842.79,3.83
860503.51,14.21,0.64,231842.79,3.83
860657.77,14.21,0.64,231934.77,3.83
860657.77,14.21,0.64,231934.77,3.83
860397.85,14.21,0.64,231731.54,3.83
860449.38,14.21,0.64,231841.1,3.83
860500.91,14.21,0.65,231959.58,3.83
860552.44,14.21,0.65,232018.62,3.83
860887.97,14.22,0.66,231971.63,3.83
861048.29,14.23,0.66,231942.86,3.83
861048.29,14.23,0.66,231942.86,3.83
861048.29,14.23,0.66,231942.86,3.83
860812.31,14.22,0.66,231799.11,3.83
860552.38,14.22,0.65,231637.31,3.83
860407.98,14.22,0.65,231519.78,3.83
860568.3,14.22,0.65,231881.84,3.83
860448.81,14.22,0.65,231496.43,3.83
860271.44,14.22,0.65,231307.08,3.82
860114.25,14.22,0.65,231154.54,3.82
860025.16,14.22,0.65,231021.87,3.82
860025.16,14.22,0.65,231021.28,3.82
860076.69,14.22,0.65,230674.97,3.81
860076.69,14.22,0.65,230738.96,3.81
860128.22,14.22,0.66,230518.87,3.81
860337.99,14.23,0.66,230437.93,3.81
860294.13,14.23,0.66,230346.35,3.81
860345.66,14.23,0.66,230830.05,3.82
860114.09,14.23,0.66,230585.85,3.81
860114.09,14.23,0.66,230567.63,3.81
860114.09,14.23,0.66,230522.87,3.81
860165.62,14.23,0.66,230641.35,3.82
860217.15,14.23,0.66,230700.39,3.82
860371.42,14.23,0.67,230787.7,3.82
860422.95,14.24,0.67,230895.39,3.82
860474.48,14.24,0.67,231013.87,3.82
860526.01,14.24,0.68,231072.91,3.82
860927.44,14.25,0.68,231131.07,3.83
860889.08,14.25,0.69,230748.68,3.82
861049.39,14.26,0.69,230719.92,3.82
860789.47,14.25,0.69,230559.31,3.82
860841.0,14.26,0.69,230734.28,3.82
860605.02,14.25,0.69,230658.09,3.82
860605.02,14.25,0.69,237185.28,3.93
860288.77,14.25,0.68,236869.04,3.92
860340.3,14.25,0.68,236522.73,3.92
860391.83,14.25,0.69,236302.64,3.91
860391.83,14.25,0.69,236312.73,3.91
860546.1,14.26,0.69,236404.7,3.92
860712.0,14.26,0.69,236516.49,3.92
860477.6,14.26,0.69,236308.96,3.92
860529.13,14.26,0.69,236136.44,3.91
860580.66,14.26,0.7,236505.83,3.92
860632.19,14.27,0.7,236624.31,3.92
860786.46,14.27,0.7,236707.37,3.92
860837.99,14.27,0.71,236825.85,3.93
860703.91,14.27,0.71,236894.09,3.93
860703.91,14.27,0.71,236883.4,3.93
860755.44,14.27,0.71,236942.45,3.93
860755.44,14.27,0.71,243250.01,4.03
860806.97,14.28,0.71,243368.49,4.04
860547.05,14.27,0.71,243093.88,4.03
860707.36,14.28,0.71,243121.6,4.03
860447.43,14.27,0.71,242959.8,4.03
860447.43,14.27,0.71,242969.89,4.03
860601.7,14.28,0.71,243061.86,4.03
860653.23,14.28,0.71,243171.43,4.04
860393.3,14.28,0.71,243009.63,4.03
860444.83,14.28,0.71,242663.32,4.03
860496.36,14.28,0.72,242443.23,4.02
860547.89,14.29,0.72,242561.7,4.03
860599.42,14.29,0.72,242620.75,4.03
860753.69,14.29,0.73,242712.72,4.03
860596.49,14.29,0.72,242560.19,4.03
860579.74,14.29,0.72,242700.84,4.03
860740.06,14.29,0.73,242808.4,4.03
860480.13,14.29,0.72,242771.12,4.03
860391.05,14.29,0.72,242640.24,4.03
860442.58,14.29,0.73,242758.71,4.03
860640.86,14.3,0.73,242875.01,4.03
860692.39,14.3,0.73,242993.49,4.04
867540.28,14.41,0.85,244462.07,4.06
867700.6,14.42,0.85,244489.8,4.06
867464.62,14.42,0.85,244413.61,4.06
867695.47,14.42,0.85,244501.78,4.06
867855.79,14.42,0.86,244655.42,4.07
867907.32,14.43,0.86,244773.9,4.07
867671.34,14.42,0.86,244791.69,4.07
867671.34,14.42,0.86,244924.37,4.07
869121.5,14.45,0.88,245480.22,4.08
869287.4,14.45,0.89,245497.86,4.08
869338.93,14.45,0.89,245616.33,4.08
869338.93,14.45,0.89,251279.06,4.18
869129.7,14.45,0.89,251040.57,4.17
868908.14,14.45,0.88,250994.06,4.17
868959.67,14.45,0.89,251053.1,4.18
869011.2,14.46,0.89,251171.58,4.18
869177.1,14.46,0.89,251189.22,4.18
868945.53,14.46,0.89,251132.91,4.18
868701.59,14.45,0.89,250997.53,4.18
874166.13,14.54,0.98,252134.12,4.19
873929.61,14.54,0.97,251891.99,4.19
874083.88,14.54,0.98,251983.96,4.19
874083.88,14.54,0.98,251983.96,4.19
874244.2,14.55,0.98,252091.52,4.2
873984.27,14.55,0.98,252054.25,4.19
873976.82,14.55,0.98,251989.8,4.19
874131.09,14.55,0.98,252081.77,4.2
874182.62,14.55,0.99,252191.34,4.2
874234.15,14.56,0.99,251845.03,4.19
874545.69,14.56,1.0,251867.11,4.19
874438.5,14.56,0.99,251764.78,4.19
874598.81,14.56,1.0,251736.01,4.19
874650.34,14.57,1.0,251910.98,4.2
874701.87,14.57,1.0,251564.67,4.19
874753.4,14.57,1.01,251344.58,4.19
874804.93,14.58,1.01,251463.06,4.19
874856.46,14.58,1.01,251522.1,4.19
874907.99,14.58,1.01,251640.58,4.19
876358.15,14.61,1.04,251942.67,4.2
876122.17,14.6,1.04,251866.48,4.2
876173.7,14.61,1.04,251925.53,4.2
876334.01,14.61,1.04,251896.76,4.2
876098.03,14.61,1.04,251753.0,4.2
876098.03,14.61,1.04,251753.0,4.2
875703.64,14.6,1.03,251385.48,4.19
875755.17,14.6,1.04,251628.02,4.2
878529.06,14.65,1.08,253021.1,4.22
878269.13,14.65,1.08,252859.3,4.22
878438.53,14.65,1.08,252689.85,4.21
879027.81,14.66,1.09,252957.55,4.22
879188.13,14.67,1.1,252928.79,4.22
878952.15,14.66,1.1,252785.03,4.22
879112.46,14.67,1.1,253147.08,4.22
878993.82,14.66,1.1,253017.77,4.22
879148.56,14.67,1.1,253139.07,4.22
878908.16,14.67,1.1,253030.96,4.22
878959.69,14.67,1.1,253049.14,4.22
879011.22,14.67,1.11,252702.84,4.22
879303.88,14.68,1.11,252644.71,4.22
879458.14,14.68,1.12,252736.68,4.22
879509.67,14.68,1.12,252846.25,4.22
879249.74,14.68,1.11,252684.45,4.22
879041.21,14.68,1.11,252524.12,4.22
879092.74,14.68,1.11,252642.59,4.22
879092.74,14.68,1.11,252652.68,4.22
878935.55,14.68,1.11,252500.35,4.22
878720.03,14.68,1.11,252373.03,4.22
878720.03,14.68,1.11,252362.34,4.21
878771.56,14.68,1.11,252421.39,4.22
878823.09,14.68,1.12,252539.86,4.22
878874.62,14.68,1.12,252598.91,4.22
879084.39,14.69,1.12,252513.89,4.22
879105.48,14.69,1.12,252419.85,4.22
879265.8,14.69,1.13,253082.84,4.23
879677.93,14.7,1.14,252871.24,4.23
879832.19,14.71,1.14,252963.21,4.23
879595.67,14.7,1.14,252691.05,4.22
879578.92,14.7,1.14,252642.1,4.22
879739.24,14.71,1.14,252749.66,4.23
879739.24,14.71,1.14,254142.53,4.25
879479.31,14.7,1.14,254105.25,4.25
880929.46,14.73,1.16,259887.43,4.34
880799.72,14.73,1.16,259673.35,4.34
880563.74,14.72,1.16,259428.57,4.34
880615.27,14.73,1.16,259547.05,4.34
880615.27,14.73,1.16,259546.45,4.34
880666.8,14.73,1.16,259605.49,4.34
880718.33,14.73,1.17,259723.97,4.34
880718.33,14.73,1.17,259723.97,4.34
880481.81,14.73,1.16,259535.54,4.34
880533.34,14.73,1.17,259594.59,4.34
880702.74,14.74,1.17,259505.07,4.34
880427.68,14.73,1.17,259422.06,4.34
880588.0,14.74,1.17,259756.84,4.35
880588.0,14.74,1.17,261057.6,4.37
880352.02,14.73,1.17,260812.82,4.37
885816.56,14.83,1.26,261637.78,4.38
885868.09,14.83,1.26,261756.25,4.38
886037.48,14.83,1.27,261737.52,4.38
886089.01,14.84,1.27,261855.99,4.38
885990.85,14.83,1.27,261972.67,4.39
886151.17,14.84,1.27,262000.39,4.39
885915.19,14.84,1.27,261924.2,4.39
886473.72,14.85,1.28,262021.98,4.39
886183.86,14.84,1.28,261532.45,4.38
886235.39,14.85,1.28,261650.93,4.38
886404.79,14.85,1.28,261632.2,4.38
886397.94,14.85,1.29,261832.41,4.39
886139.73,14.85,1.28,261555.33,4.38
885930.5,14.84,1.28,261413.44,4.38
888471.1,14.89,1.32,267617.55,4.48
888522.63,14.89,1.32,267736.02,4.49
888692.02,14.89,1.33,267717.29,4.49
888476.97,14.89,1.33,267716.95,4.49
888637.29,14.9,1.33,267688.18,4.49
888629.84,14.9,1.33,267544.43,4.48
888681.37,14.9,1.33,268013.43,4.49
888681.37,14.9,1.33,268023.51,4.49
888841.69,14.9,1.34,267994.75,4.49
888605.71,14.9,1.33,267850.99,4.49
888795.73,14.9,1.34,268265.28,4.5
888795.73,14.9,1.34,268254.6,4.5
888847.26,14.91,1.34,268368.51,4.5
888847.26,14.91,1.34,269669.27,4.52
888679.21,14.91,1.34,269450.67,4.52
888730.74,14.91,1.34,269508.27,4.52
888891.06,14.91,1.35,269479.5,4.52
888692.52,14.91,1.34,269248.38,4.52
888744.05,14.91,1.35,269423.34,4.52
888508.07,14.91,1.34,269347.16,4.52
888559.6,14.91,1.35,269465.63,4.52
888559.6,14.91,1.35,269178.5,4.52
888559.6,14.91,1.35,268896.64,4.51
888611.13,14.92,1.35,268955.69,4.51
888662.66,14.92,1.35,269074.16,4.52
888822.98,14.92,1.36,269101.89,4.52
888874.51,14.92,1.36,269220.36,4.52
888785.43,14.92,1.36,269290.58,4.52
888939.69,14.93,1.36,269373.64,4.52
888991.22,14.93,1.37,269492.11,4.53
889042.75,14.93,1.37,269551.16,4.53
888872.83,14.93,1.37,269478.41,4.53
889062.85,14.94,1.37,269401.2,4.53
889062.85,14.94,1.37,269400.61,4.53
889025.7,14.94,1.37,269305.29,4.52
889179.96,14.94,1.37,269878.08,4.53
889340.28,14.94,1.38,269849.32,4.53
889104.3,14.94,1.38,269705.56,4.53
889155.83,14.94,1.38,269948.09,4.54
889316.15,14.95,1.38,269919.33,4.54
889090.17,14.95,1.38,270049.49,4.54
889141.7,14.95,1.38,270027.9,4.54
888881.77,14.95,1.38,269725.44,4.53
889289.92,14.95,1.39,269656.7,4.53
889682.09,14.96,1.39,269870.96,4.54
889847.99,14.96,1.4,269818.25,4.54
890002.26,14.97,1.4,270074.72,4.54
889793.72,14.97,1.4,269914.39,4.54
889845.25,14.97,1.4,270032.87,4.54
896693.15,15.08,1.52,277298.4,4.66
896523.22,15.08,1.52,277347.93,4.67
896291.65,15.08,1.51,277112.12,4.66
896451.97,15.08,1.52,277139.84,4.66
896503.5,15.09,1.52,277258.32,4.67
896701.78,15.09,1.52,277374.62,4.67
896701.78,15.09,1.52,277374.62,4.67
896407.84,15.09,1.52,277190.26,4.67
896459.37,15.09,1.52,277308.74,4.67
896510.9,15.09,1.53,277367.78,4.67
896562.43,15.1,1.53,277486.26,4.67
896613.96,15.1,1.53,277545.3,4.67
896665.49,15.1,1.54,277659.21,4.68
896717.02,15.1,1.54,277716.81,4.68
896700.27,15.1,1.54,277787.68,4.68
897101.7,15.11,1.55,277845.84,4.68
896892.48,15.11,1.54,277695.75,4.68
896956.29,15.11,1.55,277346.75,4.67
897109.71,15.11,1.55,277595.84,4.68
897279.11,15.12,1.55,277506.32,4.68
897279.11,15.12,1.55,277595.74,4.68
897004.05,15.12,1.55,277512.74,4.68
897004.05,15.12,1.55,277517.32,4.68
897004.05,15.12,1.55,277909.31,4.68
897195.87,15.12,1.55,278317.62,4.69
897247.4,15.12,1.56,278431.53,4.69
897161.91,15.12,1.56,278273.23,4.69
