ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
427,2091,383480,6212,383480
428,2095,383480,6212,383480
429,2103,384480,6212,384480
430,2105,385290,6212,385290
430,2105,385520,6212,385520
431,2107,386520,6212,386520
432,2109,387520,6212,387520
433,2117,388520,6212,388520
434,2125,389520,6212,389520
435,2133,389990,6212,389990
435,2133,390990,6212,390990
435,2133,391990,6212,391990
435,2133,392990,6212,392990
436,2141,393990,6212,393990
437,2143,394800,6212,394800
437,2143,395800,6212,395800
438,2145,396800,6212,396800
439,2147,397800,6212,397800
439,2147,398030,6212,398030
440,2155,398030,6212,398030
440,2155,399030,6212,399030
441,2163,399840,6212,399840
442,2165,400840,6212,400840
442,2165,401840,6212,401840
443,2167,402160,6212,402160
444,2175,403160,6212,403160
445,2177,403160,6212,403160
445,2177,404160,6212,404160
445,2177,404970,6212,404970
446,2185,405520,6212,405520
446,2185,405520,6212,405520
447,2187,405680,6212,405680
448,2189,406000,6212,406000
448,2189,406810,6212,406810
449,2197,407280,6212,407280
450,2205,408280,6212,408280
451,2213,409090,6212,409090
452,2215,409560,6212,409560
453,2217,410020,6212,410020
453,2217,411020,6212,411020
454,2219,412020,6212,412020
