ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
90,270,219010,6212,219010
90,270,219330,6212,219330
90,270,220140,6212,220140
90,270,221140,6212,221140
91,274,222140,6212,222140
91,274,222140,6212,222140
91,274,223140,6212,223140
91,274,223790,6212,223790
91,274,223790,6212,223790
91,274,224790,6212,224790
92,276,226790,6212,226790
92,276,227020,6212,227020
92,276,227490,6212,227490
93,278,228490,6212,228490
93,278,229300,6212,229300
93,278,230300,6212,230300
93,278,231300,6212,231300
94,280,232300,6212,232300
95,282,233110,6212,233110
95,282,233110,6212,233110
95,282,233920,6212,233920
95,282,234510,6212,234510
95,282,234830,6212,234830
96,284,235830,6212,235830
96,284,235830,6212,235830
96,284,235830,6212,235830
96,284,236300,6212,236300
96,284,237110,6212,237110
96,284,237110,6212,237110
97,286,238110,6212,238110
97,286,238340,6212,238340
98,288,239340,6212,239340
98,288,240340,6212,240340
99,290,241340,6212,241340
99,290,241340,6212,241340
99,290,241660,6212,241660
99,290,242130,6212,242130
100,292,243130,6212,243130
100,292,243130,6212,243130
100,292,243780,6212,243780
101,294,244590,6212,244590
102,302,252590,6212,252590
103,304,253590,6212,253590
103,304,254590,6212,254590
103,304,255590,6212,255590
104,308,256240,6212,256240
105,310,257240,6212,257240
105,310,257710,6212,257710
106,312,258710,6212,258710
106,312,259710,6212,259710
106,312,260710,6212,260710
107,314,261710,6212,261710
107,314,262710,6212,262710
107,314,262940,6212,262940
108,316,263940,6212,263940
109,318,264940,6212,264940
109,318,265750,6212,265750
109,318,266560,6212,266560
109,318,267030,6212,267030
110,320,268030,6212,268030
110,320,269030,6212,269030
111,322,270030,6212,270030
111,322,271030,6212,271030
111,322,271030,6212,271030
111,322,271580,6212,271580
111,322,272050,6212,272050
111,322,272700,6212,272700
111,322,272700,6212,272700
112,324,273700,6212,273700
112,324,274700,6212,274700
113,326,275510,6212,275510
113,326,275980,6212,275980
113,326,276980,6212,276980
114,328,277980,6212,277980
114,328,278980,6212,278980
115,330,279790,6212,279790
115,330,280790,6212,280790
116,338,288790,6212,288790
117,340,289600,6212,289600
117,340,290600,6212,290600
117,340,291150,6212,291150
118,342,292150,6212,292150
118,342,293150,6212,293150
119,350,293620,6212,293620
120,352,294620,6212,294620
120,352,295430,6212,295430
120,352,296080,6212,296080
121,354,297080,6212,297080
121,354,298080,6212,298080
122,356,299080,6212,299080
123,358,300080,6212,300080
123,358,301080,6212,301080
124,366,302080,6212,302080
124,366,303080,6212,303080
124,366,304080,6212,304080
