ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1489876.42,24.47,0.26,193095.39,3.17
1489581.68,24.47,0.26,192746.11,3.17
1489581.68,24.47,0.26,192746.11,3.17
1489339.58,24.47,0.26,192899.65,3.17
1488932.11,24.47,0.26,192484.98,3.16
1488848.42,24.47,0.26,191957.18,3.16
1488553.68,24.47,0.26,191607.89,3.15
1488639.47,24.47,0.26,191736.29,3.15
1488639.47,24.47,0.26,191736.29,3.15
1488639.47,24.47,0.26,191736.29,3.15
1488431.58,24.47,0.26,191574.35,3.15
1488350.53,24.47,0.26,190494.28,3.13
1488656.63,24.48,0.27,190360.77,3.13
1488572.95,24.48,0.27,189832.98,3.12
1488330.84,24.48,0.27,189830.93,3.12
1488226.11,24.48,0.27,189671.64,3.12
1488226.11,24.48,0.27,189671.64,3.12
1488226.11,24.48,0.27,189671.64,3.12
1487984.0,24.48,0.27,189671.63,3.12
1487931.89,24.48,0.27,189709.99,3.12
1487931.89,24.48,0.27,189709.99,3.12
1487931.89,24.48,0.27,189709.99,3.12
1487848.21,24.49,0.28,189182.19,3.11
738470.21,12.15,0.57,239438.95,3.94
737901.79,12.15,0.57,238747.14,3.93
737764.95,12.15,0.57,238588.04,3.93
737512.32,12.14,0.57,238181.22,3.92
737735.47,12.15,0.57,238097.71,3.92
737598.63,12.15,0.57,237938.69,3.92
737672.84,12.15,0.57,237938.59,3.92
737672.84,12.15,0.57,237938.59,3.92
737536.0,12.15,0.57,237779.57,3.92
737451.79,12.15,0.57,237754.93,3.92
737325.47,12.15,0.57,238444.45,3.93
737399.68,12.15,0.58,238484.02,3.93
737760.21,12.16,0.58,238691.14,3.93
737422.84,12.16,0.58,238598.63,3.93
737307.05,12.16,0.58,238598.28,3.93
737609.68,12.16,0.58,238598.28,3.93
737493.89,12.16,0.58,238670.59,3.94
737409.68,12.16,0.58,238681.42,3.94
737051.26,12.16,0.58,238645.57,3.94
736924.95,12.16,0.58,238621.96,3.94
736999.16,12.16,0.58,239162.6,3.95
737052.32,12.16,0.58,239228.28,3.95
736926.0,12.16,0.58,238569.17,3.94
736926.0,12.16,0.58,238569.17,3.94
736673.37,12.16,0.58,238191.33,3.93
736976.0,12.17,0.59,238191.27,3.93
736860.21,12.17,0.59,238190.88,3.93
736501.79,12.16,0.58,238190.88,3.93
736883.37,12.17,0.59,238223.88,3.93
736767.58,12.17,0.59,238233.31,3.94
736841.79,12.17,0.59,238232.7,3.94
736916.0,12.18,0.6,238231.43,3.94
736588.63,12.17,0.59,238195.44,3.94
736662.84,12.17,0.59,238195.44,3.94
736886.0,12.18,0.6,238310.23,3.94
736667.05,12.18,0.6,238089.27,3.94
736667.05,12.18,0.6,238089.27,3.94
736667.05,12.18,0.6,238089.27,3.94
736667.05,12.18,0.6,238563.14,3.94
736582.84,12.18,0.6,238357.59,3.94
736646.53,12.18,0.6,238210.2,3.94
736183.37,12.18,0.6,238879.82,3.95
736067.58,12.18,0.6,238877.94,3.95
735951.79,12.18,0.6,238877.94,3.95
735836.0,12.18,0.6,240006.42,3.97
735709.68,12.18,0.6,239378.31,3.96
735593.89,12.18,0.6,239376.51,3.96
735871.26,12.19,0.61,239497.67,3.97
735755.47,12.19,0.61,239497.59,3.97
735639.68,12.19,0.61,240539.57,3.98
735942.32,12.19,0.61,240538.25,3.98
735847.58,12.19,0.61,241099.95,3.99
735689.68,12.19,0.61,240830.88,3.99
735763.89,12.19,0.62,239723.13,3.97
735648.11,12.19,0.62,239722.57,3.97
735289.68,12.19,0.61,239899.24,3.98
735163.37,12.19,0.61,239240.14,3.97
734910.74,12.19,0.61,238862.3,3.96
734794.95,12.19,0.61,238865.85,3.96
734679.16,12.19,0.61,238894.46,3.96
734594.95,12.19,0.61,238846.68,3.96
734916.0,12.19,0.62,239734.81,3.98
734789.68,12.19,0.62,239075.7,3.97
734789.68,12.19,0.62,239204.01,3.97
734537.05,12.19,0.61,238826.18,3.96
734421.26,12.19,0.61,238825.68,3.96
734305.47,12.19,0.61,238824.3,3.97
733996.53,12.19,0.61,238511.56,3.96
734070.74,12.19,0.61,237469.58,3.94
734144.95,12.19,0.61,237203.19,3.94
734413.37,12.2,0.62,237556.86,3.95
734057.05,12.19,0.62,237166.93,3.94
734057.05,12.19,0.62,237166.93,3.94
733850.74,12.19,0.61,236960.41,3.94
734153.37,12.2,0.62,236960.41,3.94
733933.37,12.19,0.61,236740.41,3.93
733807.05,12.19,0.61,236081.3,3.92
733744.42,12.19,0.62,235893.46,3.92
733628.63,12.19,0.62,236304.31,3.93
733702.84,12.2,0.62,236303.69,3.93
733702.84,12.2,0.62,236303.69,3.93
733344.42,12.19,0.61,236191.77,3.93
733228.63,12.19,0.61,236190.72,3.93
733144.42,12.19,0.61,235924.01,3.92
733218.63,12.2,0.62,235923.79,3.92
733113.37,12.2,0.62,236575.01,3.94
733029.16,12.2,0.62,236268.12,3.93
733330.63,12.2,0.62,236438.11,3.93
733214.84,12.2,0.62,236596.82,3.94
733289.05,12.21,0.63,236596.2,3.94
733204.84,12.21,0.63,236590.88,3.94
733496.95,12.21,0.63,236478.44,3.94
733496.95,12.21,0.63,236478.44,3.94
733571.16,12.22,0.64,237432.17,3.95
733624.32,12.22,0.64,237609.19,3.96
733624.32,12.22,0.64,237609.19,3.96
733508.53,12.22,0.64,237607.94,3.96
733392.74,12.22,0.64,237607.92,3.96
733174.11,12.21,0.64,237389.29,3.95
732921.47,12.21,0.64,237205.25,3.95
749680.11,12.49,0.91,439480.96,7.32
749617.47,12.49,0.92,438798.44,7.31
749617.47,12.49,0.92,438798.44,7.31
749449.05,12.49,0.91,438167.15,7.3
749196.42,12.49,0.91,437800.97,7.3
749218.0,12.49,0.91,437366.21,7.29
749081.16,12.49,0.91,437243.02,7.29
748828.53,12.49,0.91,436870.31,7.29
748691.68,12.49,0.91,436808.58,7.29
748713.26,12.49,0.91,436373.82,7.28
748421.16,12.49,0.91,436067.82,7.28
748358.53,12.49,0.91,435885.12,7.27
748221.68,12.49,0.91,435367.05,7.27
748084.84,12.49,0.91,435271.57,7.27
748084.84,12.49,0.91,435271.57,7.27
