ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
79,302,192510,6212,192510
79,302,193320,6212,193320
79,302,194320,6212,194320
80,304,195320,6212,195320
80,304,196320,6212,196320
80,304,197320,6212,197320
80,304,197320,6212,197320
80,304,197640,6212,197640
81,312,197640,6212,197640
82,314,198640,6212,198640
82,314,199640,6212,199640
83,316,200640,6212,200640
83,316,201640,6212,201640
84,318,202290,6212,202290
84,318,202290,6212,202290
85,326,202290,6212,202290
85,326,203100,6212,203100
85,326,203100,6212,203100
85,326,204100,6212,204100
85,326,204910,6212,204910
85,326,205720,6212,205720
86,328,206720,6212,206720
86,328,207190,6212,207190
86,328,208190,6212,208190
86,328,209000,6212,209000
86,328,210000,6212,210000
87,330,211000,6212,211000
87,330,211810,6212,211810
87,330,212810,6212,212810
88,338,212810,6212,212810
88,338,213620,6212,213620
88,338,214620,6212,214620
88,338,214940,6212,214940
89,340,215940,6212,215940
89,340,216940,6212,216940
89,340,217310,6212,217310
90,342,218310,6212,218310
90,342,219310,6212,219310
91,344,220310,6212,220310
91,344,221310,6212,221310
92,346,222310,6212,222310
92,346,230310,6212,230310
92,346,230310,6212,230310
92,346,231310,6212,231310
92,346,231310,6212,231310
