ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
319,742,504560,6212,504560
320,744,505030,6212,505030
320,744,505580,6212,505580
321,746,506230,6212,506230
321,746,507040,6212,507040
321,746,507360,6212,507360
322,748,508010,6212,508010
322,748,508820,6212,508820
323,750,509630,6212,509630
323,750,510440,6212,510440
323,750,510440,6212,510440
323,750,510440,6212,510440
323,750,510660,6212,510660
323,750,511130,6212,511130
324,752,511940,6212,511940
324,752,512260,6212,512260
324,752,512580,6212,512580
324,752,512810,6212,512810
325,754,513620,6212,513620
325,754,514430,6212,514430
325,754,514890,6212,514890
326,756,515210,6212,515210
327,764,515210,6212,515210
327,764,515680,6212,515680
327,764,516000,6212,516000
327,764,517000,6212,517000
328,766,517810,6212,517810
328,766,518620,6212,518620
328,766,519090,6212,519090
328,766,519090,6212,519090
329,768,519740,6212,519740
330,770,520740,6212,520740
330,770,521550,6212,521550
