ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1786980.59,29.4,0.88,193189.7,3.18
1786980.59,29.4,0.88,193189.7,3.18
1786980.59,29.4,0.88,193189.7,3.18
1787057.54,29.4,0.89,193017.82,3.18
1786500.74,29.4,0.88,192465.91,3.17
1786500.74,29.4,0.88,192465.91,3.17
1786500.74,29.4,0.88,192465.91,3.17
1785948.65,29.39,0.88,191970.42,3.16
1785897.57,29.39,0.88,191956.07,3.16
1785680.53,29.39,0.88,191950.53,3.16
1786010.68,29.4,0.89,192036.74,3.16
1785688.28,29.4,0.89,191646.18,3.16
1786110.52,29.41,0.9,191767.86,3.16
1786440.67,29.42,0.91,191854.07,3.16
1785888.57,29.42,0.91,191358.59,3.15
1786882.51,29.44,0.92,192251.68,3.17
1786667.01,29.44,0.92,192188.17,3.17
1786743.97,29.44,0.93,192016.29,3.16
1786526.92,29.44,0.93,192010.99,3.16
1785970.12,29.44,0.92,191459.08,3.16
1785979.96,29.44,0.93,190981.46,3.15
1786433.01,29.45,0.93,191146.68,3.15
1786492.92,29.46,0.94,190910.35,3.15
1786709.37,29.46,0.95,190981.31,3.15
1786786.32,29.47,0.95,190789.06,3.15
1786863.27,29.47,0.96,190617.18,3.14
1786800.37,29.48,0.96,190598.17,3.14
1786877.32,29.48,0.97,190405.92,3.14
1786320.51,29.48,0.96,189874.38,3.13
1785763.71,29.47,0.96,189322.46,3.12
1785016.91,29.46,0.95,188600.92,3.11
1785016.91,29.46,0.95,188600.92,3.11
1784799.86,29.46,0.95,188813.57,3.12
1785391.08,29.48,0.96,189124.13,3.12
1785382.43,29.48,0.97,188783.73,3.12
1785010.49,29.48,0.96,188491.31,3.11
1784909.35,29.48,0.96,188442.46,3.11
1784986.3,29.48,0.97,188250.21,3.11
1784429.5,29.48,0.96,187718.66,3.1
1783956.92,29.48,0.96,187333.62,3.1
1784395.97,29.48,0.97,187263.29,3.09
1783854.89,29.48,0.96,186758.94,3.09
1784277.13,29.49,0.97,186880.63,3.09
1784305.04,29.49,0.98,186965.15,3.09
1785298.97,29.51,0.99,187858.24,3.1
1785298.97,29.51,0.99,187858.24,3.1
1785298.97,29.51,0.99,187858.24,3.1
1785390.65,29.51,1.0,187657.55,3.1
1784819.12,29.51,0.99,187134.45,3.09
1783587.36,29.51,0.99,186921.05,3.09
1783371.87,29.51,0.99,186969.91,3.09
1783073.48,29.51,0.99,186925.06,3.09
1782773.54,29.51,0.99,186894.44,3.09
1782556.5,29.51,0.99,186776.76,3.09
1782258.11,29.51,0.99,186706.83,3.09
1782849.34,29.52,1.01,187017.39,3.1
1782549.4,29.52,1.01,187011.84,3.1
1782879.55,29.53,1.02,187098.05,3.1
1783470.77,29.54,1.03,187408.6,3.1
1783255.27,29.55,1.03,187401.24,3.1
1783038.23,29.55,1.03,187339.8,3.1
1782497.16,29.54,1.02,186835.45,3.1
1782823.43,29.55,1.03,186917.78,3.1
1782780.67,29.55,1.04,187141.81,3.1
1782049.6,29.55,1.03,186447.46,3.09
1782126.55,29.55,1.04,186255.21,3.09
1782203.5,29.56,1.04,186083.32,3.09
1781905.37,29.56,1.04,186133.34,3.09
1781896.72,29.56,1.05,185792.95,3.08
1781774.34,29.56,1.05,185758.36,3.08
1781027.53,29.56,1.04,185036.82,3.07
1781027.53,29.56,1.04,185036.82,3.07
1781104.49,29.56,1.05,184864.94,3.07
1781181.44,29.57,1.05,184693.05,3.07
1781258.39,29.58,1.06,184500.8,3.06
1781831.58,29.59,1.07,184550.32,3.06
1781274.78,29.58,1.07,183998.41,3.06
1780717.97,29.58,1.06,183446.5,3.05
1780917.44,29.58,1.07,183385.37,3.05
1780884.4,29.58,1.07,183632.05,3.05
1780884.4,29.58,1.07,183632.05,3.05
1780907.6,29.59,1.07,183660.14,3.05
1781498.82,29.6,1.08,183970.69,3.06
1781306.16,29.6,1.08,184232.07,3.06
1781008.03,29.6,1.08,184193.86,3.06
1780451.23,29.59,1.07,183662.32,3.05
1780528.18,29.6,1.08,183490.43,3.05
1779971.38,29.59,1.07,182938.52,3.04
1779971.38,29.59,1.07,182938.52,3.04
1780424.43,29.6,1.08,183103.73,3.04
1780352.39,29.6,1.09,183907.48,3.06
1780412.3,29.61,1.09,183671.15,3.05
1779872.53,29.61,1.09,183183.69,3.05
1779279.63,29.6,1.09,182634.68,3.04
1779248.25,29.6,1.09,182268.59,3.03
1779839.47,29.62,1.1,182579.15,3.04
1779916.43,29.62,1.11,182386.9,3.04
1779359.62,29.62,1.1,181855.35,3.03
1779063.82,29.62,1.1,181834.59,3.03
1779278.71,29.62,1.11,182113.7,3.03
1779278.71,29.62,1.11,182113.7,3.03
