ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
2084272.67,35.59,0.42,199657.33,3.41
2083896.7,35.59,0.42,199657.8,3.41
2083896.7,35.59,0.42,199633.1,3.41
2083493.88,35.59,0.42,199611.18,3.41
2083249.05,35.59,0.42,199617.97,3.41
2083004.21,35.6,0.42,199558.68,3.41
2082630.11,35.59,0.42,199197.61,3.4
2082307.71,35.59,0.42,199144.72,3.4
2081904.89,35.59,0.42,199165.65,3.4
2081690.63,35.59,0.42,199151.16,3.41
2081476.37,35.59,0.42,199140.02,3.41
2081231.54,35.6,0.42,199091.16,3.41
2081231.54,35.6,0.42,199089.91,3.41
2081258.38,35.6,0.42,199099.27,3.41
2081013.54,35.6,0.42,199095.63,3.41
2080803.16,35.6,0.42,198777.87,3.4
2080433.51,35.6,0.42,199217.18,3.41
2080188.68,35.6,0.42,199223.96,3.41
2080007.46,35.6,0.42,198093.82,3.39
2080087.23,35.61,0.43,198347.32,3.4
2080087.23,35.61,0.43,198320.45,3.39
2079842.4,35.61,0.43,198271.59,3.39
2079597.56,35.61,0.43,198267.95,3.39
2079690.35,35.61,0.43,199117.43,3.41
2079509.13,35.62,0.43,198703.44,3.4
2079139.36,35.62,0.43,198658.47,3.4
2078792.43,35.62,0.43,198496.16,3.4
2078437.5,35.62,0.43,198489.13,3.4
2078055.73,35.61,0.43,198535.91,3.4
2077862.5,35.62,0.44,198497.78,3.4
2077862.5,35.62,0.44,198497.2,3.4
2077617.67,35.62,0.44,198448.05,3.4
2077214.85,35.62,0.44,198590.97,3.41
2076875.54,35.62,0.44,200941.48,3.45
2077064.8,35.62,0.44,200930.73,3.45
2076661.99,35.62,0.44,200777.3,3.44
2076259.17,35.62,0.44,201139.3,3.45
2076259.17,35.62,0.44,201095.29,3.45
2075877.4,35.62,0.44,201076.02,3.45
2075684.17,35.62,0.44,201061.36,3.45
2075479.34,35.62,0.44,200851.62,3.45
2075097.57,35.62,0.44,201172.39,3.45
2074715.79,35.62,0.44,201067.65,3.45
2074334.02,35.62,0.44,201210.9,3.46
2073979.08,35.62,0.44,201214.64,3.46
2073604.99,35.62,0.44,201204.59,3.46
2073223.21,35.62,0.44,201177.18,3.46
2072841.44,35.62,0.44,201236.12,3.46
2072459.66,35.62,0.44,201197.52,3.46
2072077.88,35.61,0.44,201167.11,3.46
2071884.66,35.62,0.44,201405.14,3.46
2071502.89,35.62,0.44,201347.8,3.46
2071121.11,35.62,0.44,201344.7,3.46
2070876.27,35.62,0.44,201341.34,3.46
2071132.66,35.62,0.45,201344.99,3.46
2071132.66,35.62,0.45,201311.35,3.46
2070887.83,35.63,0.45,201262.2,3.46
2070673.56,35.63,0.45,201240.34,3.46
2070270.75,35.63,0.45,201267.98,3.46
2070025.91,35.63,0.45,201264.62,3.46
2070211.42,35.63,0.45,200823.48,3.46
2069808.6,35.63,0.45,200803.75,3.46
2069808.6,35.63,0.45,200791.0,3.46
2069563.77,35.63,0.45,200797.79,3.46
2069349.51,35.64,0.45,200793.2,3.46
2068934.22,35.63,0.45,200831.98,3.46
2068934.22,35.63,0.45,200831.98,3.46
