ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
73,268,183740,6212,183740
73,268,184740,6212,184740
74,270,185200,6212,185200
74,270,186200,6212,186200
74,270,186200,6212,186200
74,270,187200,6212,187200
74,270,188200,6212,188200
74,270,189200,6212,189200
75,272,189520,6212,189520
75,272,190330,6212,190330
75,272,191140,6212,191140
75,272,191690,6212,191690
75,272,192160,6212,192160
75,272,192160,6212,192160
75,272,192390,6212,192390
76,274,192860,6212,192860
76,274,193080,6212,193080
76,274,194080,6212,194080
76,274,194890,6212,194890
76,274,195890,6212,195890
77,282,196700,6212,196700
77,282,196700,6212,196700
77,282,197170,6212,197170
77,282,198170,6212,198170
78,284,199170,6212,199170
78,284,199980,6212,199980
78,284,200980,6212,200980
78,284,201980,6212,201980
78,284,202450,6212,202450
78,284,203450,6212,203450
78,284,204260,6212,204260
78,284,205260,6212,205260
79,286,205730,6212,205730
79,286,205730,6212,205730
79,286,206540,6212,206540
80,294,207350,6212,207350
80,294,207350,6212,207350
80,294,208350,6212,208350
80,294,209350,6212,209350
80,294,209580,6212,209580
81,302,211580,6212,211580
81,302,211580,6212,211580
81,302,212390,6212,212390
81,302,212390,6212,212390
81,302,213390,6212,213390
81,302,214390,6212,214390
81,302,215200,6212,215200
81,302,216200,6212,216200
81,302,217200,6212,217200
81,302,218200,6212,218200
82,304,219010,6212,219010
82,304,219330,6212,219330
82,304,220140,6212,220140
82,304,221140,6212,221140
82,304,222140,6212,222140
82,304,222140,6212,222140
83,306,223140,6212,223140
83,306,223790,6212,223790
83,306,223790,6212,223790
83,306,224790,6212,224790
84,310,226790,6212,226790
84,310,227020,6212,227020
84,310,227490,6212,227490
85,312,228490,6212,228490
85,312,229300,6212,229300
85,312,230300,6212,230300
86,314,231300,6212,231300
86,314,232300,6212,232300
86,314,233110,6212,233110
86,314,233110,6212,233110
86,314,233920,6212,233920
86,314,234510,6212,234510
86,314,234830,6212,234830
86,314,235830,6212,235830
86,314,235830,6212,235830
