ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
179,422,360960,6212,360960
179,422,361960,6212,361960
179,422,362280,6212,362280
180,424,363280,6212,363280
180,424,364280,6212,364280
181,426,365090,6212,365090
182,428,366090,6212,366090
182,428,366560,6212,366560
183,430,367560,6212,367560
183,430,368370,6212,368370
184,432,370370,6212,370370
184,432,371370,6212,371370
184,432,372370,6212,372370
184,432,373370,6212,373370
185,434,374370,6212,374370
186,436,375180,6212,375180
186,436,376180,6212,376180
186,436,376550,6212,376550
187,438,377200,6212,377200
187,438,377670,6212,377670
187,438,378480,6212,378480
188,440,379480,6212,379480
188,440,379480,6212,379480
189,442,380480,6212,380480
189,442,381480,6212,381480
189,442,381640,6212,381640
189,442,381640,6212,381640
189,442,381640,6212,381640
190,444,382450,6212,382450
191,446,383450,6212,383450
191,446,383920,6212,383920
191,446,384920,6212,384920
192,448,385920,6212,385920
193,450,386730,6212,386730
193,450,387540,6212,387540
194,452,388540,6212,388540
194,452,388700,6212,388700
194,452,389700,6212,389700
194,452,390020,6212,390020
194,452,391020,6212,391020
194,452,391020,6212,391020
195,454,392020,6212,392020
196,456,392830,6212,392830
196,456,393300,6212,393300
196,456,394300,6212,394300
197,458,395300,6212,395300
197,458,395770,6212,395770
197,458,395770,6212,395770
198,460,396580,6212,396580
198,460,397390,6212,397390
199,462,398200,6212,398200
200,464,399200,6212,399200
200,464,400200,6212,400200
201,466,401200,6212,401200
201,466,401670,6212,401670
201,466,402670,6212,402670
201,466,402670,6212,402670
202,468,403670,6212,403670
203,470,404670,6212,404670
203,470,405480,6212,405480
204,472,406290,6212,406290
204,472,407290,6212,407290
205,474,408290,6212,408290
205,474,408760,6212,408760
205,474,409760,6212,409760
206,476,410760,6212,410760
206,476,411760,6212,411760
206,476,412230,6212,412230
207,478,413230,6212,413230
207,478,413230,6212,413230
208,480,413700,6212,413700
208,480,414020,6212,414020
208,480,414180,6212,414180
208,480,415180,6212,415180
208,480,415990,6212,415990
208,480,416990,6212,416990
209,482,417990,6212,417990
210,484,418990,6212,418990
210,484,419990,6212,419990
211,486,420990,6212,420990
211,486,421990,6212,421990
211,486,422990,6212,422990
212,488,423990,6212,423990
213,490,424460,6212,424460
214,498,424460,6212,424460
214,498,424460,6212,424460
215,500,425460,6212,425460
216,502,426110,6212,426110
216,502,426110,6212,426110
216,502,427110,6212,427110
216,502,427920,6212,427920
217,504,428920,6212,428920
217,504,428920,6212,428920
218,512,436920,6212,436920
218,512,437920,6212,437920
218,512,438380,6212,438380
218,512,439380,6212,439380
218,512,439850,6212,439850
218,512,439850,6212,439850
218,512,440850,6212,440850
219,514,441850,6212,441850
219,514,442850,6212,442850
220,516,443320,6212,443320
220,516,443640,6212,443640
221,518,444640,6212,444640
221,518,445450,6212,445450
222,520,446260,6212,446260
222,520,446260,6212,446260
222,520,446260,6212,446260
222,520,447260,6212,447260
223,522,448260,6212,448260
223,522,449070,6212,449070
223,522,449540,6212,449540
223,522,450540,6212,450540
224,524,451540,6212,451540
224,524,452540,6212,452540
225,526,453540,6212,453540
225,526,454540,6212,454540
226,528,455540,6212,455540
226,528,455540,6212,455540
227,530,456000,6212,456000
227,530,457000,6212,457000
227,530,457810,6212,457810
228,532,458810,6212,458810
228,532,459810,6212,459810
229,534,460810,6212,460810
229,534,461810,6212,461810
230,536,462810,6212,462810
230,536,463810,6212,463810
230,536,464280,6212,464280
231,538,465280,6212,465280
232,540,465750,6212,465750
232,540,466750,6212,466750
233,542,467750,6212,467750
233,542,468070,6212,468070
233,542,469070,6212,469070
234,544,470070,6212,470070
234,544,470070,6212,470070
234,544,470720,6212,470720
235,546,471530,6212,471530
235,546,471530,6212,471530
236,550,475530,6212,475530
237,552,476530,6212,476530
237,552,476530,6212,476530
237,552,476760,6212,476760
237,552,477080,6212,477080
237,552,478080,6212,478080
238,554,479080,6212,479080
238,554,479730,6212,479730
238,554,480730,6212,480730
238,554,481200,6212,481200
239,556,482200,6212,482200
239,556,482200,6212,482200
239,556,483200,6212,483200
240,558,483670,6212,483670
240,558,484670,6212,484670
241,560,485670,6212,485670
241,560,486260,6212,486260
242,562,487070,6212,487070
242,562,488070,6212,488070
242,562,488390,6212,488390
243,564,489390,6212,489390
244,572,497390,6212,497390
244,572,498390,6212,498390
245,574,499390,6212,499390
245,574,499860,6212,499860
245,574,500860,6212,500860
246,576,501860,6212,501860
246,576,502860,6212,502860
246,576,503330,6212,503330
246,576,503800,6212,503800
247,578,504270,6212,504270
247,578,505080,6212,505080
247,578,505080,6212,505080
248,580,506080,6212,506080
249,582,506890,6212,506890
249,582,507890,6212,507890
