ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
266,606,385950,6212,385950
267,608,386420,6212,386420
267,608,386890,6212,386890
267,608,387360,6212,387360
267,608,387360,6212,387360
267,608,387360,6212,387360
268,610,388170,6212,388170
268,610,388640,6212,388640
268,610,389110,6212,389110
269,612,389920,6212,389920
269,612,390730,6212,390730
269,612,390730,6212,390730
269,612,391200,6212,391200
270,614,391670,6212,391670
270,614,392480,6212,392480
271,616,393290,6212,393290
271,616,394290,6212,394290
272,618,395100,6212,395100
272,618,396100,6212,396100
273,620,397100,6212,397100
273,620,397910,6212,397910
274,622,398910,6212,398910
274,622,399720,6212,399720
275,624,400530,6212,400530
275,624,401530,6212,401530
276,626,402530,6212,402530
276,626,403010,6212,403010
276,626,404010,6212,404010
277,628,404820,6212,404820
277,628,405820,6212,405820
278,630,406630,6212,406630
278,630,406630,6212,406630
279,634,407100,6212,407100
279,634,407570,6212,407570
280,638,411570,6212,411570
280,638,411890,6212,411890
280,638,412890,6212,412890
280,638,413360,6212,413360
280,638,414170,6212,414170
280,638,414640,6212,414640
280,638,414640,6212,414640
280,638,415110,6212,415110
281,640,416110,6212,416110
281,640,416920,6212,416920
281,640,416920,6212,416920
281,640,417150,6212,417150
281,640,417150,6212,417150
282,642,418150,6212,418150
282,642,418150,6212,418150
282,642,418620,6212,418620
282,642,419090,6212,419090
282,642,419560,6212,419560
283,644,420560,6212,420560
283,644,421560,6212,421560
284,646,422560,6212,422560
284,646,422560,6212,422560
284,646,422890,6212,422890
284,646,423890,6212,423890
285,648,424540,6212,424540
285,648,425350,6212,425350
286,650,426350,6212,426350
286,650,427160,6212,427160
287,652,428160,6212,428160
287,652,428970,6212,428970
287,652,429200,6212,429200
287,652,429200,6212,429200
287,652,429200,6212,429200
288,654,429670,6212,429670
288,654,430480,6212,430480
288,654,430800,6212,430800
288,654,431270,6212,431270
289,656,432270,6212,432270
289,656,433270,6212,433270
290,658,434080,6212,434080
290,658,435080,6212,435080
291,660,435890,6212,435890
291,660,436480,6212,436480
292,662,437480,6212,437480
292,662,437950,6212,437950
292,662,438270,6212,438270
292,662,438740,6212,438740
293,664,439210,6212,439210
293,664,439800,6212,439800
294,666,440800,6212,440800
294,666,440800,6212,440800
294,666,441800,6212,441800
294,666,442270,6212,442270
295,668,442740,6212,442740
295,668,443210,6212,443210
295,668,443860,6212,443860
296,670,444670,6212,444670
296,670,445320,6212,445320
296,670,445690,6212,445690
297,672,446160,6212,446160
297,672,446630,6212,446630
297,672,447440,6212,447440
298,674,447900,6212,447900
298,674,448710,6212,448710
299,676,449360,6212,449360
299,676,450360,6212,450360
300,678,451170,6212,451170
300,678,451540,6212,451540
300,678,452540,6212,452540
301,680,453540,6212,453540
301,680,453540,6212,453540
301,680,454350,6212,454350
302,682,455350,6212,455350
302,682,455670,6212,455670
302,682,456320,6212,456320
302,682,456790,6212,456790
303,684,457380,6212,457380
303,684,457540,6212,457540
303,684,458350,6212,458350
304,686,459350,6212,459350
304,686,460160,6212,460160
305,688,461160,6212,461160
305,688,461160,6212,461160
305,688,461630,6212,461630
305,688,462100,6212,462100
306,690,463100,6212,463100
306,690,463570,6212,463570
306,690,463800,6212,463800
306,690,464120,6212,464120
306,690,464590,6212,464590
307,692,465400,6212,465400
307,692,466210,6212,466210
307,692,466210,6212,466210
307,692,466210,6212,466210
308,694,467020,6212,467020
308,694,467570,6212,467570
309,696,468030,6212,468030
309,696,469030,6212,469030
309,696,469500,6212,469500
309,696,469500,6212,469500
310,698,470310,6212,470310
310,698,470310,6212,470310
310,698,470780,6212,470780
310,698,470780,6212,470780
311,700,471430,6212,471430
311,700,472430,6212,472430
311,700,472890,6212,472890
312,702,473360,6212,473360
312,702,473830,6212,473830
312,702,474640,6212,474640
313,704,475450,6212,475450
313,704,476260,6212,476260
314,706,477070,6212,477070
314,706,477390,6212,477390
314,706,477710,6212,477710
314,706,478520,6212,478520
315,708,478990,6212,478990
315,708,479540,6212,479540
316,710,480540,6212,480540
316,710,481350,6212,481350
316,710,481670,6212,481670
316,710,481670,6212,481670
317,712,482670,6212,482670
317,712,483670,6212,483670
317,712,484130,6212,484130
318,714,484600,6212,484600
318,714,485410,6212,485410
318,714,485730,6212,485730
318,714,486730,6212,486730
318,714,486730,6212,486730
318,714,487200,6212,487200
319,716,488200,6212,488200
319,716,489010,6212,489010
320,718,490010,6212,490010
320,718,490820,6212,490820
321,720,491290,6212,491290
321,720,491760,6212,491760
321,720,492080,6212,492080
321,720,493080,6212,493080
321,720,493080,6212,493080
322,722,494080,6212,494080
322,722,494540,6212,494540
323,724,495540,6212,495540
323,724,496350,6212,496350
324,726,497160,6212,497160
324,726,497630,6212,497630
324,726,497790,6212,497790
324,726,498260,6212,498260
324,726,498720,6212,498720
325,728,499370,6212,499370
325,728,500180,6212,500180
325,728,500180,6212,500180
326,730,500990,6212,500990
326,730,501310,6212,501310
326,730,501770,6212,501770
327,732,502770,6212,502770
327,732,503240,6212,503240
327,732,503240,6212,503240
327,732,503240,6212,503240
327,732,503710,6212,503710
328,734,504300,6212,504300
328,734,505300,6212,505300
329,736,506300,6212,506300
329,736,506760,6212,506760
329,736,507080,6212,507080
329,736,508080,6212,508080
330,738,508890,6212,508890
330,738,509890,6212,509890
331,740,510890,6212,510890
