ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
918439.12,15.08,1.46,210075.02,3.45
919052.78,15.09,1.47,210188.81,3.45
918667.24,15.09,1.47,209691.88,3.44
922122.42,15.15,1.53,212913.19,3.5
922174.35,15.15,1.53,212982.65,3.5
922066.21,15.15,1.53,212874.51,3.5
921917.97,15.15,1.53,212879.46,3.5
922173.03,15.15,1.53,212938.78,3.5
925628.2,15.21,1.59,216160.09,3.55
925680.14,15.21,1.59,216433.6,3.56
925732.07,15.21,1.59,216552.19,3.56
925784.0,15.22,1.6,216621.65,3.56
925835.93,15.22,1.6,216740.25,3.56
926449.59,15.23,1.61,216854.04,3.57
926233.57,15.23,1.61,216618.33,3.56
926454.89,15.23,1.61,216750.9,3.56
926069.35,15.23,1.61,216253.97,3.56
926121.28,15.23,1.61,216372.56,3.56
926809.4,15.25,1.63,216449.43,3.56
930264.58,15.3,1.68,219670.73,3.61
930089.34,15.3,1.68,219599.41,3.61
931217.42,15.32,1.7,220419.27,3.63
931145.54,15.32,1.7,220498.69,3.63
930929.9,15.32,1.69,220253.68,3.62
930981.83,15.32,1.7,220323.14,3.63
931033.76,15.32,1.7,220441.74,3.63
931255.08,15.33,1.71,220574.31,3.63
930967.56,15.32,1.7,220439.86,3.63
931233.91,15.33,1.71,220196.37,3.62
930845.68,15.33,1.7,219706.72,3.62
931620.51,15.34,1.72,220029.15,3.62
931370.55,15.34,1.72,219476.15,3.61
931212.41,15.33,1.71,219320.01,3.61
931264.34,15.34,1.72,219438.6,3.61
931316.28,15.34,1.72,219508.06,3.62
931929.94,15.35,1.73,219621.85,3.62
932704.77,15.37,1.75,219944.28,3.62
932932.83,15.37,1.75,219924.42,3.62
932638.56,15.37,1.75,219807.81,3.62
934326.68,15.4,1.77,220884.68,3.64
933941.14,15.39,1.77,220387.74,3.63
933501.18,15.39,1.77,219644.74,3.62
934276.01,15.4,1.78,219967.17,3.63
934327.95,15.4,1.78,220220.35,3.63
934181.24,15.4,1.78,219914.79,3.63
934409.3,15.41,1.79,219894.93,3.63
934461.24,15.41,1.79,219895.61,3.63
935236.07,15.42,1.8,220218.03,3.63
936010.9,15.44,1.82,220540.45,3.64
936624.56,15.45,1.83,220654.25,3.64
936239.02,15.45,1.82,220157.32,3.63
936539.29,15.45,1.83,219846.33,3.63
936117.14,15.45,1.83,219424.18,3.62
936136.74,15.45,1.83,219218.78,3.62
936818.93,15.46,1.84,219289.71,3.62
937635.65,15.48,1.86,220002.11,3.63
939134.42,15.5,1.88,222490.35,3.67
939816.61,15.51,1.89,222561.27,3.67
939868.54,15.52,1.9,222837.68,3.68
939920.47,15.52,1.9,222956.28,3.68
