ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
202,442,329890,6212,329890
203,444,330890,6212,330890
203,444,330890,6212,330890
203,444,331700,6212,331700
204,446,332290,6212,332290
204,446,333100,6212,333100
205,448,333910,6212,333910
205,448,334910,6212,334910
205,448,335230,6212,335230
206,450,336230,6212,336230
206,450,336230,6212,336230
206,450,336230,6212,336230
206,450,337230,6212,337230
207,452,338230,6212,338230
207,452,339230,6212,339230
207,452,339550,6212,339550
207,452,340100,6212,340100
208,454,341100,6212,341100
208,454,342100,6212,342100
209,456,343100,6212,343100
210,458,343910,6212,343910
210,458,344720,6212,344720
210,458,344720,6212,344720
210,458,345190,6212,345190
211,460,346190,6212,346190
211,460,346510,6212,346510
211,460,347510,6212,347510
212,462,347980,6212,347980
212,462,348790,6212,348790
213,464,349790,6212,349790
214,466,350600,6212,350600
214,466,351600,6212,351600
214,466,352410,6212,352410
214,466,352730,6212,352730
214,466,352960,6212,352960
215,468,353610,6212,353610
216,470,354610,6212,354610
216,470,355420,6212,355420
217,478,355420,6212,355420
217,478,356420,6212,356420
218,480,357420,6212,357420
218,480,358420,6212,358420
218,480,358580,6212,358580
219,482,359230,6212,359230
219,482,359230,6212,359230
219,482,360040,6212,360040
220,484,360630,6212,360630
220,484,361630,6212,361630
220,484,362440,6212,362440
221,486,362910,6212,362910
222,488,363910,6212,363910
222,488,364910,6212,364910
223,490,365910,6212,365910
223,490,366380,6212,366380
223,490,367380,6212,367380
223,490,367850,6212,367850
224,492,368850,6212,368850
224,492,369170,6212,369170
224,492,369170,6212,369170
224,492,370170,6212,370170
224,492,370170,6212,370170
224,492,370170,6212,370170
225,494,371170,6212,371170
225,494,372170,6212,372170
226,496,373170,6212,373170
226,496,373170,6212,373170
227,498,373980,6212,373980
227,498,374450,6212,374450
227,498,375450,6212,375450
228,500,376450,6212,376450
228,500,377450,6212,377450
229,502,378450,6212,378450
229,502,378770,6212,378770
229,502,378770,6212,378770
229,502,379770,6212,379770
229,502,380580,6212,380580
230,504,381580,6212,381580
230,504,381810,6212,381810
230,504,382810,6212,382810
231,506,383620,6212,383620
231,506,383850,6212,383850
232,508,384850,6212,384850
232,508,385400,6212,385400
232,508,386400,6212,386400
232,508,386630,6212,386630
233,510,387630,6212,387630
234,518,387630,6212,387630
235,520,387860,6212,387860
235,520,388860,6212,388860
235,520,389670,6212,389670
235,520,389670,6212,389670
236,522,390480,6212,390480
237,524,391480,6212,391480
237,524,392290,6212,392290
237,524,393290,6212,393290
238,526,394290,6212,394290
238,526,395290,6212,395290
238,526,395290,6212,395290
239,534,395290,6212,395290
239,534,395660,6212,395660
239,534,395660,6212,395660
239,534,395660,6212,395660
240,536,396660,6212,396660
240,536,397660,6212,397660
241,538,398660,6212,398660
242,540,399210,6212,399210
242,540,400210,6212,400210
243,542,400680,6212,400680
243,542,401150,6212,401150
244,544,402150,6212,402150
244,544,402470,6212,402470
244,544,403470,6212,403470
245,546,404470,6212,404470
245,546,405020,6212,405020
245,546,405020,6212,405020
246,548,405830,6212,405830
246,548,406380,6212,406380
246,548,407380,6212,407380
247,550,408380,6212,408380
247,550,408380,6212,408380
247,550,409380,6212,409380
248,552,410190,6212,410190
249,554,411190,6212,411190
250,562,411190,6212,411190
250,562,411510,6212,411510
250,562,411510,6212,411510
251,570,419510,6212,419510
251,570,419510,6212,419510
251,570,420510,6212,420510
252,572,421510,6212,421510
252,572,421510,6212,421510
252,572,421510,6212,421510
252,572,422510,6212,422510
253,574,423510,6212,423510
253,574,424320,6212,424320
254,576,424970,6212,424970
254,576,425970,6212,425970
254,576,426440,6212,426440
254,576,427250,6212,427250
255,578,427840,6212,427840
256,580,428840,6212,428840
256,580,429130,6212,429130
256,580,429130,6212,429130
257,588,429130,6212,429130
257,588,429600,6212,429600
258,590,430250,6212,430250
258,590,430620,6212,430620
258,590,430940,6212,430940
258,590,431940,6212,431940
258,590,431940,6212,431940
258,590,432410,6212,432410
259,592,432880,6212,432880
259,592,433110,6212,433110
260,594,434110,6212,434110
260,594,435110,6212,435110
260,594,435580,6212,435580
261,596,436580,6212,436580
261,596,437580,6212,437580
261,596,438390,6212,438390
262,598,439390,6212,439390
263,600,439860,6212,439860
263,600,440020,6212,440020
263,600,441020,6212,441020
264,602,442020,6212,442020
265,604,442490,6212,442490
265,604,443490,6212,443490
265,604,444140,6212,444140
266,606,445140,6212,445140
267,608,445790,6212,445790
267,608,445790,6212,445790
267,608,446600,6212,446600
267,608,446920,6212,446920
267,608,447920,6212,447920
267,608,448150,6212,448150
268,610,449150,6212,449150
268,610,450150,6212,450150
268,610,450620,6212,450620
268,610,450730,6212,450730
268,610,450730,6212,450730
268,610,451200,6212,451200
269,612,452200,6212,452200
270,614,452570,6212,452570
271,622,452570,6212,452570
271,622,453030,6212,453030
271,622,453030,6212,453030
272,624,454030,6212,454030
272,624,454030,6212,454030
272,624,454840,6212,454840
273,626,455650,6212,455650
273,626,456460,6212,456460
273,626,457460,6212,457460
274,628,458460,6212,458460
274,628,459460,6212,459460
274,628,459460,6212,459460
275,630,460270,6212,460270
276,632,461270,6212,461270
276,632,461920,6212,461920
276,632,462240,6212,462240
277,640,470240,6212,470240
277,640,471240,6212,471240
278,642,472240,6212,472240
278,642,473240,6212,473240
279,644,474050,6212,474050
279,644,474050,6212,474050
279,644,474050,6212,474050
280,646,475050,6212,475050
280,646,476050,6212,476050
281,648,477050,6212,477050
281,648,477520,6212,477520
281,648,478520,6212,478520
282,650,479520,6212,479520
282,650,480520,6212,480520
283,652,481520,6212,481520
283,652,481980,6212,481980
284,654,482790,6212,482790
284,654,483790,6212,483790
284,654,484600,6212,484600
284,654,484650,6212,484650
285,656,485090,6212,485090
285,656,485680,6212,485680
286,658,486490,6212,486490
287,660,487490,6212,487490
287,660,487490,6212,487490
287,660,488490,6212,488490
287,660,488600,6212,488600
287,660,488920,6212,488920
287,660,489730,6212,489730
288,662,490540,6212,490540
288,662,491010,6212,491010
289,664,492010,6212,492010
289,664,493010,6212,493010
289,664,493660,6212,493660
289,664,493980,6212,493980
290,666,494450,6212,494450
290,666,495260,6212,495260
290,666,495580,6212,495580
291,668,496040,6212,496040
292,670,497040,6212,497040
292,670,498040,6212,498040
292,670,498850,6212,498850
293,672,499850,6212,499850
293,672,500850,6212,500850
293,672,500850,6212,500850
294,674,501850,6212,501850
294,674,502850,6212,502850
295,676,503850,6212,503850
295,676,504320,6212,504320
296,678,504970,6212,504970
296,678,505780,6212,505780
296,678,506780,6212,506780
297,680,507590,6212,507590
298,682,508590,6212,508590
298,682,509400,6212,509400
298,682,510400,6212,510400
298,682,510400,6212,510400
299,684,510950,6212,510950
299,684,511540,6212,511540
300,686,512540,6212,512540
301,688,513130,6212,513130
301,688,513600,6212,513600
301,688,513830,6212,513830
301,688,514150,6212,514150
301,688,514470,6212,514470
302,690,515280,6212,515280
302,690,515280,6212,515280
303,698,515280,6212,515280
303,698,515830,6212,515830
303,698,516300,6212,516300
304,700,517110,6212,517110
304,700,518110,6212,518110
305,702,519110,6212,519110
305,702,519110,6212,519110
305,702,519760,6212,519760
305,702,519760,6212,519760
305,702,520760,6212,520760
305,702,520760,6212,520760
306,704,521570,6212,521570
307,706,522570,6212,522570
307,706,523040,6212,523040
308,708,524040,6212,524040
308,708,524200,6212,524200
309,710,524850,6212,524850
309,710,525660,6212,525660
310,712,526310,6212,526310
310,712,526680,6212,526680
311,714,527680,6212,527680
311,714,528330,6212,528330
311,714,529330,6212,529330
311,714,529550,6212,529550
312,716,530360,6212,530360
313,718,531360,6212,531360
313,718,532170,6212,532170
314,720,532640,6212,532640
314,720,532640,6212,532640
314,720,533640,6212,533640
315,722,534640,6212,534640
316,724,535110,6212,535110
