ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
869485.32,14.3,0.7,196560.93,3.23
869349.36,14.3,0.7,196560.93,3.23
869401.05,14.3,0.7,196835.54,3.24
869211.38,14.3,0.7,196653.67,3.23
868935.73,14.29,0.7,196393.41,3.23
868799.77,14.29,0.7,196393.67,3.23
868799.77,14.29,0.7,196393.67,3.23
868663.81,14.29,0.7,196290.5,3.23
868715.5,14.3,0.7,196413.61,3.23
868370.72,14.29,0.7,196203.47,3.23
868767.52,14.3,0.7,196723.18,3.24
868767.52,14.3,0.7,196723.18,3.24
868819.21,14.3,0.71,196846.29,3.24
868870.9,14.3,0.71,196943.91,3.24
868922.6,14.31,0.71,197067.02,3.24
868786.64,14.31,0.71,197047.4,3.25
868628.98,14.31,0.71,196894.56,3.24
868680.68,14.31,0.71,196992.19,3.24
868436.71,14.31,0.71,196685.76,3.24
868488.4,14.31,0.71,196808.86,3.24
868540.09,14.31,0.71,196906.49,3.24
868404.13,14.31,0.71,196823.2,3.24
868404.13,14.31,0.71,196823.2,3.24
868268.17,14.31,0.71,196720.29,3.24
868268.17,14.31,0.71,196720.29,3.24
868132.21,14.31,0.72,196720.29,3.24
868965.07,14.33,0.73,197040.18,3.25
868746.27,14.32,0.73,196852.42,3.25
868929.98,14.33,0.73,196937.05,3.25
869198.81,14.33,0.74,197301.96,3.25
868748.11,14.33,0.73,196763.95,3.25
868953.34,14.33,0.74,196368.88,3.24
869005.03,14.34,0.74,196491.98,3.24
868670.25,14.33,0.74,196322.92,3.24
868939.07,14.34,0.74,196548.91,3.24
868990.76,14.34,0.74,196672.02,3.25
868791.09,14.34,0.74,196478.63,3.24
868655.13,14.34,0.74,196375.72,3.24
868310.35,14.33,0.74,196165.59,3.24
868494.06,14.34,0.74,196359.37,3.24
868545.75,14.34,0.74,196482.47,3.24
868388.1,14.34,0.74,196331.3,3.24
868388.1,14.34,0.74,196331.3,3.24
868439.79,14.34,0.74,196428.93,3.24
868303.83,14.34,0.74,196428.93,3.24
868487.55,14.35,0.75,196513.56,3.25
868756.37,14.35,0.75,196878.47,3.25
868706.37,14.35,0.75,196828.47,3.25
868416.7,14.35,0.75,196621.52,3.25
868479.46,14.35,0.75,196234.8,3.24
868134.68,14.34,0.75,196054.22,3.24
868274.07,14.35,0.75,196042.81,3.24
868138.11,14.35,0.75,195939.91,3.24
868002.15,14.35,0.75,195939.91,3.24
867866.19,14.35,0.75,195940.17,3.24
868495.0,14.36,0.76,195979.41,3.24
868495.0,14.36,0.76,195979.41,3.24
868359.04,14.36,0.76,195876.24,3.24
868359.04,14.36,0.76,195876.24,3.24
868359.04,14.36,0.76,195876.24,3.24
868223.08,14.36,0.76,195876.5,3.24
867933.41,14.36,0.76,195594.63,3.24
867638.79,14.35,0.76,195272.07,3.23
867502.83,14.35,0.76,195168.9,3.23
866874.53,14.35,0.75,194540.6,3.22
866738.57,14.35,0.75,194437.69,3.22
866336.54,14.34,0.74,194052.88,3.21
866388.23,14.34,0.75,194171.17,3.21
866252.28,14.34,0.75,194171.17,3.21
866116.32,14.34,0.75,194171.43,3.22
866168.01,14.35,0.75,194267.4,3.22
866219.7,14.35,0.75,194390.5,3.22
866219.7,14.35,0.75,194390.5,3.22
865676.63,14.34,0.75,193847.44,3.21
865540.67,14.34,0.75,193744.27,3.21
865404.71,14.34,0.75,193724.65,3.21
865456.4,14.34,0.75,193822.28,3.21
865725.23,14.35,0.75,193896.76,3.21
865589.27,14.35,0.75,193813.46,3.21
865640.96,14.35,0.76,194088.08,3.22
865443.58,14.35,0.75,194024.78,3.22
865443.58,14.35,0.75,194024.78,3.22
865443.58,14.35,0.75,194024.78,3.22
865307.62,14.35,0.76,193921.87,3.22
865171.66,14.35,0.76,193921.87,3.22
865586.46,14.36,0.76,193487.37,3.21
865586.46,14.36,0.76,193487.37,3.21
865645.11,14.36,0.77,193759.29,3.21
865509.15,14.36,0.77,193739.68,3.21
865373.19,14.36,0.77,193656.38,3.21
865435.96,14.36,0.77,193269.66,3.21
865124.67,14.36,0.76,192994.11,3.2
865099.37,14.36,0.77,192818.0,3.2
865099.37,14.36,0.77,192818.0,3.2
864963.41,14.36,0.77,192818.27,3.2
865332.53,14.37,0.77,193062.83,3.21
864907.45,14.36,0.77,192818.3,3.2
864959.14,14.37,0.77,192945.31,3.2
865021.9,14.37,0.77,192558.59,3.2
865298.08,14.38,0.78,192670.63,3.2
865574.54,14.38,0.78,192647.03,3.2
865438.59,14.38,0.78,192543.86,3.2
865118.59,14.38,0.78,192223.86,3.19
864776.16,14.37,0.78,192144.56,3.19
864827.86,14.37,0.78,192396.1,3.2
864879.55,14.38,0.78,192519.2,3.2
864743.59,14.38,0.78,192417.93,3.2
864607.63,14.38,0.78,192416.3,3.2
864659.32,14.38,0.78,192513.92,3.2
864523.36,14.38,0.78,192411.01,3.2
864586.12,14.38,0.79,192024.29,3.19
864450.16,14.38,0.79,192024.29,3.2
864314.2,14.38,0.79,192004.67,3.2
864314.2,14.38,0.79,192004.67,3.2
864314.2,14.38,0.79,192004.67,3.2
864288.9,14.39,0.79,191828.57,3.19
864557.73,14.39,0.79,191903.05,3.19
864609.42,14.39,0.8,192177.67,3.2
864661.11,14.4,0.8,192300.77,3.2
864334.33,14.39,0.8,191987.32,3.2
864518.04,14.4,0.8,192258.66,3.2
864518.04,14.4,0.8,192258.66,3.2
864382.08,14.4,0.8,192175.37,3.2
864382.08,14.4,0.8,192175.37,3.2
864433.77,14.4,0.8,192298.47,3.2
864748.69,14.41,0.81,192086.24,3.2
864612.73,14.41,0.81,192052.07,3.2
864664.43,14.41,0.81,192149.69,3.2
864716.12,14.41,0.82,192272.8,3.2
864371.33,14.41,0.81,192062.66,3.2
864371.33,14.41,0.81,192062.66,3.2
864371.33,14.41,0.81,192062.66,3.2
864423.02,14.41,0.82,192160.29,3.2
864287.06,14.41,0.82,192091.55,3.2
863997.39,14.41,0.81,191781.57,3.2
864343.0,14.41,0.82,191652.77,3.2
864390.89,14.42,0.82,191539.03,3.19
864254.93,14.42,0.82,191436.12,3.19
864046.14,14.41,0.82,191271.19,3.19
863910.18,14.41,0.82,191271.19,3.19
863910.18,14.41,0.82,191271.19,3.19
864179.0,14.42,0.82,191345.67,3.19
864179.0,14.42,0.82,191345.67,3.19
863976.46,14.42,0.82,191135.01,3.19
863323.7,14.41,0.81,190409.11,3.18
863638.62,14.42,0.82,190196.87,3.17
863502.66,14.42,0.82,190093.97,3.17
863366.7,14.42,0.82,190093.97,3.17
863366.7,14.42,0.82,190093.97,3.17
863366.7,14.42,0.82,190093.97,3.17
863209.05,14.41,0.82,189942.1,3.17
863073.09,14.41,0.82,189839.19,3.17
862738.3,14.41,0.81,189865.17,3.17
863007.13,14.42,0.82,190070.29,3.17
862871.17,14.42,0.82,190070.29,3.18
862761.17,14.41,0.82,189960.29,3.17
862823.93,14.42,0.82,189573.56,3.17
862479.15,14.41,0.82,189295.08,3.16
862343.19,14.41,0.82,189295.34,3.16
862482.58,14.42,0.82,189283.93,3.16
862534.27,14.42,0.82,189181.03,3.16
862398.31,14.42,0.82,189077.86,3.16
862398.31,14.42,0.82,189077.86,3.16
862450.01,14.42,0.83,189447.06,3.17
862718.83,14.43,0.83,189521.54,3.17
862770.52,14.43,0.83,189796.16,3.17
862770.52,14.43,0.83,189799.44,3.17
862954.24,14.44,0.84,189884.07,3.18
863005.93,14.44,0.84,190116.32,3.18
863057.62,14.44,0.84,190239.42,3.18
863109.31,14.44,0.85,190337.05,3.19
862973.35,14.44,0.85,190302.88,3.19
862783.68,14.44,0.85,190194.02,3.18
862647.72,14.44,0.85,190125.28,3.18
862831.43,14.45,0.85,190209.92,3.18
862695.47,14.45,0.85,190210.18,3.19
862695.47,14.45,0.85,190206.71,3.19
862498.09,14.44,0.85,190143.41,3.18
862761.77,14.45,0.85,196719.42,3.29
862625.81,14.45,0.85,196616.25,3.29
862809.52,14.45,0.86,196972.89,3.3
862993.24,14.46,0.86,197057.52,3.3
862703.57,14.45,0.86,196856.61,3.3
862703.57,14.45,0.86,196859.88,3.3
862972.39,14.46,0.86,197224.79,3.3
863024.08,14.46,0.87,197347.9,3.31
863296.12,14.47,0.87,197615.13,3.31
863006.44,14.46,0.87,197331.87,3.31
862870.48,14.46,0.87,197312.25,3.31
862734.52,14.46,0.87,197228.96,3.31
862081.76,14.46,0.86,196503.07,3.29
861746.98,14.45,0.85,196334.0,3.29
861798.67,14.45,0.86,196457.1,3.29
861662.71,14.45,0.86,196354.2,3.29
861526.75,14.45,0.86,196354.2,3.29
861710.46,14.46,0.86,196547.98,3.3
861773.23,14.46,0.87,196161.25,3.29
861637.27,14.46,0.87,196058.34,3.29
861611.97,14.46,0.87,195882.24,3.29
861322.29,14.46,0.86,195598.86,3.28
865401.09,14.53,0.93,196792.96,3.3
865265.13,14.53,0.93,196792.96,3.3
865316.82,14.53,0.93,196916.06,3.31
865500.53,14.54,0.94,197109.84,3.31
865364.57,14.54,0.94,197090.23,3.31
865172.39,14.53,0.94,196993.38,3.31
865441.21,14.54,0.94,197067.86,3.31
865441.21,14.54,0.94,197110.84,3.31
865500.95,14.54,0.94,201939.4,3.39
865301.28,14.54,0.94,201796.07,3.39
865352.97,14.54,0.94,202070.69,3.4
867200.79,14.57,0.97,203881.97,3.43
866866.0,14.57,0.97,203681.51,3.42
867134.83,14.57,0.98,203752.07,3.42
867186.52,14.57,0.98,204154.76,3.43
867050.56,14.57,0.98,204071.47,3.43
866914.6,14.57,0.98,204071.73,3.43
866714.93,14.57,0.98,203953.11,3.43
866898.64,14.58,0.98,204037.74,3.43
870031.9,14.63,1.03,204724.1,3.44
870215.61,14.63,1.04,205080.74,3.45
870079.65,14.63,1.04,204977.56,3.45
870079.65,14.63,1.04,204980.84,3.45
869943.69,14.63,1.04,204981.1,3.45
869807.73,14.63,1.04,204877.93,3.45
869859.42,14.64,1.04,204996.22,3.45
869911.11,14.64,1.04,205092.19,3.45
869566.33,14.64,1.04,204722.48,3.45
869835.15,14.64,1.05,204796.95,3.45
869886.85,14.64,1.05,205071.57,3.45
869750.89,14.64,1.05,205071.84,3.45
869934.6,14.65,1.05,205156.47,3.45
869798.64,14.65,1.05,205053.3,3.45
869453.85,14.64,1.05,204843.16,3.45
869722.68,14.65,1.05,205208.07,3.46
869785.44,14.65,1.06,204821.35,3.45
869649.48,14.65,1.06,204718.44,3.45
869624.18,14.66,1.06,204542.34,3.45
869624.18,14.66,1.06,204538.87,3.45
869488.22,14.66,1.06,204538.87,3.45
869352.26,14.66,1.06,204514.76,3.45
869007.48,14.65,1.05,204334.19,3.44
869276.3,14.66,1.06,204408.67,3.45
869336.04,14.66,1.06,209283.67,3.53
869178.39,14.66,1.06,209130.83,3.53
869042.43,14.66,1.06,209045.55,3.53
869246.37,14.66,1.06,209349.74,3.53
869110.41,14.66,1.06,209246.84,3.53
868974.45,14.66,1.06,209246.84,3.53
868684.78,14.66,1.06,208964.96,3.53
868548.82,14.66,1.06,208930.8,3.53
868412.86,14.66,1.06,208862.05,3.52
868464.55,14.66,1.06,209136.67,3.53
868328.59,14.66,1.06,209136.94,3.53
867983.81,14.65,1.06,208926.8,3.53
868035.5,14.66,1.06,209049.9,3.53
868304.32,14.66,1.07,209275.9,3.53
868168.36,14.66,1.07,209172.73,3.53
