ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
91,199,99860,6212,99860
92,201,99860,6212,99860
92,201,100510,6212,100510
93,202,100980,6212,100980
93,202,101980,6212,101980
93,202,102790,6212,102790
93,202,103600,6212,103600
93,202,104600,6212,104600
93,202,105410,6212,105410
93,202,106410,6212,106410
94,204,106880,6212,106880
94,204,107880,6212,107880
95,212,108880,6212,108880
95,212,109690,6212,109690
96,214,110690,6212,110690
96,214,111010,6212,111010
96,214,111560,6212,111560
97,216,112560,6212,112560
98,218,113560,6212,113560
99,219,114020,6212,114020
99,219,115020,6212,115020
99,219,115830,6212,115830
100,221,116830,6212,116830
101,223,117830,6212,117830
101,223,118150,6212,118150
102,225,119150,6212,119150
103,226,119470,6212,119470
104,228,120470,6212,120470
104,228,120790,6212,120790
105,232,120790,6212,120790
105,232,121790,6212,121790
106,236,121790,6212,121790
107,238,122790,6212,122790
108,240,123790,6212,123790
108,240,124600,6212,124600
109,242,125600,6212,125600
109,242,125600,6212,125600
110,244,126600,6212,126600
111,246,127070,6212,127070
111,246,127880,6212,127880
112,248,128880,6212,128880
113,250,129530,6212,129530
114,254,129530,6212,129530
115,256,129530,6212,129530
115,256,129760,6212,129760
115,256,130080,6212,130080
115,256,130400,6212,130400
115,256,131210,6212,131210
116,260,132210,6212,132210
116,260,133020,6212,133020
116,260,133020,6212,133020
117,262,133020,6212,133020
118,264,134020,6212,134020
118,264,134830,6212,134830
119,268,134830,6212,134830
119,268,134830,6212,134830
119,268,135640,6212,135640
119,268,135960,6212,135960
119,268,136960,6212,136960
120,270,137960,6212,137960
121,271,138960,6212,138960
122,273,139610,6212,139610
123,275,140610,6212,140610
123,275,141420,6212,141420
123,275,141420,6212,141420
124,277,142420,6212,142420
125,279,143420,6212,143420
125,279,144420,6212,144420
126,280,145230,6212,145230
126,280,145600,6212,145600
127,282,146070,6212,146070
127,282,147070,6212,147070
128,284,147540,6212,147540
129,286,148540,6212,148540
130,288,149540,6212,149540
131,289,150010,6212,150010
132,291,151010,6212,151010
132,291,151820,6212,151820
133,293,152630,6212,152630
133,293,153630,6212,153630
134,297,153630,6212,153630
135,301,154630,6212,154630
136,303,155100,6212,155100
137,304,156100,6212,156100
138,305,156570,6212,156570
138,305,156940,6212,156940
139,307,157940,6212,157940
139,307,158750,6212,158750
139,307,159560,6212,159560
140,308,160020,6212,160020
140,308,160830,6212,160830
141,310,161480,6212,161480
141,310,161710,6212,161710
141,310,161710,6212,161710
141,310,161710,6212,161710
142,314,161710,6212,161710
143,316,162710,6212,162710
143,316,163520,6212,163520
144,320,167520,6212,167520
145,322,168520,6212,168520
145,322,169520,6212,169520
146,326,170520,6212,170520
147,327,171520,6212,171520
148,331,172520,6212,172520
148,331,172990,6212,172990
149,335,173990,6212,173990
150,337,174990,6212,174990
150,337,175460,6212,175460
150,337,176460,6212,176460
151,339,177460,6212,177460
151,339,178270,6212,178270
152,341,179270,6212,179270
153,342,179740,6212,179740
153,342,180740,6212,180740
154,346,181740,6212,181740
155,348,182740,6212,182740
156,350,183740,6212,183740
157,352,184740,6212,184740
158,354,185200,6212,185200
158,354,186200,6212,186200
158,354,186200,6212,186200
159,356,187200,6212,187200
160,358,188200,6212,188200
161,360,189200,6212,189200
162,362,189520,6212,189520
162,362,190330,6212,190330
162,362,191140,6212,191140
162,362,191690,6212,191690
162,362,192160,6212,192160
162,362,192160,6212,192160
162,362,192390,6212,192390
163,364,192860,6212,192860
163,364,193080,6212,193080
163,364,194080,6212,194080
163,364,194890,6212,194890
163,364,195890,6212,195890
163,364,196700,6212,196700
164,368,196700,6212,196700
165,370,197170,6212,197170
166,374,198170,6212,198170
166,374,199170,6212,199170
166,374,199980,6212,199980
166,374,200980,6212,200980
167,376,201980,6212,201980
168,378,202450,6212,202450
169,380,203450,6212,203450
169,380,204260,6212,204260
170,382,205260,6212,205260
170,382,205730,6212,205730
171,384,205730,6212,205730
171,384,206540,6212,206540
171,384,207350,6212,207350
172,388,207350,6212,207350
173,390,208350,6212,208350
174,392,209350,6212,209350
174,392,209580,6212,209580
175,394,211580,6212,211580
175,394,211580,6212,211580
175,394,212390,6212,212390
175,394,212390,6212,212390
175,394,213390,6212,213390
175,394,214390,6212,214390
175,394,215200,6212,215200
176,398,216200,6212,216200
176,398,217200,6212,217200
177,400,218200,6212,218200
177,400,219010,6212,219010
177,400,219330,6212,219330
177,400,220140,6212,220140
178,402,221140,6212,221140
178,402,222140,6212,222140
178,402,222140,6212,222140
179,404,223140,6212,223140
179,404,223790,6212,223790
179,404,223790,6212,223790
180,406,224790,6212,224790
181,410,226790,6212,226790
181,410,227020,6212,227020
181,410,227490,6212,227490
181,410,228490,6212,228490
182,412,229300,6212,229300
182,412,230300,6212,230300
182,412,231300,6212,231300
183,414,232300,6212,232300
183,414,233110,6212,233110
183,414,233110,6212,233110
183,414,233920,6212,233920
183,414,234510,6212,234510
183,414,234830,6212,234830
183,414,235830,6212,235830
183,414,235830,6212,235830
183,414,235830,6212,235830
183,414,236300,6212,236300
183,414,237110,6212,237110
183,414,237110,6212,237110
183,414,238110,6212,238110
183,414,238340,6212,238340
184,416,239340,6212,239340
184,416,240340,6212,240340
185,418,241340,6212,241340
185,418,241340,6212,241340
185,418,241660,6212,241660
185,418,242130,6212,242130
186,420,243130,6212,243130
186,420,243130,6212,243130
186,420,243780,6212,243780
186,420,244590,6212,244590
187,428,252590,6212,252590
187,428,253590,6212,253590
188,430,254590,6212,254590
188,430,255590,6212,255590
189,432,256240,6212,256240
189,432,257240,6212,257240
189,432,257710,6212,257710
189,432,258710,6212,258710
189,432,259710,6212,259710
189,432,260710,6212,260710
190,434,261710,6212,261710
190,434,262710,6212,262710
190,434,262940,6212,262940
191,438,263940,6212,263940
191,438,264940,6212,264940
191,438,265750,6212,265750
192,440,266560,6212,266560
192,440,267030,6212,267030
193,442,268030,6212,268030
193,442,269030,6212,269030
193,442,270030,6212,270030
194,444,271030,6212,271030
194,444,271030,6212,271030
195,448,271580,6212,271580
195,448,272050,6212,272050
196,452,272700,6212,272700
196,452,272700,6212,272700
196,452,273700,6212,273700
196,452,274700,6212,274700
196,452,275510,6212,275510
196,452,275980,6212,275980
197,460,276980,6212,276980
197,460,277980,6212,277980
198,462,278980,6212,278980
198,462,279790,6212,279790
198,462,280790,6212,280790
199,470,288790,6212,288790
199,470,289600,6212,289600
199,470,290600,6212,290600
199,470,291150,6212,291150
199,470,292150,6212,292150
200,472,293150,6212,293150
200,472,293620,6212,293620
200,472,294620,6212,294620
200,472,295430,6212,295430
201,474,296080,6212,296080
202,476,297080,6212,297080
202,476,298080,6212,298080
203,478,299080,6212,299080
203,478,300080,6212,300080
203,478,301080,6212,301080
204,480,302080,6212,302080
204,480,303080,6212,303080
204,480,304080,6212,304080
204,480,304550,6212,304550
205,484,305550,6212,305550
205,484,305550,6212,305550
206,486,306550,6212,306550
206,486,306550,6212,306550
207,488,307550,6212,307550
207,488,308550,6212,308550
207,488,308550,6212,308550
207,488,309550,6212,309550
207,488,309780,6212,309780
208,490,310780,6212,310780
208,490,311780,6212,311780
208,490,311780,6212,311780
208,490,311780,6212,311780
209,494,312240,6212,312240
209,494,313240,6212,313240
209,494,314050,6212,314050
209,494,314050,6212,314050
209,494,315050,6212,315050
209,494,315270,6212,315270
209,494,316270,6212,316270
209,494,317080,6212,317080
209,494,318080,6212,318080
210,496,318540,6212,318540
211,497,319350,6212,319350
211,497,320160,6212,320160
211,497,320810,6212,320810
212,501,321810,6212,321810
212,501,322040,6212,322040
212,501,323040,6212,323040
213,505,324040,6212,324040
213,505,325040,6212,325040
213,505,326040,6212,326040
213,505,326510,6212,326510
213,505,326980,6212,326980
214,509,327980,6212,327980
215,511,328980,6212,328980
215,511,329980,6212,329980
216,515,330980,6212,330980
216,515,331300,6212,331300
216,515,332300,6212,332300
216,515,333110,6212,333110
216,515,333920,6212,333920
217,519,334920,6212,334920
217,519,335920,6212,335920
217,519,336920,6212,336920
217,519,337730,6212,337730
217,519,338540,6212,338540
217,519,339540,6212,339540
218,521,340010,6212,340010
218,521,341010,6212,341010
218,521,341010,6212,341010
218,521,341010,6212,341010
218,521,342010,6212,342010
218,521,342010,6212,342010
219,525,343010,6212,343010
219,525,343010,6212,343010
220,527,343820,6212,343820
220,527,344820,6212,344820
220,527,345050,6212,345050
220,527,346050,6212,346050
220,527,346860,6212,346860
220,527,347670,6212,347670
220,527,347670,6212,347670
221,531,348670,6212,348670
221,531,349020,6212,349020
221,531,350020,6212,350020
222,533,351020,6212,351020
222,533,351020,6212,351020
222,533,351340,6212,351340
222,533,352340,6212,352340
222,533,353340,6212,353340
222,533,353340,6212,353340
223,535,354340,6212,354340
223,535,355340,6212,355340
223,535,356150,6212,356150
223,535,357150,6212,357150
223,535,357150,6212,357150
224,537,358150,6212,358150
224,537,359150,6212,359150
225,539,360150,6212,360150
225,539,360620,6212,360620
225,539,361620,6212,361620
226,541,362620,6212,362620
226,541,363430,6212,363430
226,541,363430,6212,364240
227,543,364430,6212,365240
227,543,364430,6212,365240
227,543,364430,6212,365240
228,551,365430,6212,366240
228,551,365660,6212,366470
228,551,366660,6212,367470
229,553,367660,6212,368470
229,553,368470,6212,369280
229,553,368470,6212,369930
229,553,368470,6212,369930
229,553,369470,6212,370930
230,555,370470,6212,371930
230,555,370930,6212,372390
230,555,371740,6212,373200
231,557,372740,6212,374200
231,557,373740,6212,375200
231,557,374740,6212,376200
231,557,375740,6212,377200
232,558,376550,6212,378010
232,558,376550,6212,378010
232,558,377550,6212,379010
232,558,378550,6212,380010
233,560,379550,6212,381010
233,560,380020,6212,381480
233,560,381020,6212,382480
233,560,382020,6212,383480
233,560,382020,6212,383480
234,562,383020,6212,384480
234,562,383830,6212,385290
234,562,384060,6212,385520
235,570,385060,6212,386520
236,572,386060,6212,387520
236,572,387060,6212,388520
237,574,388060,6212,389520
237,574,388530,6212,389990
238,576,389530,6212,390990
