ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1635705.77,26.92,1.47,229116.5,3.77
1635738.3,26.92,1.47,229002.81,3.77
1635853.99,26.92,1.47,228782.28,3.76
1635294.99,26.91,1.46,228257.5,3.76
1635252.93,26.91,1.46,228251.27,3.76
1634519.16,26.91,1.46,227506.73,3.74
1634913.09,26.92,1.47,227570.51,3.75
1634269.45,26.91,1.46,226972.45,3.74
1634743.54,26.92,1.47,227073.97,3.74
1634537.34,26.92,1.47,227002.9,3.74
1633978.34,26.92,1.47,226478.12,3.73
1636011.65,26.95,1.5,229716.87,3.78
1636154.58,26.96,1.51,229495.44,3.78
1636282.28,26.96,1.51,229303.75,3.78
1635548.52,26.96,1.51,228559.22,3.77
1635079.7,26.95,1.5,228030.72,3.76
1634804.33,26.95,1.5,227762.67,3.75
1635047.05,26.95,1.51,227662.47,3.75
1634840.85,26.96,1.51,227657.3,3.75
1635484.29,26.97,1.52,227978.77,3.76
1635611.99,26.97,1.53,227787.09,3.76
1635739.68,26.98,1.53,227595.4,3.75
1635612.1,26.98,1.53,227408.4,3.75
1635739.79,26.99,1.54,227216.72,3.75
1635196.03,26.98,1.53,226662.18,3.74
1635177.87,26.99,1.54,226758.57,3.74
1634428.87,26.98,1.53,226043.78,3.73
1634700.01,26.98,1.53,226901.04,3.75
1634425.25,26.98,1.53,226844.4,3.74
1635068.69,27.0,1.55,227165.87,3.75
1634425.05,26.99,1.54,226567.8,3.74
1634297.46,26.99,1.54,226380.8,3.74
1634193.7,26.99,1.54,226266.27,3.74
1634321.4,27.0,1.55,226074.58,3.73
1633781.24,26.99,1.54,225576.83,3.73
1633241.09,26.98,1.54,225079.08,3.72
1633122.25,26.98,1.54,224900.83,3.72
1632563.25,26.98,1.53,224376.04,3.71
1633037.33,26.99,1.54,224477.57,3.71
1633370.35,27.0,1.55,224322.37,3.71
1635965.05,27.04,1.59,226528.61,3.74
1637563.82,27.07,1.62,229284.3,3.79
1640446.2,27.11,1.66,232364.33,3.84
1640589.13,27.12,1.67,232142.89,3.84
1640045.36,27.12,1.67,231588.36,3.83
1638932.39,27.11,1.67,231362.2,3.83
1639326.32,27.13,1.68,231425.98,3.83
1639061.76,27.13,1.68,231476.5,3.83
1639029.09,27.13,1.68,232252.76,3.84
1638371.51,27.12,1.68,231535.76,3.83
1638338.84,27.13,1.68,232312.01,3.85
1639774.39,27.15,1.71,233135.33,3.86
1640831.72,27.18,1.73,234457.11,3.88
1641225.65,27.19,1.74,234520.89,3.88
1642661.2,27.21,1.77,235344.21,3.9
1642455.0,27.21,1.77,235333.1,3.9
1642582.69,27.22,1.77,235141.41,3.9
1642038.93,27.21,1.77,234586.88,3.89
1642428.73,27.23,1.78,234646.52,3.89
1642301.14,27.23,1.78,234459.52,3.89
1641567.38,27.22,1.77,233714.98,3.88
1641292.62,27.22,1.77,233653.78,3.87
1641420.32,27.22,1.78,233462.09,3.87
1641548.01,27.23,1.79,233270.41,3.87
1641341.82,27.23,1.79,233199.41,3.87
1641521.57,27.24,1.79,233190.27,3.87
1640787.81,27.23,1.78,232445.73,3.86
1642176.45,27.25,1.81,234376.72,3.89
1642304.14,27.26,1.81,234185.03,3.89
1642431.84,27.27,1.82,233993.35,3.88
