ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
216,1199,177270,6212,177270
217,1207,178270,6212,178270
218,1215,178430,6212,178430
219,1217,179430,6212,179430
220,1225,179430,6212,179430
221,1233,180430,6212,180430
222,1241,181430,6212,181430
223,1243,182430,6212,182430
224,1251,182890,6212,182890
225,1253,182890,6212,182890
226,1261,183890,6212,183890
227,1263,184700,6212,184700
228,1271,185700,6212,185700
229,1279,186350,6212,186350
230,1281,186350,6212,186350
231,1285,186900,6212,186900
232,1287,187710,6212,187710
233,1295,188710,6212,188710
234,1297,188710,6212,188710
235,1305,188710,6212,188710
236,1313,188710,6212,188710
237,1321,188710,6212,188710
238,1329,188710,6212,188710
239,1331,189710,6212,189710
239,1331,190710,6212,190710
240,1333,190820,6212,190820
241,1335,190820,6212,190820
241,1335,190820,6212,190820
242,1337,190820,6212,190820
243,1339,191290,6212,191290
244,1341,192290,6212,192290
244,1341,193290,6212,193290
245,1349,194100,6212,194100
246,1357,194420,6212,194420
246,1357,195420,6212,195420
247,1359,196230,6212,196230
248,1367,197230,6212,197230
249,1375,197700,6212,197700
250,1377,198700,6212,198700
250,1377,199700,6212,199700
251,1385,199700,6212,199700
252,1387,200700,6212,200700
253,1391,201510,6212,201510
254,1393,201980,6212,201980
255,1395,202980,6212,202980
255,1395,203980,6212,203980
256,1403,203980,6212,203980
257,1411,204570,6212,204570
258,1419,204570,6212,204570
258,1419,205570,6212,205570
259,1427,205890,6212,205890
260,1435,206890,6212,206890
261,1443,207890,6212,207890
262,1444,208360,6212,208360
263,1446,209360,6212,209360
264,1448,210360,6212,210360
265,1450,211360,6212,211360
265,1450,212360,6212,212360
266,1458,213360,6212,213360
267,1466,214360,6212,214360
268,1474,215360,6212,215360
269,1482,216360,6212,216360
270,1486,217360,6212,217360
271,1488,218360,6212,218360
272,1490,219170,6212,219170
273,1498,220170,6212,220170
274,1500,221170,6212,221170
275,1502,221170,6212,221170
276,1506,222170,6212,222170
277,1514,223170,6212,223170
278,1522,231170,6212,231170
279,1530,232170,6212,232170
280,1532,233170,6212,233170
281,1540,233170,6212,233170
282,1542,234170,6212,234170
283,1550,235170,6212,235170
284,1551,235980,6212,235980
284,1551,236980,6212,236980
284,1551,237980,6212,237980
285,1559,238980,6212,238980
285,1559,239450,6212,239450
286,1567,239450,6212,239450
287,1575,239920,6212,239920
288,1577,240730,6212,240730
289,1585,241730,6212,241730
290,1593,242730,6212,242730
290,1593,243730,6212,243730
291,1595,244730,6212,244730
291,1595,245200,6212,245200
291,1595,245200,6212,245200
292,1603,245670,6212,245670
292,1603,246670,6212,246670
293,1611,247670,6212,247670
294,1613,247670,6212,247670
295,1615,248670,6212,248670
296,1617,249480,6212,249480
297,1625,249950,6212,249950
298,1633,250950,6212,250950
299,1635,251950,6212,251950
300,1639,252110,6212,252110
300,1639,252110,6212,252110
301,1641,252920,6212,252920
301,1641,253730,6212,253730
301,1641,254730,6212,254730
301,1641,255730,6212,255730
302,1643,256730,6212,256730
303,1647,257730,6212,257730
304,1649,258200,6212,258200
305,1657,259200,6212,259200
306,1665,259850,6212,259850
307,1673,260850,6212,260850
308,1675,261850,6212,261850
309,1677,262850,6212,262850
310,1685,263850,6212,263850
311,1693,264850,6212,264850
311,1693,265850,6212,265850
311,1693,266320,6212,266320
311,1693,267320,6212,267320
312,1695,267320,6212,267320
312,1695,268130,6212,268130
