ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
182,400,291640,6212,291640
182,400,292110,6212,292110
182,400,292920,6212,292920
182,400,293730,6212,293730
182,400,294540,6212,294540
183,404,295540,6212,295540
183,404,296540,6212,296540
183,404,297350,6212,297350
183,404,298160,6212,298160
183,404,298970,6212,298970
183,404,299290,6212,299290
183,404,299750,6212,299750
183,404,300220,6212,300220
184,412,308220,6212,308220
184,412,308770,6212,308770
185,416,309770,6212,309770
185,416,310580,6212,310580
185,416,311580,6212,311580
185,416,311810,6212,311810
185,416,312280,6212,312280
186,420,312750,6212,312750
186,420,313560,6212,313560
186,420,314560,6212,314560
187,424,315030,6212,315030
187,424,316030,6212,316030
187,424,317030,6212,317030
187,424,318030,6212,318030
187,424,319030,6212,319030
188,428,320030,6212,320030
188,428,320840,6212,320840
188,428,321650,6212,321650
188,428,322120,6212,322120
188,428,323120,6212,323120
188,428,323120,6212,323120
189,432,324120,6212,324120
190,440,332120,6212,332120
190,440,333120,6212,333120
190,440,333590,6212,333590
190,440,334590,6212,334590
191,444,335400,6212,335400
191,444,336400,6212,336400
191,444,336870,6212,336870
191,444,337870,6212,337870
192,448,338870,6212,338870
192,448,339870,6212,339870
192,448,340870,6212,340870
192,448,341340,6212,341340
193,450,342340,6212,342340
193,450,342930,6212,342930
194,452,343930,6212,343930
194,452,344930,6212,344930
195,454,345740,6212,345740
195,454,346740,6212,346740
196,456,347740,6212,347740
196,456,348210,6212,348210
196,456,349210,6212,349210
197,464,357210,6212,357210
198,466,358210,6212,358210
198,466,358530,6212,358530
198,466,359530,6212,359530
199,468,360180,6212,360180
199,468,360180,6212,360180
199,468,361180,6212,361180
200,470,361990,6212,361990
200,470,362460,6212,362460
200,470,362930,6212,362930
201,472,363930,6212,363930
201,472,364930,6212,364930
202,474,365930,6212,365930
202,474,365930,6212,365930
202,474,366930,6212,366930
203,476,367930,6212,367930
203,476,368930,6212,368930
204,478,369930,6212,369930
204,478,370930,6212,370930
205,480,371930,6212,371930
205,480,372400,6212,372400
205,480,372400,6212,372400
205,480,373400,6212,373400
205,480,373720,6212,373720
206,482,374190,6212,374190
206,482,375000,6212,375000
207,484,376000,6212,376000
207,484,376000,6212,376000
207,484,376000,6212,376000
207,484,377000,6212,377000
208,486,378000,6212,378000
208,486,379000,6212,379000
209,488,380000,6212,380000
209,488,381000,6212,381000
210,490,382000,6212,382000
210,490,383000,6212,383000
210,490,383000,6212,383000
211,492,383590,6212,383590
211,492,384590,6212,384590
211,492,384910,6212,384910
212,494,385910,6212,385910
212,494,386720,6212,386720
213,496,387720,6212,387720
213,496,388720,6212,388720
214,498,389720,6212,389720
214,498,389720,6212,389720
214,498,389720,6212,389720
214,498,390720,6212,390720
215,500,391720,6212,391720
215,500,392720,6212,392720
215,500,392940,6212,392940
216,502,393750,6212,393750
216,502,394220,6212,394220
216,502,395030,6212,395030
217,504,396030,6212,396030
217,504,396030,6212,396030
217,504,397030,6212,397030
218,506,398030,6212,398030
218,506,398350,6212,398350
218,506,398820,6212,398820
218,506,399050,6212,399050
219,508,399640,6212,399640
219,508,400450,6212,400450
220,510,401450,6212,401450
220,510,402260,6212,402260
220,510,402730,6212,402730
221,512,403200,6212,403200
221,512,403670,6212,403670
221,512,404670,6212,404670
222,514,405480,6212,405480
222,514,405850,6212,405850
222,514,406850,6212,406850
222,514,407070,6212,407070
223,516,408070,6212,408070
223,516,408720,6212,408720
223,516,408880,6212,408880
224,518,409350,6212,409350
224,518,410350,6212,410350
225,520,411350,6212,411350
225,520,411900,6212,411900
226,522,412710,6212,412710
226,522,413710,6212,413710
227,524,414710,6212,414710
227,524,415710,6212,415710
228,526,416710,6212,416710
228,526,417180,6212,417180
228,526,417180,6212,417180
228,526,417650,6212,417650
229,528,418300,6212,418300
229,528,418460,6212,418460
229,528,419460,6212,419460
230,530,420460,6212,420460
230,530,421270,6212,421270
231,532,422270,6212,422270
231,532,422740,6212,422740
231,532,423740,6212,423740
232,534,424740,6212,424740
232,534,425200,6212,425200
232,534,425660,6212,425660
233,536,426660,6212,426660
233,536,426980,6212,426980
233,536,427980,6212,427980
234,538,428450,6212,428450
234,538,429450,6212,429450
235,540,430450,6212,430450
235,540,431260,6212,431260
236,542,432260,6212,432260
236,542,433260,6212,433260
236,542,433730,6212,433730
237,544,434730,6212,434730
237,544,435730,6212,435730
238,546,436730,6212,436730
238,546,437730,6212,437730
239,548,438730,6212,438730
240,556,446730,6212,446730
240,556,447540,6212,447540
241,558,448540,6212,448540
241,558,449540,6212,449540
242,560,450540,6212,450540
242,560,451540,6212,451540
243,562,452130,6212,452130
243,562,452290,6212,452290
243,562,453290,6212,453290
244,564,454290,6212,454290
245,568,458290,6212,458290
245,568,459290,6212,459290
246,570,459940,6212,459940
246,570,460410,6212,460410
246,570,460630,6212,460630
247,572,461630,6212,461630
247,572,462630,6212,462630
247,572,462630,6212,462630
248,574,463630,6212,463630
248,574,464630,6212,464630
248,574,464630,6212,464630
249,576,465630,6212,465630
249,576,466440,6212,466440
250,578,467440,6212,467440
250,578,468440,6212,468440
250,578,468760,6212,468760
251,580,469760,6212,469760
251,580,470760,6212,470760
252,582,471760,6212,471760
252,582,472080,6212,472080
252,582,472190,6212,472190
252,582,473190,6212,473190
253,584,474190,6212,474190
253,584,474660,6212,474660
253,584,474660,6212,474660
253,584,475660,6212,475660
254,586,476250,6212,476250
254,586,477250,6212,477250
254,586,477410,6212,477410
255,588,477880,6212,477880
255,588,478200,6212,478200
255,588,478670,6212,478670
255,588,479670,6212,479670
256,590,480320,6212,480320
256,590,481320,6212,481320
257,592,481910,6212,481910
257,592,482560,6212,482560
257,592,482560,6212,482560
258,594,483560,6212,483560
258,594,484560,6212,484560
259,596,485560,6212,485560
259,596,486560,6212,486560
260,598,487210,6212,487210
260,598,488210,6212,488210
261,600,489210,6212,489210
261,600,490210,6212,490210
262,602,491020,6212,491020
262,602,492020,6212,492020
263,604,492830,6212,492830
263,604,493640,6212,493640
263,604,494010,6212,494010
263,604,494010,6212,494010
264,606,494480,6212,494480
264,606,495290,6212,495290
265,608,496290,6212,496290
265,608,497100,6212,497100
266,610,497910,6212,497910
266,610,498910,6212,498910
267,612,499910,6212,499910
267,612,500720,6212,500720
267,612,500720,6212,500720
268,614,501720,6212,501720
268,614,501950,6212,501950
268,614,502950,6212,502950
268,614,503420,6212,503420
269,616,504420,6212,504420
269,616,505230,6212,505230
270,618,506230,6212,506230
270,618,506460,6212,506460
270,618,507110,6212,507110
271,620,508110,6212,508110
271,620,509110,6212,509110
272,622,510110,6212,510110
272,622,510340,6212,510340
272,622,510660,6212,510660
272,622,511660,6212,511660
273,624,512130,6212,512130
273,624,512590,6212,512590
273,624,512910,6212,512910
274,626,513910,6212,513910
274,626,514910,6212,514910
275,628,515910,6212,515910
276,630,517910,6212,517910
277,638,525910,6212,525910
277,638,526910,6212,526910
277,638,527560,6212,527560
277,638,528560,6212,528560
278,640,529560,6212,529560
278,640,530560,6212,530560
279,642,531370,6212,531370
279,642,531840,6212,531840
279,642,532070,6212,532070
280,644,533070,6212,533070
280,644,534070,6212,534070
280,644,534390,6212,534390
280,644,534710,6212,534710
281,646,535180,6212,535180
281,646,536180,6212,536180
281,646,536500,6212,536500
282,648,537500,6212,537500
282,648,538500,6212,538500
283,650,538970,6212,538970
283,650,539970,6212,539970
284,652,540780,6212,540780
284,652,541780,6212,541780
285,654,542780,6212,542780
285,654,543780,6212,543780
285,654,543940,6212,543940
285,654,543940,6212,543940
285,654,544310,6212,544310
286,656,544900,6212,544900
286,656,545900,6212,545900
287,658,546900,6212,546900
287,658,547900,6212,547900
288,660,548900,6212,548900
288,660,548900,6212,548900
288,660,549900,6212,549900
289,662,550900,6212,550900
289,662,551900,6212,551900
290,664,552360,6212,552360
290,664,553170,6212,553170
290,664,553390,6212,553390
290,664,553550,6212,553550
291,666,554550,6212,554550
291,666,555550,6212,555550
292,668,556360,6212,556360
292,668,557360,6212,557360
293,670,558360,6212,558360
293,670,559360,6212,559360
294,672,560360,6212,560360
294,672,561360,6212,561360
294,672,561360,6212,561360
295,674,562360,6212,562360
295,674,563360,6212,563360
296,676,564360,6212,564360
296,676,565360,6212,565360
297,678,566010,6212,566010
297,678,567010,6212,567010
298,680,568010,6212,568010
298,680,569010,6212,569010
299,682,570010,6212,570010
299,682,570010,6212,570010
299,682,571010,6212,571010
300,684,572010,6212,572010
300,684,572480,6212,572480
300,684,572950,6212,572950
301,686,573950,6212,573950
301,686,574760,6212,574760
302,688,575760,6212,575760
302,688,576030,6212,576030
