ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
86,218,174990,6212,174990
86,218,175460,6212,175460
87,220,176460,6212,176460
87,220,177460,6212,177460
88,221,178270,6212,178270
89,223,179270,6212,179270
90,225,179740,6212,179740
90,225,180740,6212,180740
91,227,181740,6212,181740
92,229,182740,6212,182740
93,237,183740,6212,183740
93,237,184740,6212,184740
93,237,185200,6212,185200
93,237,186200,6212,186200
93,237,186200,6212,186200
94,239,187200,6212,187200
94,239,188200,6212,188200
94,239,189200,6212,189200
94,239,189520,6212,189520
94,239,190330,6212,190330
94,239,191140,6212,191140
94,239,191690,6212,191690
95,240,192160,6212,192160
95,240,192160,6212,192160
95,240,192390,6212,192390
96,242,192860,6212,192860
96,242,193080,6212,193080
97,250,194080,6212,194080
97,250,194890,6212,194890
97,250,195890,6212,195890
97,250,196700,6212,196700
97,250,196700,6212,196700
97,250,197170,6212,197170
97,250,198170,6212,198170
97,250,199170,6212,199170
97,250,199980,6212,199980
97,250,200980,6212,200980
97,250,201980,6212,201980
98,252,202450,6212,202450
98,252,203450,6212,203450
98,252,204260,6212,204260
99,260,205260,6212,205260
99,260,205730,6212,205730
99,260,205730,6212,205730
100,262,206540,6212,206540
100,262,207350,6212,207350
100,262,207350,6212,207350
100,262,208350,6212,208350
100,262,209350,6212,209350
100,262,209580,6212,209580
100,262,211580,6212,211580
100,262,211580,6212,211580
100,262,212390,6212,212390
100,262,212390,6212,212390
100,262,213390,6212,213390
100,262,214390,6212,214390
100,262,215200,6212,215200
101,264,216200,6212,216200
101,264,217200,6212,217200
102,266,218200,6212,218200
103,268,219010,6212,219010
103,268,219330,6212,219330
103,268,220140,6212,220140
104,270,221140,6212,221140
104,270,222140,6212,222140
104,270,222140,6212,222140
105,272,223140,6212,223140
105,272,223790,6212,223790
106,280,223790,6212,223790
107,282,224790,6212,224790
108,284,226790,6212,226790
108,284,227020,6212,227020
108,284,227490,6212,227490
108,284,228490,6212,228490
109,286,229300,6212,229300
109,286,230300,6212,230300
110,288,231300,6212,231300
110,288,232300,6212,232300
111,290,233110,6212,233110
111,290,233110,6212,233110
111,290,233920,6212,233920
111,290,234510,6212,234510
111,290,234830,6212,234830
112,292,235830,6212,235830
112,292,235830,6212,235830
112,292,235830,6212,235830
112,292,236300,6212,236300
113,294,237110,6212,237110
113,294,237110,6212,237110
113,294,238110,6212,238110
113,294,238340,6212,238340
114,296,239340,6212,239340
115,298,240340,6212,240340
116,300,241340,6212,241340
116,300,241340,6212,241340
116,300,241660,6212,241660
116,300,242130,6212,242130
