ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
55,204,174210,6212,174210
55,204,175020,6212,175020
55,204,175020,6212,175020
55,204,176020,6212,176020
55,204,177020,6212,177020
55,204,178020,6212,178020
55,204,178830,6212,178830
56,212,179300,6212,179300
56,212,180300,6212,180300
56,212,181110,6212,181110
56,212,181430,6212,181430
56,212,181430,6212,181430
56,212,181430,6212,181430
56,212,182430,6212,182430
56,212,183430,6212,183430
56,212,183650,6212,183650
57,220,183650,6212,183650
57,220,184460,6212,184460
57,220,185460,6212,185460
57,220,186460,6212,186460
58,222,187270,6212,187270
58,222,187740,6212,187740
58,222,188550,6212,188550
58,222,188550,6212,188550
58,222,189550,6212,189550
58,222,189820,6212,189820
58,222,190470,6212,190470
58,222,191280,6212,191280
58,222,192090,6212,192090
58,222,192560,6212,192560
58,222,193020,6212,193020
59,224,194020,6212,194020
59,224,194340,6212,194340
59,224,194810,6212,194810
60,226,195620,6212,195620
60,226,196430,6212,196430
60,226,197430,6212,197430
60,226,198430,6212,198430
61,234,199240,6212,199240
61,234,200240,6212,200240
61,234,201050,6212,201050
61,234,202050,6212,202050
61,234,203050,6212,203050
61,234,203050,6212,203050
61,234,203050,6212,203050
61,234,203860,6212,203860
61,234,204330,6212,204330
61,234,205140,6212,205140
61,234,205950,6212,205950
62,242,206320,6212,206320
62,242,206970,6212,206970
62,242,206970,6212,206970
62,242,207970,6212,207970
62,242,207970,6212,207970
62,242,208780,6212,208780
62,242,209780,6212,209780
62,242,210780,6212,210780
62,242,211590,6212,211590
62,242,212400,6212,212400
62,242,212870,6212,212870
62,242,212870,6212,212870
62,242,212870,6212,212870
63,250,213680,6212,213680
63,250,214680,6212,214680
63,250,215000,6212,215000
63,250,215320,6212,215320
63,250,216130,6212,216130
63,250,217130,6212,217130
63,250,217450,6212,217450
63,250,218450,6212,218450
63,250,218450,6212,218450
63,250,218920,6212,218920
63,250,218920,6212,218920
63,250,219150,6212,219150
63,250,220150,6212,220150
64,252,221150,6212,221150
64,252,222150,6212,222150
65,260,223150,6212,223150
65,260,223150,6212,223150
65,260,223150,6212,223150
65,260,223310,6212,223310
65,260,224310,6212,224310
65,260,224770,6212,224770
65,260,225240,6212,225240
65,260,226240,6212,226240
65,260,226350,6212,226350
65,260,227160,6212,227160
65,260,227630,6212,227630
65,260,228630,6212,228630
66,268,229280,6212,229280
66,268,230090,6212,230090
66,268,231090,6212,231090
66,268,231090,6212,231090
66,268,231900,6212,231900
66,268,232370,6212,232370
66,268,233180,6212,233180
66,268,233180,6212,233180
66,268,233830,6212,233830
66,268,234640,6212,234640
66,268,235450,6212,235450
66,268,236260,6212,236260
67,270,237260,6212,237260
67,270,237480,6212,237480
67,270,238480,6212,238480
68,278,239130,6212,239130
68,278,240130,6212,240130
68,278,240130,6212,240130
68,278,240450,6212,240450
68,278,240450,6212,240450
68,278,241450,6212,241450
68,278,242100,6212,242100
68,278,242750,6212,242750
