ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
842686.64,13.96,0.36,184441.3,3.06
842686.64,13.96,0.36,184398.8,3.05
842550.68,13.96,0.36,184345.62,3.05
842414.72,13.96,0.36,184831.28,3.06
842286.23,13.96,0.36,184773.22,3.06
842330.45,13.96,0.37,184852.36,3.06
842599.28,13.97,0.37,184852.16,3.06
842463.32,13.97,0.37,184852.16,3.06
842515.01,13.97,0.37,184898.94,3.07
842225.34,13.97,0.37,184656.85,3.06
842225.34,13.97,0.37,184656.85,3.06
842225.34,13.97,0.37,184631.0,3.06
842089.38,13.97,0.37,184793.87,3.06
841953.42,13.97,0.37,186061.05,3.09
841869.46,13.97,0.37,185173.97,3.07
841869.46,13.97,0.37,185173.78,3.07
841913.68,13.97,0.37,184730.42,3.06
841777.72,13.97,0.37,184730.45,3.07
841641.76,13.97,0.37,184847.73,3.07
841704.53,13.97,0.37,184463.19,3.06
841980.71,13.98,0.38,184582.68,3.06
842032.4,13.98,0.38,184544.0,3.06
842032.4,13.98,0.38,184605.25,3.06
841896.44,13.98,0.38,184526.61,3.06
841669.66,13.98,0.38,184313.15,3.06
841853.37,13.98,0.38,184446.79,3.06
841905.06,13.98,0.39,185189.3,3.08
841956.75,13.99,0.39,185127.42,3.08
842225.58,13.99,0.4,185277.58,3.08
841890.79,13.99,0.39,185278.4,3.08
841754.83,13.99,0.39,185258.79,3.08
841465.16,13.98,0.39,184961.53,3.07
841733.98,13.99,0.39,185210.96,3.08
841785.68,13.99,0.4,185334.06,3.08
841837.37,13.99,0.4,185431.69,3.08
841754.2,14.0,0.4,186345.92,3.1
841566.79,13.99,0.4,186001.16,3.09
841618.48,14.0,0.4,186001.34,3.09
841482.52,14.0,0.4,186000.97,3.09
841534.21,14.0,0.4,186000.97,3.09
841398.25,14.0,0.4,186030.16,3.1
841262.29,14.0,0.4,186024.73,3.1
841262.29,14.0,0.4,186099.0,3.1
841262.29,14.0,0.4,186099.0,3.1
841313.98,14.0,0.41,186086.13,3.1
840969.2,14.0,0.4,185739.13,3.09
841020.89,14.0,0.41,185728.24,3.09
841072.58,14.0,0.41,186666.09,3.11
