ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
180,708,583580,6212,583580
181,710,584390,6212,584390
182,712,585200,6212,585200
182,712,585670,6212,585670
182,712,586670,6212,586670
182,712,586670,6212,586670
182,712,587670,6212,587670
183,720,588670,6212,588670
183,720,589670,6212,589670
184,722,590670,6212,590670
184,722,590890,6212,590890
184,722,591890,6212,591890
184,722,592890,6212,592890
184,722,593890,6212,593890
184,722,594700,6212,594700
184,722,594700,6212,594700
184,722,595160,6212,595160
184,722,595380,6212,595380
184,722,596380,6212,596380
184,722,597380,6212,597380
184,722,597850,6212,597850
184,722,598850,6212,598850
184,722,599850,6212,599850
184,722,600850,6212,600850
185,730,608850,6212,608850
185,730,609170,6212,609170
186,732,609720,6212,609720
186,732,610720,6212,610720
186,732,610720,6212,610720
186,732,611720,6212,611720
187,734,612530,6212,612530
188,736,613000,6212,613000
188,736,613810,6212,613810
188,736,614810,6212,614810
188,736,615030,6212,615030
189,738,616030,6212,616030
189,738,616500,6212,616500
189,738,617310,6212,617310
189,738,618310,6212,618310
189,738,619120,6212,619120
189,738,619440,6212,619440
190,746,619440,6212,619440
190,746,620250,6212,620250
190,746,621060,6212,621060
190,746,621060,6212,621060
190,746,621060,6212,621060
190,746,621870,6212,621870
190,746,622870,6212,622870
191,748,623680,6212,623680
191,748,624000,6212,624000
191,748,624810,6212,624810
192,752,625810,6212,625810
193,754,626620,6212,626620
193,754,627620,6212,627620
193,754,628620,6212,628620
193,754,628940,6212,628940
194,762,629940,6212,629940
195,766,630400,6212,630400
195,766,631400,6212,631400
195,766,632210,6212,632210
196,770,633210,6212,633210
196,770,634210,6212,634210
196,770,635210,6212,635210
196,770,635210,6212,635210
196,770,636020,6212,636020
196,770,637020,6212,637020
196,770,637020,6212,637020
196,770,638020,6212,638020
196,770,638830,6212,638830
196,770,639830,6212,639830
196,770,640830,6212,640830
196,770,641830,6212,641830
196,770,642640,6212,642640
196,770,643450,6212,643450
196,770,643670,6212,643670
197,778,644670,6212,644670
197,778,645130,6212,645130
198,780,645940,6212,645940
198,780,646940,6212,646940
198,780,647940,6212,647940
198,780,648940,6212,648940
198,780,649940,6212,649940
198,780,650940,6212,650940
198,780,651940,6212,651940
198,780,651940,6212,651940
198,780,651940,6212,651940
198,780,652940,6212,652940
199,788,653940,6212,653940
199,788,654940,6212,654940
199,788,655940,6212,655940
199,788,656940,6212,656940
199,788,656940,6212,656940
199,788,656940,6212,656940
200,790,657940,6212,657940
200,790,658750,6212,658750
200,790,659750,6212,659750
201,792,660560,6212,660560
201,792,660560,6212,660560
201,792,661560,6212,661560
201,792,662560,6212,662560
201,792,663560,6212,663560
201,792,664560,6212,664560
201,792,664560,6212,664560
201,792,665560,6212,665560
202,794,666370,6212,666370
202,794,667370,6212,667370
202,794,668370,6212,668370
203,802,669370,6212,669370
203,802,670370,6212,670370
203,802,671370,6212,671370
203,802,672020,6212,672020
204,810,673020,6212,673020
204,810,674020,6212,674020
204,810,675020,6212,675020
204,810,675830,6212,675830
204,810,676830,6212,676830
204,810,677150,6212,677150
204,810,678150,6212,678150
204,810,679150,6212,679150
204,810,680150,6212,680150
204,810,680150,6212,680150
204,810,681150,6212,681150
204,810,682150,6212,682150
204,810,683150,6212,683150
204,810,684150,6212,684150
204,810,685150,6212,685150
205,812,685960,6212,685960
205,812,685960,6212,685960
205,812,685960,6212,685960
205,812,686960,6212,686960
205,812,687610,6212,687610
205,812,688610,6212,688610
205,812,689610,6212,689610
205,812,690200,6212,690200
205,812,690200,6212,690200
206,814,690430,6212,690430
206,814,691430,6212,691430
206,814,691890,6212,691890
206,814,692890,6212,692890
206,814,692890,6212,692890
207,818,693890,6212,693890
207,818,694260,6212,694260
208,826,695260,6212,695260
209,828,696070,6212,696070
209,828,697070,6212,697070
209,828,698070,6212,698070
209,828,699070,6212,699070
209,828,699540,6212,699540
210,832,700540,6212,700540
210,832,701540,6212,701540
210,832,702540,6212,702540
210,832,703540,6212,703540
210,832,704540,6212,704540
210,832,705540,6212,705540
210,832,705540,6212,705540
210,832,706000,6212,706000
210,832,707000,6212,707000
210,832,707000,6212,707000
210,832,708000,6212,708000
211,834,709000,6212,709000
211,834,709000,6212,709000
211,834,709000,6212,709000
211,834,710000,6212,710000
211,834,710000,6212,710000
212,836,711000,6212,711000
212,836,711000,6212,711000
212,836,711160,6212,711160
213,844,712160,6212,712160
213,844,712970,6212,712970
213,844,713970,6212,713970
213,844,713970,6212,713970
213,844,714970,6212,714970
213,844,715970,6212,715970
213,844,716620,6212,716620
214,848,716990,6212,716990
214,848,717220,6212,717220
215,856,718220,6212,718220
215,856,719030,6212,719030
215,856,719250,6212,719250
215,856,719720,6212,719720
215,856,720270,6212,720270
216,858,721270,6212,721270
216,858,722270,6212,722270
216,858,723270,6212,723270
216,858,723590,6212,723590
216,858,723590,6212,723590
216,858,724590,6212,724590
216,858,725060,6212,725060
216,858,725870,6212,725870
216,858,726870,6212,726870
216,858,727340,6212,727340
216,858,728150,6212,728150
216,858,729150,6212,729150
217,866,729620,6212,729620
217,866,730620,6212,730620
217,866,730780,6212,730780
217,866,731590,6212,731590
218,868,732400,6212,732400
