ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
124,292,183700,6212,183700
125,294,184700,6212,184700
125,294,185700,6212,185700
126,296,186700,6212,186700
126,296,186700,6212,186700
126,296,186700,6212,186700
127,298,187700,6212,187700
127,298,187700,6212,187700
127,298,187700,6212,187700
127,298,188510,6212,188510
127,298,189510,6212,189510
128,300,190510,6212,190510
128,300,191510,6212,191510
129,302,192510,6212,192510
129,302,193320,6212,193320
130,304,194320,6212,194320
130,304,195320,6212,195320
131,306,196320,6212,196320
131,306,197320,6212,197320
131,306,197320,6212,197320
131,306,197640,6212,197640
131,306,197640,6212,197640
132,308,198640,6212,198640
132,308,199640,6212,199640
133,310,200640,6212,200640
134,312,201640,6212,201640
134,312,202290,6212,202290
135,320,202290,6212,202290
135,320,202290,6212,202290
135,320,203100,6212,203100
135,320,203100,6212,203100
136,322,204100,6212,204100
136,322,204910,6212,204910
137,324,205720,6212,205720
137,324,206720,6212,206720
137,324,207190,6212,207190
138,326,208190,6212,208190
138,326,209000,6212,209000
139,328,210000,6212,210000
139,328,211000,6212,211000
140,330,211810,6212,211810
140,330,212810,6212,212810
140,330,212810,6212,212810
141,332,213620,6212,213620
141,332,214620,6212,214620
141,332,214940,6212,214940
142,334,215940,6212,215940
143,336,216940,6212,216940
143,336,217310,6212,217310
144,338,218310,6212,218310
144,338,219310,6212,219310
145,340,220310,6212,220310
145,340,221310,6212,221310
146,342,222310,6212,222310
147,350,230310,6212,230310
147,350,230310,6212,230310
147,350,231310,6212,231310
147,350,231310,6212,231310
147,350,232310,6212,232310
148,352,233310,6212,233310
148,352,233310,6212,233310
148,352,233310,6212,233310
148,352,234120,6212,234120
148,352,234120,6212,234120
148,352,234120,6212,234120
149,354,235120,6212,235120
149,354,235930,6212,235930
149,354,235930,6212,235930
150,356,236930,6212,236930
150,356,237740,6212,237740
151,358,238740,6212,238740
151,358,239550,6212,239550
152,360,240550,6212,240550
152,360,241020,6212,241020
153,362,243020,6212,243020
153,362,243020,6212,243020
153,362,243020,6212,243020
153,362,243830,6212,243830
154,364,244300,6212,244300
154,364,244410,6212,244410
155,366,245410,6212,245410
155,366,246220,6212,246220
155,366,247220,6212,247220
155,366,247220,6212,247220
155,366,247220,6212,247220
155,366,247440,6212,247440
156,368,248090,6212,248090
157,370,249090,6212,249090
157,370,249900,6212,249900
157,370,250370,6212,250370
157,370,250370,6212,250370
158,372,251370,6212,251370
159,380,251370,6212,251370
159,380,251370,6212,251370
159,380,252370,6212,252370
159,380,252370,6212,252370
159,380,252370,6212,252370
160,382,253370,6212,253370
160,382,254370,6212,254370
160,382,254690,6212,254690
161,384,255500,6212,255500
161,384,256500,6212,256500
162,386,257500,6212,257500
163,388,258500,6212,258500
163,388,259500,6212,259500
164,390,260500,6212,260500
164,390,260500,6212,260500
164,390,260500,6212,260500
164,390,260970,6212,260970
164,390,261780,6212,261780
165,392,262780,6212,262780
166,394,263780,6212,263780
166,394,264430,6212,264430
167,396,265430,6212,265430
167,396,265430,6212,265430
167,396,265750,6212,265750
167,396,266750,6212,266750
167,396,266750,6212,266750
167,396,267340,6212,267340
168,398,268340,6212,268340
168,398,269340,6212,269340
168,398,269340,6212,269340
168,398,269340,6212,269340
168,398,269340,6212,269340
169,400,270340,6212,270340
170,408,270340,6212,270340
170,408,271340,6212,271340
170,408,279340,6212,279340
170,408,279810,6212,279810
171,410,280810,6212,280810
171,410,281810,6212,281810
172,412,282280,6212,282280
173,420,282280,6212,282280
173,420,283280,6212,283280
174,422,284280,6212,284280
174,422,285280,6212,285280
175,424,287280,6212,287280
176,426,288090,6212,288090
176,426,289090,6212,289090
177,428,290090,6212,290090
177,428,290900,6212,290900
177,428,290900,6212,290900
178,430,291900,6212,291900
178,430,292900,6212,292900
178,430,292900,6212,292900
179,432,293900,6212,293900
179,432,294710,6212,294710
179,432,294710,6212,294710
179,432,294710,6212,294710
180,434,295360,6212,295360
180,434,296170,6212,296170
181,436,296980,6212,296980
181,436,297450,6212,297450
181,436,298450,6212,298450
181,436,298450,6212,298450
182,438,299450,6212,299450
183,440,300450,6212,300450
183,440,300450,6212,300450
183,440,301450,6212,301450
183,440,301450,6212,301450
183,440,302450,6212,302450
184,442,303100,6212,303100
184,442,304100,6212,304100
184,442,304420,6212,304420
184,442,304420,6212,304420
185,444,304890,6212,304890
185,444,304890,6212,304890
185,444,305890,6212,305890
185,444,306120,6212,306120
186,446,307120,6212,307120
186,446,307590,6212,307590
186,446,308400,6212,308400
187,448,308870,6212,308870
187,448,309870,6212,309870
187,448,310330,6212,310330
188,450,311140,6212,311140
188,450,312140,6212,312140
189,452,312610,6212,312610
189,452,313610,6212,313610
190,454,314610,6212,314610
190,454,315610,6212,315610
191,456,316610,6212,316610
191,456,316610,6212,316610
191,456,317080,6212,317080
191,456,318080,6212,318080
192,458,319080,6212,319080
192,458,319550,6212,319550
193,466,319550,6212,319550
194,468,320360,6212,320360
194,468,320360,6212,320360
194,468,320830,6212,320830
194,468,321830,6212,321830
195,470,322830,6212,322830
195,470,322830,6212,322830
195,470,323300,6212,323300
196,472,324300,6212,324300
196,472,324760,6212,324760
196,472,325760,6212,325760
197,474,326230,6212,326230
197,474,326230,6212,326230
197,474,327040,6212,327040
198,476,327850,6212,327850
198,476,328170,6212,328170
198,476,328820,6212,328820
198,476,328820,6212,328820
199,478,329140,6212,329140
199,478,330140,6212,330140
199,478,330140,6212,330140
200,480,331140,6212,331140
200,480,331730,6212,331730
200,480,332050,6212,332050
201,482,333050,6212,333050
202,484,334050,6212,334050
202,484,334050,6212,334050
202,484,334210,6212,334210
202,484,334430,6212,334430
203,492,334430,6212,334430
203,492,335080,6212,335080
203,492,335080,6212,335080
203,492,335080,6212,335080
204,494,336080,6212,336080
204,494,337080,6212,337080
204,494,337890,6212,337890
205,496,338890,6212,338890
205,496,339350,6212,339350
205,496,340350,6212,340350
205,496,340350,6212,340350
206,498,340820,6212,340820
206,498,340820,6212,340820
207,502,344820,6212,344820
208,510,344820,6212,344820
208,510,345280,6212,345280
209,512,346280,6212,346280
209,512,347280,6212,347280
210,514,348280,6212,348280
210,514,349280,6212,349280
211,516,350280,6212,350280
211,516,350440,6212,350440
211,516,350440,6212,350440
211,516,350440,6212,350440
211,516,351440,6212,351440
212,518,352440,6212,352440
212,518,352670,6212,352670
212,518,353670,6212,353670
213,520,354670,6212,354670
214,522,356670,6212,356670
214,522,356670,6212,356670
214,522,357130,6212,357130
215,524,358130,6212,358130
215,524,358130,6212,358130
215,524,359130,6212,359130
216,526,359940,6212,359940
216,526,360940,6212,360940
217,528,361940,6212,361940
217,528,362940,6212,362940
218,530,363940,6212,363940
218,530,364260,6212,364260
218,530,364260,6212,364260
218,530,365260,6212,365260
219,532,365730,6212,365730
219,532,366380,6212,366380
219,532,366850,6212,366850
220,534,367850,6212,367850
221,536,368320,6212,368320
221,536,369320,6212,369320
222,538,369970,6212,369970
223,540,370440,6212,370440
223,540,370670,6212,370670
223,540,371670,6212,371670
224,542,372670,6212,372670
224,542,373670,6212,373670
225,550,373670,6212,373670
225,550,373670,6212,373670
225,550,373670,6212,373670
226,552,374670,6212,374670
226,552,375670,6212,375670
227,560,383670,6212,383670
227,560,383900,6212,383900
227,560,383900,6212,383900
228,562,384710,6212,384710
228,562,385180,6212,385180
228,562,386180,6212,386180
228,562,386180,6212,386180
228,562,386180,6212,386180
229,564,387180,6212,387180
229,564,388180,6212,388180
229,564,388180,6212,388180
230,566,389180,6212,389180
230,566,390180,6212,390180
231,568,391180,6212,391180
231,568,391180,6212,391180
231,568,391990,6212,391990
232,570,392990,6212,392990
232,570,393990,6212,393990
233,572,394990,6212,394990
233,572,395220,6212,395220
234,574,396030,6212,396030
234,574,397030,6212,397030
234,574,397350,6212,397350
234,574,397720,6212,397720
235,576,398720,6212,398720
235,576,398720,6212,398720
235,576,399720,6212,399720
235,576,399720,6212,399720
235,576,399720,6212,399720
235,576,399880,6212,399880
235,576,399880,6212,399880
236,578,400880,6212,400880
236,578,401530,6212,401530
237,580,402340,6212,402340
237,580,402810,6212,402810
238,588,402810,6212,402810
239,590,403810,6212,403810
239,590,404400,6212,404400
240,592,405210,6212,405210
240,592,406210,6212,406210
241,594,407210,6212,407210
241,594,408210,6212,408210
242,596,409210,6212,409210
242,596,409760,6212,409760
243,598,410760,6212,410760
243,598,411760,6212,411760
243,598,412230,6212,412230
244,600,412700,6212,412700
245,602,413700,6212,413700
245,602,413700,6212,413700
246,604,414170,6212,414170
247,612,422170,6212,422170
247,612,422820,6212,422820
248,614,423820,6212,423820
249,616,424820,6212,424820
249,616,425820,6212,425820
250,618,426470,6212,426470
250,618,426790,6212,426790
250,618,426790,6212,426790
250,618,427790,6212,427790
250,618,427790,6212,427790
250,618,427790,6212,427790
250,618,428110,6212,428110
251,626,436110,6212,436110
251,626,436340,6212,436340
252,628,437340,6212,437340
252,628,437810,6212,437810
252,628,438620,6212,438620
252,628,439620,6212,439620
252,628,440620,6212,440620
253,630,441620,6212,441620
253,630,442620,6212,442620
254,632,443090,6212,443090
255,634,444090,6212,444090
255,634,445090,6212,445090
256,636,446090,6212,446090
256,636,446090,6212,446090
256,636,447090,6212,447090
256,636,447900,6212,447900
