ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
137,316,270530,6212,270530
137,316,271530,6212,271530
137,316,272000,6212,272000
137,316,272590,6212,272590
138,318,273240,6212,273240
138,318,273560,6212,273560
138,318,273560,6212,273560
138,318,274030,6212,274030
139,320,275030,6212,275030
139,320,276030,6212,276030
140,322,276840,6212,276840
140,322,277490,6212,277490
141,324,278490,6212,278490
141,324,279490,6212,279490
142,326,280490,6212,280490
142,326,280650,6212,280650
142,326,281650,6212,281650
143,328,282650,6212,282650
143,328,283650,6212,283650
143,328,283650,6212,283650
144,330,284650,6212,284650
144,330,285650,6212,285650
144,330,285980,6212,285980
145,332,286980,6212,286980
146,334,287790,6212,287790
146,334,288790,6212,288790
147,336,289790,6212,289790
147,336,289900,6212,289900
147,336,290370,6212,290370
147,336,291370,6212,291370
148,344,299370,6212,299370
148,344,300020,6212,300020
149,346,300670,6212,300670
150,348,301670,6212,301670
151,350,302670,6212,302670
152,352,303320,6212,303320
152,352,304320,6212,304320
152,352,305130,6212,305130
152,352,305450,6212,305450
153,354,306450,6212,306450
153,354,306450,6212,306450
153,354,307450,6212,307450
153,354,308260,6212,308260
154,356,309260,6212,309260
155,358,310070,6212,310070
155,358,311070,6212,311070
155,358,311880,6212,311880
156,360,312350,6212,312350
156,360,313160,6212,313160
156,360,314160,6212,314160
157,362,315160,6212,315160
158,364,316160,6212,316160
158,364,317160,6212,317160
159,366,318160,6212,318160
159,366,319160,6212,319160
159,366,320160,6212,320160
160,368,321160,6212,321160
160,368,321390,6212,321390
160,368,322390,6212,322390
160,368,322390,6212,322390
160,368,322390,6212,322390
160,368,322390,6212,322390
161,370,323390,6212,323390
162,372,324200,6212,324200
162,372,325200,6212,325200
162,372,326010,6212,326010
163,374,327010,6212,327010
163,374,328010,6212,328010
164,376,329010,6212,329010
164,376,329470,6212,329470
164,376,329470,6212,329470
164,376,329790,6212,329790
164,376,330790,6212,330790
165,378,331380,6212,331380
165,378,332190,6212,332190
166,380,333190,6212,333190
