ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
160,360,294870,6212,294870
160,360,295190,6212,295190
161,362,296190,6212,296190
161,362,296190,6212,296190
161,362,297000,6212,297000
161,362,297470,6212,297470
162,364,298470,6212,298470
163,368,298470,6212,298470
163,368,298470,6212,298470
164,370,298940,6212,298940
164,370,299940,6212,299940
164,370,300750,6212,300750
165,372,301750,6212,301750
165,372,302750,6212,302750
165,372,303220,6212,303220
165,372,303540,6212,303540
165,372,303860,6212,303860
166,374,304860,6212,304860
166,374,304860,6212,304860
166,374,305860,6212,305860
167,376,306860,6212,306860
167,376,307670,6212,307670
168,378,308670,6212,308670
169,380,309140,6212,309140
169,380,310140,6212,310140
170,382,310790,6212,310790
170,382,311120,6212,311120
170,382,311930,6212,311930
171,384,312740,6212,312740
171,384,313740,6212,313740
172,386,314740,6212,314740
172,386,315740,6212,315740
172,386,315740,6212,315740
173,388,316740,6212,316740
173,388,317740,6212,317740
173,388,317740,6212,317740
174,390,318740,6212,318740
174,390,318740,6212,318740
174,390,319740,6212,319740
174,390,319740,6212,319740
175,392,320740,6212,320740
175,392,320740,6212,320740
176,394,321740,6212,321740
176,394,322210,6212,322210
176,394,323210,6212,323210
177,396,324210,6212,324210
177,396,325210,6212,325210
178,400,325210,6212,325210
178,400,326020,6212,326020
179,408,326020,6212,326020
180,410,327020,6212,327020
180,410,327670,6212,327670
181,412,328670,6212,328670
181,412,329140,6212,329140
181,412,329620,6212,329620
181,412,329620,6212,329620
182,414,330620,6212,330620
182,414,331430,6212,331430
183,416,332240,6212,332240
183,416,333050,6212,333050
184,418,334050,6212,334050
184,418,334600,6212,334600
185,420,335070,6212,335070
185,420,336070,6212,336070
186,422,337070,6212,337070
186,422,338070,6212,338070
187,424,338880,6212,338880
187,424,339430,6212,339430
187,424,339590,6212,339590
188,426,340590,6212,340590
188,426,341400,6212,341400
189,428,342400,6212,342400
189,428,342720,6212,342720
189,428,343370,6212,343370
190,430,344370,6212,344370
190,430,344840,6212,344840
190,430,345650,6212,345650
190,430,345650,6212,345650
191,432,346650,6212,346650
191,432,347650,6212,347650
192,434,348460,6212,348460
192,434,349460,6212,349460
193,436,350270,6212,350270
193,436,351270,6212,351270
194,438,351740,6212,351740
194,438,352550,6212,352550
195,440,353200,6212,353200
195,440,353200,6212,353200
195,440,354200,6212,354200
196,442,355010,6212,355010
196,442,355010,6212,355010
197,444,356010,6212,356010
197,444,356820,6212,356820
197,444,356820,6212,356820
197,444,357820,6212,357820
198,446,358820,6212,358820
198,446,359290,6212,359290
198,446,359290,6212,359290
198,446,360290,6212,360290
199,448,361290,6212,361290
199,448,361290,6212,361290
199,448,362290,6212,362290
200,450,363290,6212,363290
200,450,363290,6212,363290
200,450,363760,6212,363760
201,452,364760,6212,364760
201,452,365080,6212,365080
201,452,365890,6212,365890
202,454,366700,6212,366700
202,454,367170,6212,367170
203,456,368170,6212,368170
203,456,368640,6212,368640
203,456,368800,6212,368800
203,456,369270,6212,369270
203,456,369730,6212,369730
204,458,370730,6212,370730
204,458,371540,6212,371540
205,460,372350,6212,372350
205,460,372900,6212,372900
206,462,373550,6212,373550
206,462,374360,6212,374360
207,464,375360,6212,375360
208,472,375360,6212,375360
208,472,376360,6212,376360
209,474,377170,6212,377170
209,474,378170,6212,378170
209,474,378490,6212,378490
210,476,379490,6212,379490
210,476,379810,6212,379810
210,476,380810,6212,380810
210,476,380810,6212,380810
211,478,381810,6212,381810
211,478,382280,6212,382280
212,480,382930,6212,382930
212,480,382930,6212,382930
212,480,382930,6212,382930
212,480,382930,6212,382930
212,480,382930,6212,382930
212,480,383930,6212,383930
213,482,384740,6212,384740
213,482,385550,6212,385550
214,484,386550,6212,386550
214,484,387550,6212,387550
214,484,387550,6212,387550
215,486,388550,6212,388550
215,486,389020,6212,389020
215,486,389830,6212,389830
215,486,389830,6212,389830
216,488,390830,6212,390830
216,488,391830,6212,391830
217,490,392300,6212,392300
217,490,393300,6212,393300
217,490,393760,6212,393760
218,492,394570,6212,394570
218,492,395570,6212,395570
219,494,396570,6212,396570
219,494,397380,6212,397380
220,496,397850,6212,397850
220,496,398850,6212,398850
221,498,399850,6212,399850
221,498,400660,6212,400660
221,498,400890,6212,400890
221,498,400890,6212,400890
222,500,401890,6212,401890
223,502,402890,6212,402890
223,502,403890,6212,403890
224,510,403890,6212,403890
224,510,404700,6212,404700
225,512,405510,6212,405510
225,512,406510,6212,406510
226,514,407510,6212,407510
226,514,408510,6212,408510
227,516,409510,6212,409510
227,516,410510,6212,410510
228,518,411510,6212,411510
228,518,412320,6212,412320
228,518,412320,6212,412320
229,520,413320,6212,413320
