ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1581659.42,26.97,1.54,184970.36,3.15
1581659.42,26.97,1.54,184970.36,3.15
1581404.41,26.97,1.54,184978.62,3.15
1581191.47,26.97,1.54,184750.66,3.15
1582320.58,26.99,1.56,185814.23,3.17
1582054.6,26.99,1.56,185736.78,3.17
1582054.6,26.99,1.56,185750.06,3.17
1581735.86,26.99,1.56,185431.32,3.16
1581469.88,26.99,1.56,185425.91,3.16
1581237.34,26.99,1.56,185421.75,3.16
1581237.34,26.99,1.56,185421.75,3.16
1580982.34,26.99,1.56,185453.19,3.17
1580717.78,26.99,1.56,185426.25,3.17
1580640.11,26.99,1.57,185517.72,3.17
1580500.8,26.99,1.57,184905.17,3.16
1580500.8,26.99,1.57,184905.17,3.16
1580773.36,27.0,1.58,185563.82,3.17
1580507.38,27.0,1.58,185551.01,3.17
1580227.97,27.0,1.58,184932.68,3.16
1580458.99,27.01,1.58,184840.82,3.16
1580252.79,27.01,1.58,184851.96,3.16
1580425.19,27.02,1.59,185950.11,3.18
1579902.33,27.01,1.59,185360.57,3.17
1579902.33,27.01,1.59,185360.57,3.17
1579627.57,27.01,1.59,185297.71,3.17
1579627.57,27.01,1.59,185297.71,3.17
1579627.57,27.01,1.59,185292.17,3.17
1579348.16,27.01,1.59,185214.09,3.17
1579146.84,27.01,1.59,184992.72,3.16
1578940.64,27.01,1.59,184921.72,3.16
1578743.48,27.01,1.59,185216.74,3.17
1578570.14,27.01,1.59,185020.0,3.17
1578570.14,27.01,1.59,185020.0,3.17
1578570.14,27.01,1.59,185020.0,3.17
1578295.38,27.01,1.59,184846.6,3.16
1578089.18,27.01,1.59,184841.36,3.16
1577725.46,27.01,1.58,184488.76,3.16
1577634.36,27.01,1.59,184447.32,3.16
1577354.96,27.01,1.59,184762.2,3.16
1577075.55,27.01,1.59,184604.64,3.16
1576800.79,27.01,1.59,184551.61,3.16
1576588.79,27.01,1.59,185271.67,3.17
1576502.98,27.02,1.59,184852.24,3.17
1576502.98,27.02,1.59,184852.24,3.17
1576252.63,27.02,1.59,184896.51,3.17
1575900.53,27.01,1.59,184610.52,3.16
1575732.29,27.02,1.59,185354.86,3.18
1576391.47,27.03,1.61,185682.4,3.18
1576116.71,27.03,1.61,185650.45,3.18
1575293.15,27.02,1.6,184838.15,3.17
1575293.38,27.02,1.6,184838.38,3.17
1575030.25,27.02,1.6,184748.24,3.17
