ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
106,234,174990,6212,174990
106,234,175460,6212,175460
106,234,176460,6212,176460
107,236,177460,6212,177460
107,236,178270,6212,178270
107,236,179270,6212,179270
107,236,179740,6212,179740
107,236,180740,6212,180740
108,238,181740,6212,181740
108,238,182740,6212,182740
108,238,183740,6212,183740
108,238,184740,6212,184740
109,240,185200,6212,185200
109,240,186200,6212,186200
109,240,186200,6212,186200
110,242,187200,6212,187200
110,242,188200,6212,188200
111,250,189200,6212,189200
111,250,189520,6212,189520
111,250,190330,6212,190330
112,252,191140,6212,191140
112,252,191690,6212,191690
112,252,192160,6212,192160
112,252,192160,6212,192160
112,252,192390,6212,192390
112,252,192860,6212,192860
112,252,193080,6212,193080
113,254,194080,6212,194080
113,254,194890,6212,194890
113,254,195890,6212,195890
113,254,196700,6212,196700
114,262,196700,6212,196700
114,262,197170,6212,197170
114,262,198170,6212,198170
114,262,199170,6212,199170
114,262,199980,6212,199980
115,264,200980,6212,200980
115,264,201980,6212,201980
115,264,202450,6212,202450
116,268,203450,6212,203450
116,268,204260,6212,204260
117,270,205260,6212,205260
117,270,205730,6212,205730
