ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
2176051.33,35.82,0.55,194767.89,3.21
2175806.49,35.82,0.55,194764.25,3.21
2175561.65,35.82,0.55,194715.15,3.21
2175641.43,35.83,0.55,195025.2,3.21
2175396.59,35.83,0.55,194976.05,3.21
2175339.89,35.83,0.56,195156.16,3.21
2175339.89,35.83,0.56,195330.0,3.22
2175326.21,35.84,0.56,195149.02,3.22
2175081.37,35.84,0.56,195155.81,3.22
2174304.14,35.83,0.55,194443.11,3.2
2174247.44,35.84,0.56,194545.28,3.21
2174508.03,35.85,0.56,194498.25,3.21
2174161.03,35.84,0.56,194721.34,3.21
2173916.19,35.84,0.56,194628.74,3.21
2174105.45,35.85,0.56,194685.66,3.21
2173860.62,35.85,0.56,194997.84,3.22
2173832.61,35.86,0.57,194824.24,3.21
2173458.51,35.85,0.57,194462.65,3.21
2173430.5,35.86,0.57,194263.48,3.21
2172857.6,35.85,0.57,193733.4,3.2
2172284.69,35.85,0.56,193228.9,3.19
2172039.85,35.85,0.56,193180.03,3.19
2172573.67,35.86,0.57,199355.21,3.29
2172328.83,35.86,0.57,199351.57,3.29
2172518.09,35.87,0.58,199408.48,3.29
2172273.25,35.87,0.58,199721.37,3.3
2172634.26,35.88,0.58,199878.42,3.3
2172358.59,35.88,0.58,199592.07,3.3
2172113.76,35.88,0.58,199543.29,3.3
2171651.38,35.88,0.58,199162.3,3.29
2171594.68,35.88,0.58,199342.04,3.29
2171792.13,35.89,0.59,199294.71,3.29
2171735.42,35.89,0.59,199898.58,3.3
2172054.49,35.9,0.6,200039.74,3.31
2171850.37,35.9,0.6,199816.2,3.3
2176334.62,35.97,0.67,201160.89,3.32
2176334.62,35.97,0.67,201160.89,3.32
2176334.62,35.97,0.67,201160.89,3.32
2176089.78,35.97,0.67,201111.74,3.32
2176033.08,35.98,0.67,201291.84,3.33
2174505.98,35.98,0.67,201092.86,3.33
2174715.06,35.98,0.68,201199.19,3.33
2174470.23,35.99,0.68,201150.04,3.33
2174225.39,35.99,0.68,201146.69,3.33
2173465.41,35.98,0.68,200461.85,3.32
2173220.57,35.98,0.68,200412.7,3.32
2173709.81,35.99,0.69,200706.39,3.32
2173464.97,36.0,0.69,200703.03,3.32
2173122.04,36.0,0.69,200699.6,3.32
2172749.75,35.99,0.68,200311.5,3.32
2172379.98,35.99,0.68,200289.59,3.32
2172135.14,36.0,0.68,200240.81,3.32
2171953.92,36.0,0.69,200288.52,3.32
2171709.09,36.0,0.69,200284.8,3.32
2171793.32,36.0,0.69,200251.44,3.32
2171423.54,36.0,0.69,200229.44,3.32
2171395.54,36.01,0.7,200030.27,3.32
2171025.76,36.01,0.7,200332.62,3.32
2170655.99,36.01,0.7,200378.39,3.32
2170286.22,36.01,0.7,200638.07,3.33
2170636.56,36.02,0.7,200584.16,3.33
2169886.41,36.01,0.7,199926.8,3.32
2169886.41,36.01,0.7,199926.8,3.32
2169641.58,36.01,0.7,199933.59,3.32
2169396.74,36.01,0.7,199874.3,3.32
2169053.81,36.01,0.7,199875.89,3.32
2168759.2,36.01,0.69,199592.44,3.31
2168577.98,36.01,0.7,199574.42,3.31
2168521.28,36.02,0.7,199671.78,3.32
2168574.21,36.02,0.7,199693.31,3.32
2168180.21,36.02,0.7,199298.34,3.31
2168180.21,36.02,0.7,199298.34,3.31
2167974.58,36.02,0.7,199277.25,3.31
2168163.84,36.02,0.7,199605.32,3.32
2167946.76,36.02,0.7,199633.62,3.32
2167701.92,36.02,0.7,199584.76,3.32
2167520.7,36.02,0.7,199556.25,3.32
2167150.93,36.02,0.7,199540.89,3.32
2166969.71,36.02,0.7,199535.59,3.32
2166996.56,36.02,0.71,199544.24,3.32
2166922.33,36.03,0.71,199772.11,3.32
2166552.56,36.03,0.71,200399.93,3.33
2166307.72,36.03,0.71,200396.29,3.33
2166126.5,36.03,0.71,200492.86,3.33
2165761.64,36.03,0.71,200437.16,3.33
2165396.77,36.03,0.71,200433.76,3.33
2165022.67,36.03,0.71,200197.23,3.33
2164640.9,36.03,0.71,200150.55,3.33
2164067.99,36.02,0.7,199646.05,3.32
2163823.15,36.02,0.7,199596.9,3.32
2164012.41,36.03,0.71,200015.36,3.33
2164012.41,36.03,0.71,200015.36,3.33
2163819.19,36.03,0.71,199870.4,3.33
2163625.97,36.03,0.71,200346.64,3.34
2163625.97,36.03,0.71,200321.03,3.34
2163244.19,36.03,0.71,200192.34,3.33
2162999.35,36.03,0.71,200143.56,3.33
2162799.81,36.03,0.71,199963.83,3.33
2162070.07,36.03,0.71,199904.73,3.33
2162070.07,36.03,0.71,202261.83,3.37
2162013.37,36.04,0.71,202441.57,3.37
2166959.17,36.12,0.79,208057.62,3.47
2167174.45,36.13,0.8,207261.04,3.46
2166831.52,36.13,0.8,207261.4,3.46
2166650.3,36.13,0.81,207242.43,3.46
2166280.53,36.13,0.81,207271.85,3.46
2165910.76,36.13,0.81,207242.82,3.46
2165540.98,36.13,0.81,207434.58,3.46
2165371.08,36.13,0.81,207001.02,3.45
2165144.92,36.13,0.81,206757.66,3.45
2165088.22,36.13,0.81,206855.02,3.45
2164718.45,36.13,0.81,206643.74,3.45
2164356.29,36.13,0.81,207022.02,3.46
2164356.29,36.13,0.81,207022.02,3.46
2163978.9,36.13,0.81,206819.16,3.45
2164058.68,36.14,0.81,207091.8,3.46
2164060.12,36.14,0.81,207116.48,3.46
2163815.29,36.14,0.81,207067.34,3.46
2163139.76,36.14,0.81,207157.91,3.46
2162934.93,36.14,0.81,207021.14,3.46
2163457.7,36.15,0.82,207376.45,3.47
2163212.86,36.15,0.82,207373.1,3.47
2162555.42,36.15,0.82,206782.52,3.46
2162310.58,36.15,0.82,206733.38,3.46
2162065.74,36.15,0.82,206730.02,3.46
2161820.91,36.15,0.82,206680.92,3.46
2161576.66,36.15,0.82,206587.66,3.46
2161576.66,36.15,0.82,206587.66,3.46
2161519.96,36.16,0.82,206768.32,3.46
2160935.49,36.15,0.81,206185.8,3.45
2161120.99,36.16,0.82,205744.66,3.44
2160733.21,36.16,0.82,205900.77,3.45
2160733.21,36.16,0.82,205883.08,3.45
2160733.21,36.16,0.82,205824.33,3.44
2160922.47,36.16,0.82,205881.25,3.45
2160865.77,36.17,0.83,206249.76,3.45
2160867.24,36.17,0.83,206334.17,3.45
2160508.95,36.17,0.83,205653.46,3.44
2160364.71,36.16,0.83,205640.86,3.44
2160119.88,36.17,0.83,205592.08,3.44
2159776.95,36.17,0.83,205595.44,3.44
2159407.18,36.17,0.83,205574.73,3.44
2159407.18,36.17,0.83,205574.73,3.44
2159178.54,36.17,0.82,205326.09,3.44
2159367.8,36.17,0.83,205745.25,3.45
2158998.03,36.17,0.83,205734.31,3.45
2159010.42,36.17,0.83,205726.07,3.45
2158970.81,36.17,0.83,205908.42,3.45
2158789.59,36.18,0.84,205762.99,3.45
2155858.26,36.18,0.84,205717.51,3.45
2155488.48,36.18,0.84,205767.0,3.45
2155243.64,36.18,0.84,205718.22,3.45
2155204.93,36.18,0.84,206838.19,3.47
2155122.3,36.19,0.85,206975.24,3.48
2154441.98,36.18,0.84,206290.48,3.46
2154067.88,36.18,0.84,205927.6,3.46
2153823.05,36.18,0.84,205923.88,3.46
2153578.21,36.18,0.84,205875.1,3.46
2153333.37,36.18,0.84,205871.38,3.46
2153305.37,36.19,0.84,205672.21,3.46
2153060.53,36.19,0.84,205623.06,3.46
2152840.67,36.19,0.84,205378.67,3.45
2152497.75,36.19,0.84,205376.8,3.45
2152127.97,36.19,0.84,205353.81,3.45
2151946.75,36.19,0.84,205389.48,3.45
2151765.53,36.19,0.84,205348.03,3.45
2151849.76,36.2,0.85,205453.74,3.46
2151479.99,36.2,0.85,205444.4,3.46
2151098.21,36.2,0.85,205390.82,3.46
2150728.44,36.2,0.85,205357.51,3.46
2150358.67,36.2,0.85,206110.89,3.47
2150373.12,36.2,0.85,206546.94,3.48
2150543.21,36.2,0.85,206950.4,3.48
2150152.1,36.2,0.85,206559.12,3.48
2150471.16,36.21,0.86,206700.29,3.48
2150471.16,36.21,0.86,206786.57,3.48
2150128.23,36.21,0.86,206788.15,3.48
