ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
910972.61,15.03,1.44,179263.62,2.96
911101.92,15.04,1.44,179305.6,2.96
910965.96,15.04,1.44,179305.6,2.96
911069.31,15.04,1.44,179398.23,2.96
911735.1,15.05,1.45,179509.53,2.96
911271.47,15.05,1.45,179000.1,2.96
911974.61,15.06,1.46,179024.39,2.96
911974.61,15.06,1.46,179024.39,2.96
911523.92,15.05,1.46,178486.38,2.95
911838.84,15.06,1.46,178260.06,2.94
912504.62,15.07,1.48,178371.36,2.95
913337.48,15.09,1.49,178691.25,2.95
913289.07,15.09,1.49,178642.84,2.95
913316.31,15.09,1.49,178611.02,2.95
912852.68,15.08,1.49,178101.59,2.94
913181.7,15.09,1.49,178509.16,2.95
913847.49,15.1,1.51,178620.46,2.95
914137.95,15.11,1.51,178310.62,2.95
914478.88,15.12,1.52,178051.26,2.94
915840.02,15.14,1.55,178347.07,2.95
915751.72,15.14,1.55,178258.77,2.95
917071.15,15.16,1.57,178543.77,2.95
917034.07,15.17,1.57,177939.18,2.94
920234.79,15.22,1.62,180230.05,2.98
921344.1,15.24,1.64,182529.65,3.02
921208.14,15.24,1.64,182525.11,3.02
921209.37,15.24,1.64,182526.34,3.02
920745.75,15.23,1.64,182016.91,3.01
920609.79,15.23,1.64,181912.07,3.01
919969.09,15.22,1.63,181184.05,3.0
919833.13,15.22,1.63,181074.67,3.0
920757.07,15.24,1.64,181038.62,3.0
