ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
203,590,523590,6212,523590
203,590,523910,6212,523910
203,590,524380,6212,524380
203,590,524840,6212,524840
204,592,525840,6212,525840
205,600,533840,6212,533840
206,602,534840,6212,534840
206,602,535840,6212,535840
206,602,536840,6212,536840
207,604,537650,6212,537650
207,604,537650,6212,537650
207,604,538650,6212,538650
207,604,538880,6212,538880
208,606,539880,6212,539880
208,606,541880,6212,541880
208,606,542340,6212,542340
209,608,543340,6212,543340
209,608,544340,6212,544340
210,610,545340,6212,545340
210,610,545800,6212,545800
210,610,546800,6212,546800
211,612,547800,6212,547800
211,612,548270,6212,548270
212,614,549080,6212,549080
212,614,550080,6212,550080
213,616,551080,6212,551080
213,616,551730,6212,551730
214,618,552730,6212,552730
214,618,553730,6212,553730
214,618,554730,6212,554730
215,620,555540,6212,555540
215,620,556540,6212,556540
216,622,557010,6212,557010
216,622,557480,6212,557480
216,622,558030,6212,558030
216,622,559030,6212,559030
217,624,560030,6212,560030
217,624,560030,6212,560030
217,624,560620,6212,560620
217,624,561620,6212,561620
217,624,561620,6212,561620
217,624,561940,6212,561940
217,624,561940,6212,561940
218,626,562410,6212,562410
218,626,563410,6212,563410
218,626,563880,6212,563880
219,628,564690,6212,564690
219,628,564690,6212,564690
219,628,565690,6212,565690
220,630,566160,6212,566160
221,632,566970,6212,566970
221,632,567970,6212,567970
221,632,568970,6212,568970
221,632,569290,6212,569290
221,632,569760,6212,569760
222,640,577760,6212,577760
223,642,578760,6212,578760
223,642,579760,6212,579760
223,642,579920,6212,579920
224,644,580920,6212,580920
224,644,581390,6212,581390
224,644,581390,6212,581390
225,646,582390,6212,582390
226,648,583200,6212,583200
226,648,584200,6212,584200
226,648,585200,6212,585200
226,648,585520,6212,585520
227,650,586520,6212,586520
227,650,587520,6212,587520
228,652,588520,6212,588520
229,656,592520,6212,592520
229,656,592520,6212,592520
229,656,593520,6212,593520
230,664,601520,6212,601520
230,664,601520,6212,601520
231,668,605520,6212,605520
232,670,606520,6212,606520
232,670,607520,6212,607520
233,672,608520,6212,608520
234,674,609520,6212,609520
234,674,610330,6212,610330
235,678,614330,6212,614330
236,680,615140,6212,615140
236,680,616140,6212,616140
236,680,616460,6212,616460
237,682,617460,6212,617460
237,682,618460,6212,618460
238,684,619460,6212,619460
239,686,620460,6212,620460
239,686,621460,6212,621460
239,686,622460,6212,622460
240,688,623460,6212,623460
240,688,624460,6212,624460
240,688,624460,6212,624460
241,690,625460,6212,625460
241,690,626460,6212,626460
242,692,627270,6212,627270
243,694,628270,6212,628270
243,694,629270,6212,629270
243,694,629270,6212,629270
243,694,629270,6212,629270
243,694,630270,6212,630270
243,694,630590,6212,630590
243,694,630590,6212,630590
244,696,631400,6212,631400
244,696,631770,6212,631770
244,696,632770,6212,632770
245,698,633770,6212,633770
245,698,633770,6212,633770
245,698,634420,6212,634420
245,698,635420,6212,635420
246,700,636420,6212,636420
247,702,637420,6212,637420
247,702,638420,6212,638420
247,702,639420,6212,639420
248,704,640420,6212,640420
248,704,640420,6212,640420
248,704,641420,6212,641420
249,706,642420,6212,642420
249,706,643420,6212,643420
250,708,644420,6212,644420
250,708,644420,6212,644420
251,716,652420,6212,652420
251,716,653420,6212,653420
252,718,654420,6212,654420
252,718,655070,6212,655070
252,718,655390,6212,655390
253,720,656200,6212,656200
253,720,657200,6212,657200
254,722,657670,6212,657670
255,724,658670,6212,658670
255,724,659670,6212,659670
256,726,660670,6212,660670
256,726,661670,6212,661670
256,726,661670,6212,661670
257,728,662260,6212,662260
257,728,663260,6212,663260
257,728,664260,6212,664260
258,730,665260,6212,665260
258,730,666260,6212,666260
259,732,666910,6212,666910
259,732,667910,6212,667910
259,732,668910,6212,668910
259,732,669910,6212,669910
259,732,669910,6212,669910
260,734,670910,6212,670910
