ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
244,564,347280,6212,347280
244,564,348280,6212,348280
245,566,349280,6212,349280
245,566,350280,6212,350280
245,566,350440,6212,350440
245,566,350440,6212,350440
245,566,350440,6212,350440
246,568,351440,6212,351440
246,568,352440,6212,352440
246,568,352670,6212,352670
247,570,353670,6212,353670
247,570,354670,6212,354670
248,572,356670,6212,356670
248,572,356670,6212,356670
249,574,357130,6212,357130
249,574,358130,6212,358130
249,574,358130,6212,358130
250,576,359130,6212,359130
250,576,359940,6212,359940
251,578,360940,6212,360940
251,578,361940,6212,361940
252,580,362940,6212,362940
252,580,363940,6212,363940
252,580,364260,6212,364260
252,580,364260,6212,364260
253,582,365260,6212,365260
253,582,365730,6212,365730
254,584,366380,6212,366380
254,584,366850,6212,366850
254,584,367850,6212,367850
255,586,368320,6212,368320
255,586,369320,6212,369320
256,588,369970,6212,369970
256,588,370440,6212,370440
256,588,370670,6212,370670
256,588,371670,6212,371670
257,590,372670,6212,372670
257,590,373670,6212,373670
257,590,373670,6212,373670
257,590,373670,6212,373670
257,590,373670,6212,373670
258,592,374670,6212,374670
258,592,375670,6212,375670
259,600,383670,6212,383670
259,600,383900,6212,383900
259,600,383900,6212,383900
260,602,384710,6212,384710
260,602,385180,6212,385180
261,604,386180,6212,386180
261,604,386180,6212,386180
261,604,386180,6212,386180
261,604,387180,6212,387180
262,606,388180,6212,388180
262,606,388180,6212,388180
262,606,389180,6212,389180
263,608,390180,6212,390180
263,608,391180,6212,391180
263,608,391180,6212,391180
264,610,391990,6212,391990
264,610,392990,6212,392990
265,612,393990,6212,393990
265,612,394990,6212,394990
265,612,395220,6212,395220
266,614,396030,6212,396030
266,614,397030,6212,397030
266,614,397350,6212,397350
267,616,397720,6212,397720
267,616,398720,6212,398720
267,616,398720,6212,398720
268,618,399720,6212,399720
268,618,399720,6212,399720
268,618,399720,6212,399720
268,618,399880,6212,399880
268,618,399880,6212,399880
268,618,400880,6212,400880
269,620,401530,6212,401530
269,620,402340,6212,402340
269,620,402810,6212,402810
269,620,402810,6212,402810
270,622,403810,6212,403810
270,622,404400,6212,404400
270,622,405210,6212,405210
271,624,406210,6212,406210
271,624,407210,6212,407210
272,626,408210,6212,408210
272,626,409210,6212,409210
273,630,409760,6212,409760
273,630,410760,6212,410760
273,630,411760,6212,411760
273,630,412230,6212,412230
273,630,412700,6212,412700
274,632,413700,6212,413700
274,632,413700,6212,413700
274,632,414170,6212,414170
275,640,422170,6212,422170
276,642,422820,6212,422820
276,642,423820,6212,423820
277,644,424820,6212,424820
277,644,425820,6212,425820
278,646,426470,6212,426470
278,646,426790,6212,426790
278,646,426790,6212,426790
278,646,427790,6212,427790
278,646,427790,6212,427790
278,646,427790,6212,427790
278,646,428110,6212,428110
279,654,436110,6212,436110
279,654,436340,6212,436340
280,656,437340,6212,437340
280,656,437810,6212,437810
280,656,438620,6212,438620
281,658,439620,6212,439620
281,658,440620,6212,440620
