ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1664328.5,27.17,1.6,222522.97,3.63
1664483.06,27.18,1.6,222194.06,3.63
1665154.02,27.19,1.62,222430.87,3.63
1668131.07,27.24,1.66,225059.01,3.67
1669983.53,27.27,1.69,226762.98,3.7
1670138.09,27.28,1.7,226444.53,3.7
1670175.53,27.28,1.7,226325.28,3.7
1671337.22,27.3,1.73,227327.55,3.71
1671491.77,27.31,1.73,227009.1,3.71
1671646.33,27.31,1.74,226690.66,3.7
1672810.7,27.34,1.76,227662.8,3.72
1672978.29,27.34,1.77,227307.18,3.72
1673145.89,27.35,1.78,226951.56,3.71
1674204.05,27.37,1.8,227689.51,3.72
1673657.02,27.36,1.79,227147.76,3.71
1673811.58,27.37,1.8,226818.85,3.71
1673679.78,27.37,1.8,226586.98,3.71
1673128.19,27.37,1.79,225995.65,3.7
1673295.78,27.37,1.8,225640.03,3.69
1673584.17,27.38,1.8,226692.91,3.71
1676272.83,27.42,1.85,228268.16,3.73
1676141.03,27.42,1.85,228036.3,3.73
1677199.2,27.44,1.86,228774.24,3.74
1676444.57,27.43,1.86,228019.62,3.73
1676899.81,27.44,1.87,228474.86,3.74
1679876.86,27.49,1.91,231102.99,3.78
1680031.41,27.5,1.92,230784.55,3.78
1679289.83,27.49,1.91,229992.75,3.76
1680216.97,27.5,1.93,230876.16,3.78
1680506.88,27.51,1.93,231607.77,3.79
1680661.44,27.52,1.94,231278.86,3.79
1681719.61,27.53,1.96,232016.81,3.8
1681887.2,27.54,1.97,231661.19,3.79
1682175.59,27.55,1.97,232714.07,3.81
1684864.25,27.59,2.02,234289.32,3.84
1685535.21,27.6,2.03,234526.13,3.84
1686215.66,27.62,2.04,234772.95,3.84
1686383.26,27.62,2.05,234417.32,3.84
1687796.23,27.65,2.07,235307.08,3.85
1688084.62,27.65,2.08,236359.96,3.87
1688761.02,27.66,2.09,236782.25,3.88
1688099.22,27.66,2.08,236165.58,3.87
1688253.77,27.66,2.09,235847.13,3.86
1687512.19,27.65,2.08,235055.33,3.85
1686850.39,27.65,2.07,234293.46,3.84
1686854.06,27.65,2.08,234925.19,3.85
1686857.74,27.66,2.08,235556.91,3.86
1687831.11,27.68,2.1,235553.32,3.86
1688119.5,27.68,2.11,236606.2,3.88
1687457.7,27.68,2.1,235844.34,3.87
1687664.09,27.68,2.11,235796.62,3.87
1687667.77,27.69,2.11,236428.35,3.88
1688167.78,27.7,2.12,236399.84,3.88
1687620.74,27.69,2.12,235858.1,3.87
1687073.71,27.69,2.11,235316.35,3.86
1689762.36,27.73,2.16,236891.61,3.89
1690100.56,27.74,2.16,237129.74,3.89
1689553.53,27.73,2.16,236588.0,3.88
1689241.73,27.73,2.16,236176.13,3.88
1688487.1,27.72,2.15,235421.5,3.87
1689990.47,27.75,2.17,235947.92,3.87
1690145.03,27.76,2.18,235619.0,3.87
1690558.0,27.77,2.19,235508.76,3.87
1693246.65,27.81,2.24,237084.01,3.89
1693506.07,27.82,2.24,239543.31,3.93
1692954.48,27.81,2.24,238951.98,3.93
1692416.27,27.8,2.23,238413.76,3.92
1693389.64,27.83,2.25,238410.18,3.92
