ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
159,346,179300,6212,179300
160,348,180300,6212,180300
160,348,181110,6212,181110
160,348,181430,6212,181430
161,352,181430,6212,181430
161,352,181430,6212,181430
162,356,182430,6212,182430
162,356,183430,6212,183430
162,356,183650,6212,183650
163,360,183650,6212,183650
163,360,184460,6212,184460
163,360,185460,6212,185460
164,362,186460,6212,186460
164,362,187270,6212,187270
164,362,187740,6212,187740
164,362,188550,6212,188550
164,362,188550,6212,188550
164,362,189550,6212,189550
164,362,189820,6212,189820
165,366,190470,6212,190470
166,368,191280,6212,191280
166,368,192090,6212,192090
166,368,192560,6212,192560
166,368,193020,6212,193020
166,368,194020,6212,194020
166,368,194340,6212,194340
167,372,194810,6212,194810
167,372,195620,6212,195620
167,372,196430,6212,196430
167,372,197430,6212,197430
168,374,198430,6212,198430
168,374,199240,6212,199240
168,374,200240,6212,200240
168,374,201050,6212,201050
169,376,202050,6212,202050
169,376,203050,6212,203050
169,376,203050,6212,203050
169,376,203050,6212,203050
170,378,203860,6212,203860
170,378,204330,6212,204330
171,380,205140,6212,205140
171,380,205950,6212,205950
171,380,206320,6212,206320
172,382,206970,6212,206970
172,382,206970,6212,206970
172,382,207970,6212,207970
172,382,207970,6212,207970
172,382,208780,6212,208780
173,384,209780,6212,209780
173,384,210780,6212,210780
174,385,211590,6212,211590
175,387,212400,6212,212400
175,387,212870,6212,212870
175,387,212870,6212,212870
175,387,212870,6212,212870
175,387,213680,6212,213680
176,389,214680,6212,214680
176,389,215000,6212,215000
176,389,215320,6212,215320
