ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1670685.94,27.71,2.13,215213.64,3.57
1670685.94,27.71,2.13,215141.45,3.57
1672189.31,27.73,2.16,216822.38,3.6
1672406.84,27.74,2.16,216441.57,3.59
1673150.24,27.75,2.18,217326.73,3.61
1672922.58,27.76,2.18,217223.4,3.6
1673610.45,27.77,2.2,217438.04,3.61
1672965.26,27.77,2.19,216589.85,3.59
1672965.26,27.77,2.19,216687.86,3.6
1672965.26,27.77,2.19,216633.2,3.6
1672709.52,27.77,2.19,216829.2,3.6
1672747.29,27.77,2.19,216843.61,3.6
1672747.29,27.77,2.19,216801.72,3.6
1672642.64,27.77,2.19,216763.14,3.6
1672386.9,27.77,2.2,216733.39,3.6
1672131.16,27.77,2.2,216733.39,3.6
1671875.42,27.77,2.2,216670.67,3.6
1671619.68,27.77,2.2,216661.76,3.6
1671164.48,27.77,2.19,216003.56,3.59
1670936.83,27.77,2.19,215402.34,3.58
1671465.13,27.78,2.21,216331.43,3.6
1670819.93,27.77,2.2,215483.23,3.58
1670564.19,27.77,2.2,215420.49,3.58
1670564.19,27.77,2.2,215420.49,3.58
1670267.4,27.77,2.2,215098.45,3.58
1670267.4,27.77,2.2,215098.45,3.58
1670011.66,27.77,2.2,215089.56,3.58
1669755.92,27.77,2.2,215077.52,3.58
1669500.18,27.77,2.2,215017.93,3.58
1669244.45,27.77,2.2,214840.38,3.57
1669337.03,27.78,2.2,214746.89,3.57
1669337.03,27.78,2.2,214746.89,3.57
1669337.03,27.78,2.2,214746.89,3.57
1668881.83,27.77,2.2,214088.7,3.56
1668881.83,27.77,2.2,214088.7,3.56
1669008.87,27.78,2.21,214997.33,3.58
1668543.3,27.78,2.2,214419.3,3.57
1668088.1,27.77,2.2,213761.11,3.56
1667832.36,27.77,2.2,213546.98,3.56
1668038.76,27.78,2.2,213377.26,3.55
1667393.56,27.77,2.2,212529.07,3.54
1666938.37,27.77,2.19,211870.87,3.53
1666682.63,27.77,2.19,212158.29,3.53
1666436.25,27.77,2.2,211918.01,3.53
1666360.01,27.77,2.2,211789.56,3.53
1666104.27,27.77,2.2,211672.55,3.53
1666104.27,27.77,2.2,211672.55,3.53
1665649.07,27.77,2.19,211014.36,3.52
1665165.9,27.76,2.19,210203.57,3.5
1665452.25,27.77,2.2,210050.06,3.5
1665234.29,27.77,2.2,210788.49,3.52
1665029.96,27.77,2.2,210498.56,3.51
1664708.68,27.77,2.2,210177.29,3.51
1664452.94,27.77,2.2,210060.27,3.5
1664215.92,27.77,2.2,209879.11,3.5
1664342.96,27.78,2.2,210480.41,3.51
1664087.22,27.78,2.2,210363.4,3.51
1663831.48,27.78,2.2,210163.51,3.51
1661785.57,27.78,2.21,209806.0,3.51
1661786.71,27.78,2.21,209838.14,3.51
1661129.48,27.77,2.2,209081.72,3.5
1661129.48,27.77,2.2,209081.72,3.5
1660960.21,27.78,2.2,209403.12,3.5
1660704.48,27.78,2.2,209375.72,3.5
1660855.58,27.78,2.21,211397.72,3.54
1660855.58,27.78,2.21,211397.72,3.54
1660702.22,27.78,2.21,211128.78,3.53
1660815.55,27.78,2.21,211020.82,3.53
1660815.55,27.78,2.21,211020.82,3.53
1661418.18,27.8,2.22,212513.69,3.56
1660962.98,27.79,2.22,211855.5,3.55
1660964.13,27.79,2.22,211856.64,3.55
1662053.94,27.82,2.24,211645.21,3.54
1661760.77,27.82,2.24,211024.42,3.53
1661277.6,27.81,2.24,210213.63,3.52
1660822.4,27.81,2.23,209555.44,3.51
1660566.66,27.81,2.23,209528.03,3.51
1660774.83,27.81,2.24,209298.36,3.51
1660300.15,27.82,2.24,209616.07,3.51
1660451.25,27.82,2.24,211638.08,3.55
1662567.59,27.85,2.28,212825.35,3.57
1662112.39,27.85,2.28,212167.16,3.55
1662301.84,27.85,2.28,212239.51,3.56
1662250.07,27.85,2.28,212455.63,3.56
1661994.33,27.86,2.28,212454.87,3.56
1661539.13,27.85,2.28,211796.68,3.55
1661283.39,27.85,2.28,211752.91,3.55
1661283.39,27.85,2.28,211800.8,3.55
1661283.39,27.85,2.28,211779.78,3.55
1661080.98,27.85,2.28,211578.88,3.55
1661154.85,27.85,2.28,211892.48,3.55
1660899.11,27.85,2.28,211848.71,3.55
1660443.91,27.85,2.28,211190.51,3.54
1660633.36,27.86,2.28,211611.11,3.55
1660633.36,27.86,2.28,211577.65,3.55
1660377.62,27.86,2.28,211533.88,3.55
1660377.62,27.86,2.28,211511.02,3.55
1660404.21,27.86,2.28,211606.12,3.55
1660148.47,27.86,2.28,211606.12,3.55
1660148.47,27.86,2.28,211555.47,3.55
1660148.47,27.86,2.28,211641.22,3.55
1659892.73,27.86,2.28,211654.82,3.55
1659436.3,27.85,2.28,211198.39,3.55
1659136.7,27.85,2.28,210902.54,3.54
1658681.5,27.85,2.27,210244.35,3.53
1658425.76,27.85,2.27,210186.99,3.53
1658170.02,27.85,2.27,210143.22,3.53
1657914.28,27.85,2.27,210143.22,3.53
1657658.55,27.85,2.27,210156.81,3.53
1657402.81,27.85,2.27,210099.45,3.53
1657402.81,27.85,2.27,210099.45,3.53
1657402.81,27.85,2.27,210099.45,3.53
1657017.62,27.84,2.27,209738.86,3.52
1656562.42,27.84,2.27,209080.66,3.51
1656306.68,27.84,2.27,209036.89,3.51
1656321.28,27.85,2.27,208997.4,3.51
1656395.14,27.85,2.28,209311.04,3.52
1656139.4,27.85,2.28,209368.4,3.52
1656139.4,27.85,2.28,209368.4,3.52
1655839.8,27.85,2.27,209084.76,3.52
1655584.06,27.85,2.27,208983.63,3.52
1655584.06,27.85,2.27,208983.63,3.52
1655348.86,27.85,2.27,208545.44,3.51
1655093.13,27.85,2.27,208553.36,3.51
1654639.25,27.84,2.27,208207.15,3.5
1654640.39,27.84,2.27,208208.34,3.5
1654640.39,27.84,2.27,208208.34,3.5
1654640.39,27.84,2.27,208208.34,3.5
1654157.22,27.84,2.27,207725.17,3.5
1654157.22,27.84,2.27,207725.17,3.5
1653932.45,27.84,2.27,207500.41,3.49
1651886.54,27.84,2.27,207434.47,3.5
1652076.0,27.85,2.28,207692.43,3.5
1651820.26,27.85,2.28,207648.66,3.5
1651564.52,27.85,2.28,207648.66,3.5
1651179.33,27.85,2.27,207399.01,3.5
1651179.33,27.85,2.27,207399.01,3.5
1650923.59,27.85,2.27,207412.6,3.5
1650667.85,27.85,2.27,207355.24,3.5
1650412.11,27.85,2.27,207368.83,3.5
1649900.63,27.85,2.27,207325.06,3.5
1649445.44,27.84,2.27,206666.87,3.49
1649189.7,27.84,2.27,206609.51,3.49
1648933.96,27.84,2.27,206623.1,3.49
1648478.76,27.84,2.27,205964.9,3.48
1648478.76,27.84,2.27,205964.9,3.48
1648223.02,27.84,2.27,205907.54,3.48
1647967.28,27.84,2.27,205863.77,3.48
1647967.28,27.84,2.27,205863.77,3.48
1647711.55,27.84,2.27,205863.77,3.48
1647256.35,27.84,2.26,205205.58,3.47
1647256.35,27.84,2.26,205205.58,3.47
1647256.35,27.84,2.26,205205.58,3.47
1647330.21,27.84,2.27,205227.26,3.47
1647052.42,27.84,2.27,204949.46,3.46
1646702.97,27.84,2.27,204613.53,3.46
1646892.42,27.84,2.27,205283.78,3.47
1646636.68,27.85,2.27,205240.01,3.47
1646636.68,27.85,2.27,205240.01,3.47
1646380.94,27.85,2.27,205240.01,3.47
1646125.2,27.85,2.27,205196.24,3.47
1646125.2,27.85,2.27,205196.24,3.47
1645869.47,27.85,2.27,205196.24,3.47
1645869.47,27.85,2.27,205196.24,3.47
1645224.27,27.84,2.27,204348.05,3.46
1645298.13,27.84,2.27,204369.73,3.46
1645042.39,27.84,2.27,204618.41,3.46
1644722.39,27.84,2.27,204298.41,3.46
