ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
191,468,364240,6212,364240
191,468,365240,6212,365240
191,468,365240,6212,365240
191,468,365240,6212,365240
192,470,366240,6212,366240
192,470,366470,6212,366470
192,470,367470,6212,367470
193,472,368470,6212,368470
193,472,369280,6212,369280
194,474,369930,6212,369930
194,474,369930,6212,369930
194,474,370930,6212,370930
195,476,371930,6212,371930
195,476,372390,6212,372390
196,478,373200,6212,373200
197,486,374200,6212,374200
197,486,375200,6212,375200
198,488,376200,6212,376200
198,488,377200,6212,377200
198,488,378010,6212,378010
198,488,378010,6212,378010
199,490,379010,6212,379010
199,490,380010,6212,380010
199,490,381010,6212,381010
199,490,381480,6212,381480
199,490,382480,6212,382480
199,490,383480,6212,383480
199,490,383480,6212,383480
199,490,384480,6212,384480
200,492,385290,6212,385290
200,492,385520,6212,385520
200,492,386520,6212,386520
200,492,387520,6212,387520
201,494,388520,6212,388520
201,494,389520,6212,389520
201,494,389990,6212,389990
202,496,390990,6212,390990
202,496,391990,6212,391990
203,498,392990,6212,392990
203,498,393990,6212,393990
204,500,394800,6212,394800
205,502,395800,6212,395800
205,502,396800,6212,396800
206,504,397800,6212,397800
206,504,398030,6212,398030
206,504,398030,6212,398030
206,504,399030,6212,399030
206,504,399840,6212,399840
207,506,400840,6212,400840
207,506,401840,6212,401840
208,508,402160,6212,402160
209,510,403160,6212,403160
209,510,403160,6212,403160
209,510,404160,6212,404160
209,510,404970,6212,404970
209,510,405520,6212,405520
209,510,405520,6212,405520
209,510,405680,6212,405680
209,510,406000,6212,406000
210,512,406810,6212,406810
210,512,407280,6212,407280
211,514,408280,6212,408280
212,516,409090,6212,409090
212,516,409560,6212,409560
213,518,410020,6212,410020
213,518,411020,6212,411020
214,520,412020,6212,412020
214,520,413020,6212,413020
214,520,413240,6212,413240
214,520,413240,6212,413240
215,524,414240,6212,414240
216,532,422240,6212,422240
216,532,423240,6212,423240
216,532,424050,6212,424050
216,532,424050,6212,424050
216,532,425050,6212,425050
217,534,426050,6212,426050
217,534,426270,6212,426270
218,536,426920,6212,426920
218,536,427920,6212,427920
219,544,428920,6212,428920
219,544,429920,6212,429920
219,544,430570,6212,430570
220,546,431380,6212,431380
220,546,432380,6212,432380
220,546,433030,6212,433030
220,546,433500,6212,433500
220,546,433500,6212,433500
221,548,434310,6212,434310
221,548,434780,6212,434780
221,548,435250,6212,435250
222,550,435720,6212,435720
223,552,436190,6212,436190
223,552,437000,6212,437000
223,552,438000,6212,438000
223,552,438320,6212,438320
223,552,439320,6212,439320
223,552,440130,6212,440130
223,552,440600,6212,440600
223,552,441600,6212,441600
223,552,441920,6212,441920
224,554,442730,6212,442730
224,554,442890,6212,442890
224,554,443890,6212,443890
225,556,444540,6212,444540
225,556,444540,6212,444540
225,556,445540,6212,445540
225,556,446010,6212,446010
226,558,447010,6212,447010
226,558,447330,6212,447330
226,558,448330,6212,448330
227,560,449330,6212,449330
227,560,449700,6212,449700
228,562,450700,6212,450700
229,570,451700,6212,451700
229,570,452700,6212,452700
230,572,453700,6212,453700
230,572,454700,6212,454700
230,572,455700,6212,455700
230,572,456700,6212,456700
230,572,456700,6212,456700
230,572,456700,6212,456700
230,572,456930,6212,456930
230,572,457930,6212,457930
230,572,457930,6212,457930
231,574,458250,6212,458250
231,574,458720,6212,458720
232,576,459720,6212,459720
232,576,460720,6212,460720
232,576,461720,6212,461720
232,576,462530,6212,462530
233,578,463340,6212,463340
233,578,463820,6212,463820
234,582,464820,6212,464820
235,586,465820,6212,465820
235,586,466820,6212,466820
235,586,466820,6212,466820
235,586,467820,6212,467820
236,588,468820,6212,468820
236,588,469630,6212,469630
236,588,470630,6212,470630
237,590,471100,6212,471100
238,592,472100,6212,472100
238,592,472910,6212,472910
239,594,473720,6212,473720
239,594,474720,6212,474720
239,594,475720,6212,475720
239,594,476720,6212,476720
239,594,477530,6212,477530
239,594,477760,6212,477760
239,594,478760,6212,478760
239,594,478760,6212,478760
239,594,479760,6212,479760
240,596,479980,6212,479980
240,596,480450,6212,480450
240,596,481260,6212,481260
241,600,482260,6212,482260
242,608,483260,6212,483260
242,608,484260,6212,484260
243,610,485070,6212,485070
243,610,485660,6212,485660
243,610,486660,6212,486660
244,618,494660,6212,494660
244,618,495210,6212,495210
245,620,496020,6212,496020
245,620,496020,6212,496020
245,620,497020,6212,497020
246,622,498020,6212,498020
246,622,498020,6212,498020
246,622,499020,6212,499020
246,622,500020,6212,500020
246,622,500250,6212,500250
247,630,501250,6212,501250
247,630,501410,6212,501410
247,630,502410,6212,502410
247,630,503410,6212,503410
248,632,504410,6212,504410
248,632,504880,6212,504880
248,632,505350,6212,505350
249,634,505820,6212,505820
249,634,506820,6212,506820
250,636,507630,6212,507630
250,636,508630,6212,508630
250,636,509630,6212,509630
250,636,509950,6212,509950
250,636,510760,6212,510760
250,636,511080,6212,511080
250,636,511550,6212,511550
251,638,512360,6212,512360
251,638,512830,6212,512830
251,638,513830,6212,513830
252,640,514300,6212,514300
252,640,514300,6212,514300
252,640,514620,6212,514620
252,640,515620,6212,515620
253,642,516620,6212,516620
253,642,517430,6212,517430
254,644,518430,6212,518430
255,646,518900,6212,518900
255,646,519220,6212,519220
255,646,519690,6212,519690
256,648,520500,6212,520500
256,648,520970,6212,520970
256,648,521970,6212,521970
257,650,522970,6212,522970
257,650,523970,6212,523970
257,650,523970,6212,523970
257,650,524620,6212,524620
257,650,525620,6212,525620
258,652,526430,6212,526430
258,652,526430,6212,526430
258,652,527240,6212,527240
258,652,528240,6212,528240
259,654,529240,6212,529240
260,656,529710,6212,529710
260,656,529710,6212,529710
260,656,529710,6212,529710
261,660,530710,6212,530710
261,660,531710,6212,531710
261,660,532710,6212,532710
261,660,533710,6212,533710
261,660,534710,6212,534710
261,660,535030,6212,535030
262,668,536030,6212,536030
262,668,537030,6212,537030
262,668,537030,6212,537030
262,668,537030,6212,537030
263,672,538030,6212,538030
263,672,539030,6212,539030
263,672,539500,6212,539500
263,672,540500,6212,540500
263,672,540500,6212,540500
263,672,541150,6212,541150
264,674,542150,6212,542150
265,676,542620,6212,542620
265,676,542620,6212,542620
265,676,542730,6212,542730
265,676,543200,6212,543200
265,676,544200,6212,544200
265,676,544200,6212,544200
265,676,545200,6212,545200
265,676,546200,6212,546200
266,678,547200,6212,547200
266,678,548200,6212,548200
266,678,549200,6212,549200
267,680,550200,6212,550200
267,680,551200,6212,551200
267,680,551430,6212,551430
267,680,552430,6212,552430
267,680,553430,6212,553430
267,680,554240,6212,554240
267,680,555240,6212,555240
267,680,556240,6212,556240
268,682,556700,6212,556700
268,682,557700,6212,557700
268,682,558160,6212,558160
268,682,559160,6212,559160
269,684,559970,6212,559970
269,684,559970,6212,559970
269,684,560970,6212,560970
269,684,561970,6212,561970
270,686,562970,6212,562970
270,686,563780,6212,563780
270,686,564370,6212,564370
271,688,564840,6212,564840
271,688,565840,6212,565840
272,696,569840,6212,569840
272,696,569840,6212,569840
272,696,570310,6212,570310
272,696,570310,6212,570310
273,698,570630,6212,570630
273,698,571440,6212,571440
274,700,572440,6212,572440
274,700,573440,6212,573440
274,700,573440,6212,573440
275,702,574440,6212,574440
275,702,574670,6212,574670
275,702,575670,6212,575670
276,704,576670,6212,576670
276,704,577670,6212,577670
276,704,577670,6212,577670
277,706,578670,6212,578670
278,708,579140,6212,579140
279,710,579790,6212,579790
279,710,580790,6212,580790
280,718,581790,6212,581790
280,718,581790,6212,581790
280,718,582790,6212,582790
280,718,583260,6212,583260
280,718,583580,6212,583580
281,720,584390,6212,584390
281,720,585200,6212,585200
282,722,585670,6212,585670
282,722,586670,6212,586670
282,722,586670,6212,586670
283,726,587670,6212,587670
283,726,588670,6212,588670
284,728,589670,6212,589670
284,728,590670,6212,590670
284,728,590890,6212,590890
285,730,591890,6212,591890
285,730,592890,6212,592890
285,730,593890,6212,593890
285,730,594700,6212,594700
285,730,594700,6212,594700
285,730,595160,6212,595160
285,730,595380,6212,595380
285,730,596380,6212,596380
285,730,597380,6212,597380
285,730,597850,6212,597850
285,730,598850,6212,598850
285,730,599850,6212,599850
285,730,600850,6212,600850
286,738,608850,6212,608850
287,740,609170,6212,609170
287,740,609720,6212,609720
287,740,610720,6212,610720
287,740,610720,6212,610720
287,740,611720,6212,611720
287,740,612530,6212,612530
288,742,613000,6212,613000
288,742,613810,6212,613810
289,744,614810,6212,614810
289,744,615030,6212,615030
289,744,616030,6212,616030
289,744,616500,6212,616500
290,746,617310,6212,617310
290,746,618310,6212,618310
290,746,619120,6212,619120
290,746,619440,6212,619440
290,746,619440,6212,619440
291,748,620250,6212,620250
291,748,621060,6212,621060
291,748,621060,6212,621060
291,748,621060,6212,621060
292,750,621870,6212,621870
293,758,622870,6212,622870
293,758,623680,6212,623680
294,760,624000,6212,624000
294,760,624810,6212,624810
294,760,625810,6212,625810
295,762,626620,6212,626620
295,762,627620,6212,627620
295,762,628620,6212,628620
295,762,628940,6212,628940
295,762,629940,6212,629940
295,762,630400,6212,630400
295,762,631400,6212,631400
296,764,632210,6212,632210
297,766,633210,6212,633210
297,766,634210,6212,634210
297,766,635210,6212,635210
297,766,635210,6212,635210
297,766,636020,6212,636020
297,766,637020,6212,637020
297,766,637020,6212,637020
298,768,638020,6212,638020
299,770,638830,6212,638830
299,770,639830,6212,639830
300,772,640830,6212,640830
301,780,641830,6212,641830
301,780,642640,6212,642640
302,782,643450,6212,643450
302,782,643670,6212,643670
303,786,644670,6212,644670
303,786,645130,6212,645130
303,786,645940,6212,645940
303,786,646940,6212,646940
303,786,647940,6212,647940
304,790,648940,6212,648940
304,790,649940,6212,649940
304,790,650940,6212,650940
305,792,651940,6212,651940
305,792,651940,6212,651940
305,792,651940,6212,651940
305,792,652940,6212,652940
305,792,653940,6212,653940
306,794,654940,6212,654940
306,794,655940,6212,655940
306,794,656940,6212,656940
306,794,656940,6212,656940
306,794,656940,6212,656940
307,796,657940,6212,657940
308,798,658750,6212,658750
308,798,659750,6212,659750
308,798,660560,6212,660560
308,798,660560,6212,660560
308,798,661560,6212,661560
308,798,662560,6212,662560
308,798,663560,6212,663560
308,798,664560,6212,664560
308,798,664560,6212,664560
308,798,665560,6212,665560
309,800,666370,6212,666370
309,800,667370,6212,667370
309,800,668370,6212,668370
310,802,669370,6212,669370
310,802,670370,6212,670370
310,802,671370,6212,671370
310,802,672020,6212,672020
311,810,673020,6212,673020
311,810,674020,6212,674020
311,810,675020,6212,675020
312,812,675830,6212,675830
312,812,676830,6212,676830
312,812,677150,6212,677150
312,812,678150,6212,678150
312,812,679150,6212,679150
312,812,680150,6212,680150
312,812,680150,6212,680150
313,814,681150,6212,681150
313,814,682150,6212,682150
314,822,683150,6212,683150
314,822,684150,6212,684150
314,822,685150,6212,685150
314,822,685960,6212,685960
314,822,685960,6212,685960
315,830,685960,6212,685960
315,830,686960,6212,686960
316,832,687610,6212,687610
316,832,688610,6212,688610
317,834,689610,6212,689610
317,834,690200,6212,690200
317,834,690200,6212,690200
317,834,690430,6212,690430
317,834,691430,6212,691430
318,836,691890,6212,691890
318,836,692890,6212,692890
318,836,692890,6212,692890
