ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1785321.11,29.24,0.69,222706.98,3.65
1785022.99,29.24,0.69,222680.91,3.65
1785614.21,29.25,0.7,222991.46,3.65
1784961.01,29.24,0.7,222443.75,3.64
1784662.88,29.24,0.7,222483.96,3.65
1784121.81,29.24,0.69,221979.61,3.64
1783823.68,29.24,0.69,221933.37,3.64
1783529.08,29.23,0.69,221722.72,3.63
1783316.89,29.23,0.69,221598.33,3.63
1783021.09,29.23,0.69,221716.95,3.64
1782722.18,29.23,0.69,221674.98,3.63
1782585.08,29.23,0.69,221495.38,3.63
1782286.95,29.23,0.69,221406.97,3.63
1781799.66,29.23,0.68,220876.92,3.62
1781499.98,29.23,0.68,220871.62,3.62
1781176.42,29.23,0.68,220881.35,3.62
1780891.17,29.22,0.68,220561.23,3.62
1780622.99,29.22,0.68,220546.75,3.62
1780328.39,29.22,0.68,220336.36,3.62
1780030.26,29.22,0.68,220322.67,3.62
1780337.61,29.23,0.68,220262.76,3.62
1780337.61,29.23,0.68,220309.61,3.62
1780370.28,29.23,0.69,220597.31,3.62
1780370.28,29.23,0.69,220588.03,3.62
1780072.15,29.23,0.69,220636.7,3.62
1779774.02,29.23,0.69,220601.72,3.62
1779744.94,29.24,0.69,221291.16,3.64
1779449.14,29.24,0.69,221266.65,3.64
1779449.14,29.24,0.69,221237.68,3.63
1779150.23,29.24,0.69,221516.66,3.64
1778835.14,29.23,0.69,221158.21,3.63
1778347.85,29.23,0.68,220628.16,3.63
1778058.63,29.23,0.68,220388.56,3.62
1778480.87,29.24,0.69,220510.24,3.63
1778480.87,29.24,0.69,220541.58,3.63
1778480.87,29.24,0.69,220519.61,3.63
1778261.3,29.24,0.69,220316.02,3.62
1778199.2,29.24,0.69,220310.53,3.62
1778161.67,29.24,0.69,220222.34,3.62
1777774.7,29.24,0.69,219659.94,3.61
1777559.2,29.24,0.69,219596.68,3.61
1777003.77,29.23,0.69,219148.52,3.61
1777004.17,29.23,0.69,219174.57,3.61
1777004.17,29.23,0.69,219174.57,3.61
1776787.12,29.23,0.69,219169.02,3.61
1776759.59,29.24,0.69,219106.52,3.61
1776759.59,29.24,0.69,219084.54,3.61
1776759.59,29.24,0.69,219109.65,3.61
1776730.51,29.24,0.69,219471.47,3.61
1776452.13,29.24,0.69,219201.26,3.61
1776236.64,29.24,0.69,219138.19,3.61
1776019.59,29.24,0.69,219132.45,3.61
1775711.01,29.24,0.69,219079.51,3.61
1775820.11,29.24,0.69,219075.49,3.61
1775496.55,29.24,0.69,219040.09,3.61
1775390.66,29.25,0.69,218603.7,3.6
1775392.61,29.25,0.69,218606.79,3.6
1775177.12,29.25,0.69,218543.28,3.6
1774960.07,29.25,0.69,218537.99,3.6
1774744.58,29.25,0.69,218474.92,3.6
1774557.09,29.25,0.69,218364.37,3.6
1774842.42,29.26,0.7,219116.5,3.61
1774498.33,29.25,0.7,218699.16,3.61
1774281.29,29.25,0.7,218693.42,3.61
1774497.73,29.26,0.7,218764.38,3.61
