ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
105,260,196700,6212,196700
105,260,197170,6212,197170
105,260,198170,6212,198170
106,262,199170,6212,199170
107,264,199980,6212,199980
108,266,200980,6212,200980
108,266,201980,6212,201980
108,266,202450,6212,202450
108,266,203450,6212,203450
108,266,204260,6212,204260
109,274,205260,6212,205260
110,276,205730,6212,205730
110,276,205730,6212,205730
110,276,206540,6212,206540
111,278,207350,6212,207350
111,278,207350,6212,207350
111,278,208350,6212,208350
111,278,209350,6212,209350
111,278,209580,6212,209580
112,280,211580,6212,211580
112,280,211580,6212,211580
112,280,212390,6212,212390
112,280,212390,6212,212390
112,280,213390,6212,213390
112,280,214390,6212,214390
113,282,215200,6212,215200
113,282,216200,6212,216200
114,284,217200,6212,217200
114,284,218200,6212,218200
114,284,219010,6212,219010
114,284,219330,6212,219330
115,286,220140,6212,220140
116,288,221140,6212,221140
117,290,222140,6212,222140
117,290,222140,6212,222140
117,290,223140,6212,223140
117,290,223790,6212,223790
117,290,223790,6212,223790
118,292,224790,6212,224790
119,294,226790,6212,226790
119,294,227020,6212,227020
120,296,227490,6212,227490
120,296,228490,6212,228490
121,298,229300,6212,229300
122,300,230300,6212,230300
122,300,231300,6212,231300
123,302,232300,6212,232300
123,302,233110,6212,233110
123,302,233110,6212,233110
123,302,233920,6212,233920
124,304,234510,6212,234510
124,304,234830,6212,234830
124,304,235830,6212,235830
124,304,235830,6212,235830
125,312,235830,6212,235830
125,312,236300,6212,236300
126,314,237110,6212,237110
126,314,237110,6212,237110
126,314,238110,6212,238110
126,314,238340,6212,238340
127,316,239340,6212,239340
127,316,240340,6212,240340
128,318,241340,6212,241340
128,318,241340,6212,241340
128,318,241660,6212,241660
