ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
841629.65,13.96,0.62,320025.98,5.31
841481.18,13.96,0.62,319999.44,5.31
841481.18,13.96,0.62,319999.44,5.31
841332.71,13.96,0.62,319897.83,5.31
841184.24,13.96,0.61,319855.17,5.31
841224.47,13.96,0.62,319933.03,5.31
841224.47,13.96,0.62,319933.03,5.31
841076.0,13.96,0.62,319819.92,5.31
840927.53,13.96,0.62,319804.89,5.31
840779.06,13.96,0.62,319762.23,5.31
840405.23,13.96,0.61,319459.12,5.3
840405.23,13.96,0.61,319459.12,5.3
840256.76,13.96,0.61,319373.63,5.3
839189.28,13.96,0.61,319253.52,5.31
839040.81,13.96,0.61,319140.41,5.31
838892.34,13.96,0.61,319125.37,5.31
838932.57,13.96,0.61,319205.49,5.31
838932.57,13.96,0.61,319205.49,5.31
838640.78,13.95,0.61,318912.22,5.31
838492.3,13.95,0.61,318889.1,5.31
838343.83,13.95,0.61,318862.57,5.31
838195.36,13.95,0.61,318760.96,5.31
838046.89,13.95,0.61,318734.42,5.31
837888.19,13.95,0.61,318575.72,5.3
837748.44,13.95,0.61,317858.95,5.29
837878.82,13.95,0.61,318003.33,5.3
837730.35,13.95,0.61,317901.72,5.3
836662.87,13.96,0.61,317683.94,5.3
836514.4,13.96,0.61,317657.41,5.3
836514.4,13.96,0.61,317657.41,5.3
836365.93,13.96,0.61,317555.8,5.3
836406.16,13.96,0.61,317000.25,5.29
836446.4,13.96,0.62,316718.64,5.29
836446.4,13.96,0.62,316718.64,5.29
836297.93,13.96,0.62,316646.19,5.29
836160.07,13.96,0.62,316498.99,5.28
836160.07,13.96,0.62,316498.99,5.28
836418.69,13.97,0.62,317215.34,5.3
836270.21,13.97,0.62,317159.64,5.3
836121.74,13.97,0.62,317087.19,5.3
835981.99,13.97,0.62,316458.82,5.29
835981.99,13.97,0.62,316458.82,5.29
835731.8,13.96,0.62,316126.15,5.28
835592.05,13.96,0.62,315409.39,5.27
835341.86,13.96,0.62,315165.11,5.27
835193.39,13.96,0.62,315109.42,5.27
835044.92,13.96,0.62,315082.88,5.27
834896.45,13.96,0.62,314981.27,5.27
835189.99,13.97,0.62,314943.52,5.27
835041.52,13.97,0.62,315295.76,5.27
835041.52,13.97,0.62,315295.76,5.27
