ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
286,664,451140,6212,451140
287,666,452140,6212,452140
287,666,452950,6212,452950
288,668,453760,6212,453760
288,668,454080,6212,454080
288,668,454890,6212,454890
289,670,455700,6212,455700
290,672,456700,6212,456700
290,672,457170,6212,457170
291,680,457170,6212,457170
291,680,457170,6212,457170
291,680,457170,6212,457170
291,680,457760,6212,457760
291,680,458570,6212,458570
292,682,459040,6212,459040
292,682,460040,6212,460040
293,684,460850,6212,460850
293,684,461660,6212,461660
294,686,462310,6212,462310
294,686,462310,6212,462310
294,686,462540,6212,462540
295,688,463190,6212,463190
295,688,464190,6212,464190
296,690,465000,6212,465000
296,690,465810,6212,465810
297,692,466810,6212,466810
297,692,467280,6212,467280
297,692,468090,6212,468090
298,694,469090,6212,469090
298,694,469090,6212,469090
298,694,469090,6212,469090
298,694,469740,6212,469740
299,696,470210,6212,470210
300,698,470680,6212,470680
300,698,471490,6212,471490
300,698,471810,6212,471810
300,698,471810,6212,471810
300,698,472130,6212,472130
300,698,473130,6212,473130
300,698,473450,6212,473450
301,700,474260,6212,474260
301,700,474730,6212,474730
301,700,475730,6212,475730
302,702,476540,6212,476540
302,702,477010,6212,477010
303,704,477820,6212,477820
303,704,478630,6212,478630
303,704,479100,6212,479100
304,706,479910,6212,479910
304,706,480140,6212,480140
305,708,480950,6212,480950
305,708,481760,6212,481760
305,708,482230,6212,482230
305,708,482460,6212,482460
306,710,482930,6212,482930
306,710,483400,6212,483400
306,710,483990,6212,483990
306,710,484220,6212,484220
307,712,484690,6212,484690
307,712,485500,6212,485500
307,712,485730,6212,485730
308,714,486730,6212,486730
308,714,487540,6212,487540
309,716,488010,6212,488010
309,716,488490,6212,488490
309,716,488490,6212,488490
310,718,489140,6212,489140
310,718,489950,6212,489950
310,718,490760,6212,490760
311,720,491230,6212,491230
311,720,492230,6212,492230
312,722,493040,6212,493040
313,730,493040,6212,493040
313,730,493590,6212,493590
314,732,494400,6212,494400
314,732,495210,6212,495210
315,734,496020,6212,496020
315,734,496830,6212,496830
316,736,497640,6212,497640
316,736,498290,6212,498290
317,738,498880,6212,498880
317,738,498880,6212,498880
317,738,499350,6212,499350
317,738,499350,6212,499350
317,738,500160,6212,500160
317,738,500480,6212,500480
318,740,501290,6212,501290
318,740,501610,6212,501610
318,740,502200,6212,502200
318,740,502520,6212,502520
319,742,503520,6212,503520
319,742,504330,6212,504330
319,742,504330,6212,504330
319,742,504560,6212,504560
320,744,505030,6212,505030
320,744,505580,6212,505580
321,746,506230,6212,506230
321,746,507040,6212,507040
321,746,507360,6212,507360
322,748,508010,6212,508010
322,748,508820,6212,508820
323,750,509630,6212,509630
323,750,510440,6212,510440
323,750,510440,6212,510440
324,758,510440,6212,510440
324,758,510660,6212,510660
324,758,511130,6212,511130
325,760,511940,6212,511940
325,760,512260,6212,512260
325,760,512580,6212,512580
325,760,512810,6212,512810
325,760,513620,6212,513620
326,762,514430,6212,514430
327,764,514890,6212,514890
327,764,515210,6212,515210
327,764,515210,6212,515210
327,764,515680,6212,515680
327,764,516000,6212,516000
327,764,517000,6212,517000
328,766,517810,6212,517810
328,766,518620,6212,518620
329,768,519090,6212,519090
329,768,519090,6212,519090
330,770,519740,6212,519740
330,770,520740,6212,520740
330,770,521550,6212,521550
331,772,522360,6212,522360
331,772,522830,6212,522830
331,772,523150,6212,523150
