ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
907209.97,15.58,2.88,566013.27,9.72
907333.77,15.58,2.89,566086.27,9.72
907457.56,15.59,2.89,566071.67,9.72
907581.36,15.59,2.9,566144.68,9.73
907412.37,15.59,2.9,565947.07,9.72
907243.38,15.59,2.9,565839.88,9.72
907695.18,15.6,2.91,565866.97,9.73
907964.71,15.61,2.91,565891.27,9.73
908005.46,15.61,2.91,566169.15,9.73
908129.25,15.61,2.92,566216.85,9.73
908398.79,15.62,2.93,566241.15,9.73
908668.32,15.62,2.93,566266.92,9.74
908937.86,15.63,2.94,566291.23,9.74
909477.52,15.64,2.95,566274.09,9.74
909747.05,15.65,2.95,566299.86,9.74
909584.31,15.65,2.95,566561.22,9.75
908568.93,15.65,2.96,566077.75,9.75
908584.14,15.65,2.96,565604.89,9.74
908415.15,15.65,2.96,565412.54,9.74
908185.26,15.65,2.96,565204.61,9.74
908309.06,15.65,2.96,565223.0,9.74
908432.86,15.66,2.97,565216.51,9.74
908790.55,15.67,2.97,565033.06,9.74
908769.15,15.67,2.98,565112.05,9.74
908600.16,15.67,2.98,564914.45,9.74
908723.96,15.67,2.98,564875.27,9.74
907708.58,15.68,2.99,564417.31,9.75
907708.58,15.68,2.99,564344.07,9.75
908279.17,15.69,3.0,564351.11,9.75
908116.43,15.69,3.0,564096.72,9.75
908275.44,15.69,3.0,564069.77,9.75
908295.22,15.7,3.0,564065.03,9.75
908153.51,15.7,3.0,564424.78,9.76
908277.31,15.7,3.01,564456.97,9.76
908108.32,15.7,3.01,564264.61,9.76
908128.09,15.7,3.01,564259.87,9.76
908251.89,15.71,3.02,564292.06,9.76
908267.1,15.71,3.02,563819.21,9.75
908104.36,15.71,3.02,563589.49,9.75
908607.97,15.72,3.03,564221.37,9.76
908500.76,15.72,3.03,564036.18,9.76
908331.77,15.72,3.03,563843.82,9.76
908351.54,15.73,3.03,563839.08,9.76
908656.77,15.73,3.04,563586.9,9.76
908969.34,15.74,3.05,563687.12,9.76
907953.95,15.74,3.05,563203.65,9.77
908516.28,15.75,3.06,563291.5,9.77
908322.77,15.75,3.06,563196.7,9.77
908153.78,15.75,3.06,563089.51,9.77
907991.03,15.75,3.06,562815.53,9.76
908646.08,15.77,3.07,562868.96,9.77
908646.08,15.77,3.07,562647.6,9.76
908791.28,15.77,3.08,562603.83,9.76
908786.53,15.77,3.08,562722.8,9.77
909099.1,15.78,3.09,562823.02,9.77
