ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
307,1657,389820,6212,389820
308,1665,390820,6212,390820
309,1667,391820,6212,391820
310,1669,392820,6212,392820
311,1677,393470,6212,393470
312,1679,393940,6212,393940
312,1679,393940,6212,393940
313,1687,394940,6212,394940
314,1689,395410,6212,395410
315,1691,395880,6212,395880
316,1693,396350,6212,396350
317,1695,397350,6212,397350
318,1697,397820,6212,397820
318,1697,398820,6212,398820
319,1705,406820,6212,406820
320,1707,407630,6212,407630
321,1709,408630,6212,408630
321,1709,408950,6212,408950
322,1717,409950,6212,409950
323,1725,410950,6212,410950
324,1727,411270,6212,411270
324,1727,412270,6212,412270
325,1729,413270,6212,413270
326,1737,414270,6212,414270
327,1745,422270,6212,422270
327,1745,422270,6212,422270
328,1753,422730,6212,422730
328,1753,423730,6212,423730
329,1755,424380,6212,424380
330,1757,425190,6212,425190
330,1757,426190,6212,426190
331,1765,427190,6212,427190
332,1767,428190,6212,428190
333,1769,429000,6212,429000
334,1777,430000,6212,430000
335,1779,430810,6212,430810
335,1779,431810,6212,431810
335,1779,432810,6212,432810
336,1783,433810,6212,433810
337,1785,434810,6212,434810
338,1787,435620,6212,435620
338,1787,436090,6212,436090
339,1795,436900,6212,436900
340,1803,444900,6212,444900
341,1811,445370,6212,445370
341,1811,446370,6212,446370
342,1813,447370,6212,447370
342,1813,448370,6212,448370
343,1821,448690,6212,448690
344,1829,448690,6212,448690
345,1837,448690,6212,448690
345,1837,449500,6212,449500
346,1845,450310,6212,450310
346,1845,450770,6212,450770
347,1853,451770,6212,451770
348,1861,452240,6212,452240
348,1861,453240,6212,453240
349,1869,453470,6212,453470
349,1869,453470,6212,453470
350,1871,454470,6212,454470
351,1873,455470,6212,455470
352,1881,456280,6212,456280
353,1883,456750,6212,456750
354,1891,457400,6212,457400
354,1891,458400,6212,458400
354,1891,459210,6212,459210
355,1893,459210,6212,459210
356,1895,460210,6212,460210
357,1903,460670,6212,460670
357,1903,461480,6212,461480
358,1905,462290,6212,462290
359,1913,463100,6212,463100
360,1921,464100,6212,464100
361,1923,464330,6212,464330
362,1931,472330,6212,472330
363,1939,472880,6212,472880
364,1941,472880,6212,472880
364,1941,473880,6212,473880
364,1941,473880,6212,473880
365,1943,474880,6212,474880
366,1945,474880,6212,474880
367,1953,475880,6212,475880
367,1953,475880,6212,475880
368,1955,476690,6212,476690
369,1957,477500,6212,477500
369,1957,478500,6212,478500
370,1959,479500,6212,479500
371,1961,480500,6212,480500
372,1965,480500,6212,480500
373,1973,481150,6212,481150
374,1975,481150,6212,481150
374,1975,482150,6212,482150
375,1977,482620,6212,482620
376,1985,483620,6212,483620
377,1993,484620,6212,484620
377,1993,485430,6212,485430
378,1995,486430,6212,486430
379,2003,490430,6212,490430
380,2011,491430,6212,491430
381,2019,491430,6212,491430
382,2027,499430,6212,499430
383,2029,500430,6212,500430
384,2037,504430,6212,504430
385,2039,504900,6212,504900
386,2047,505900,6212,505900
387,2055,506900,6212,506900
388,2057,507900,6212,507900
389,2065,508120,6212,508120
390,2067,509120,6212,509120
391,2075,510120,6212,510120
392,2083,510930,6212,510930
393,2091,511930,6212,511930
394,2093,512930,6212,512930
394,2093,513930,6212,513930
395,2101,514930,6212,514930
396,2103,515930,6212,515930
397,2107,516160,6212,516160
398,2115,516970,6212,516970
398,2115,517780,6212,517780
399,2123,518590,6212,518590
399,2123,522590,6212,522590
400,2125,523590,6212,523590
401,2127,523910,6212,523910
401,2127,524380,6212,524380
402,2135,524840,6212,524840
402,2135,525840,6212,525840
403,2143,533840,6212,533840
404,2145,534840,6212,534840
405,2153,535840,6212,535840
405,2153,536840,6212,536840
406,2161,537650,6212,537650
406,2161,537650,6212,537650
407,2169,538650,6212,538650
408,2171,538880,6212,538880
408,2171,539880,6212,539880
408,2171,541880,6212,541880
409,2173,542340,6212,542340
410,2181,543340,6212,543340
411,2189,544340,6212,544340
411,2189,545340,6212,545340
412,2193,545800,6212,545800
413,2201,546800,6212,546800
414,2203,547800,6212,547800
415,2205,548270,6212,548270
416,2207,549080,6212,549080
417,2209,550080,6212,550080
418,2211,551080,6212,551080
419,2213,551730,6212,551730
420,2215,552730,6212,552730
421,2217,553730,6212,553730
422,2225,554730,6212,554730
423,2227,555540,6212,555540
424,2229,556540,6212,556540
425,2237,557010,6212,557010
426,2245,557480,6212,557480
426,2245,558030,6212,558030
427,2253,559030,6212,559030
427,2253,560030,6212,560030
428,2255,560030,6212,560030
428,2255,560620,6212,560620
429,2257,561620,6212,561620
429,2257,561620,6212,561620
429,2257,561940,6212,561940
429,2257,561940,6212,561940
430,2259,562410,6212,562410
431,2261,563410,6212,563410
432,2263,563880,6212,563880
433,2265,564690,6212,564690
434,2273,564690,6212,564690
435,2275,565690,6212,565690
436,2283,566160,6212,566160
437,2285,566970,6212,566970
438,2287,567970,6212,567970
439,2295,568970,6212,568970
440,2297,569290,6212,569290
440,2297,569760,6212,569760
441,2305,577760,6212,577760
442,2313,578760,6212,578760
443,2321,579760,6212,579760
444,2329,579920,6212,579920
445,2333,580920,6212,580920
446,2341,581390,6212,581390
