ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
162,371,190710,6212,190710
163,375,190820,6212,190820
163,375,190820,6212,190820
163,375,190820,6212,190820
164,379,190820,6212,190820
165,380,191290,6212,191290
166,382,192290,6212,192290
166,382,193290,6212,193290
166,382,194100,6212,194100
166,382,194420,6212,194420
167,384,195420,6212,195420
167,384,196230,6212,196230
167,384,197230,6212,197230
168,385,197700,6212,197700
168,385,198700,6212,198700
168,385,199700,6212,199700
169,389,199700,6212,199700
170,390,200700,6212,200700
170,390,201510,6212,201510
170,390,201980,6212,201980
170,390,202980,6212,202980
171,392,203980,6212,203980
172,396,203980,6212,203980
172,396,204570,6212,204570
172,396,204570,6212,204570
172,396,205570,6212,205570
172,396,205890,6212,205890
173,398,206890,6212,206890
173,398,207890,6212,207890
173,398,208360,6212,208360
173,398,209360,6212,209360
173,398,210360,6212,210360
173,398,211360,6212,211360
174,400,212360,6212,212360
174,400,213360,6212,213360
175,402,214360,6212,214360
175,402,215360,6212,215360
176,404,216360,6212,216360
176,404,217360,6212,217360
176,404,218360,6212,218360
176,404,219170,6212,219170
177,406,220170,6212,220170
177,406,221170,6212,221170
178,410,221170,6212,221170
178,410,222170,6212,222170
179,412,223170,6212,223170
180,420,231170,6212,231170
180,420,232170,6212,232170
180,420,233170,6212,233170
181,424,233170,6212,233170
182,426,234170,6212,234170
182,426,235170,6212,235170
182,426,235980,6212,235980
182,426,236980,6212,236980
183,428,237980,6212,237980
183,428,238980,6212,238980
183,428,239450,6212,239450
183,428,239450,6212,239450
183,428,239920,6212,239920
183,428,240730,6212,240730
183,428,241730,6212,241730
184,430,242730,6212,242730
184,430,243730,6212,243730
185,432,244730,6212,244730
185,432,245200,6212,245200
185,432,245200,6212,245200
185,432,245670,6212,245670
186,434,246670,6212,246670
186,434,247670,6212,247670
186,434,247670,6212,247670
186,434,248670,6212,248670
187,435,249480,6212,249480
188,439,249950,6212,249950
189,441,250950,6212,250950
