ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
157,354,316860,6212,316860
158,362,324860,6212,324860
158,362,324860,6212,324860
158,362,325330,6212,325330
158,362,326330,6212,326330
158,362,326330,6212,326330
158,362,326550,6212,326550
158,362,326550,6212,326550
159,364,327010,6212,327010
159,364,328010,6212,328010
160,366,329010,6212,329010
160,366,329660,6212,329660
161,368,330660,6212,330660
161,368,330660,6212,330660
161,368,331140,6212,331140
161,368,332140,6212,332140
162,370,333140,6212,333140
162,370,333460,6212,333460
162,370,334270,6212,334270
162,370,334590,6212,334590
163,372,335590,6212,335590
163,372,336400,6212,336400
163,372,336720,6212,336720
163,372,337190,6212,337190
164,380,337190,6212,337190
165,382,338190,6212,338190
165,382,339190,6212,339190
166,384,339660,6212,339660
166,384,340660,6212,340660
167,386,341310,6212,341310
167,386,341310,6212,341310
167,386,342310,6212,342310
168,388,343310,6212,343310
168,388,343780,6212,343780
168,388,343780,6212,343780
169,390,344780,6212,344780
169,390,345250,6212,345250
169,390,345250,6212,345250
170,392,346250,6212,346250
171,394,347250,6212,347250
171,394,347250,6212,347250
171,394,347250,6212,347250
171,394,348250,6212,348250
172,396,350250,6212,350250
173,398,351250,6212,351250
