ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
835675.72,14.13,1.07,414735.73,7.01
835509.44,14.13,1.07,414628.66,7.01
835354.06,14.13,1.07,414554.12,7.01
835354.06,14.13,1.07,414393.49,7.01
834308.9,14.13,1.07,414060.51,7.01
834469.98,14.14,1.07,414274.24,7.02
834503.32,14.14,1.07,414318.64,7.02
834337.05,14.14,1.07,414277.42,7.02
834562.85,14.14,1.08,414145.52,7.02
833919.52,14.14,1.08,412987.83,7.0
833941.98,14.14,1.08,413499.76,7.01
833786.59,14.14,1.08,413353.25,7.01
833880.61,14.15,1.08,414219.55,7.03
832835.46,14.15,1.08,413886.57,7.03
832835.46,14.15,1.08,413824.56,7.03
832459.62,14.14,1.08,413517.96,7.02
832293.34,14.14,1.08,413482.33,7.03
832344.81,14.14,1.08,413332.27,7.02
832147.45,14.14,1.07,413140.95,7.02
832860.06,14.15,1.09,419290.1,7.12
833148.74,14.16,1.09,419230.72,7.12
832982.46,14.16,1.09,419553.15,7.13
832827.08,14.16,1.09,419478.61,7.13
832988.15,14.16,1.1,419692.33,7.13
832832.77,14.16,1.1,419617.79,7.13
832832.77,14.16,1.1,419617.79,7.13
832386.56,14.15,1.09,419181.98,7.13
832220.28,14.15,1.09,419074.37,7.13
832064.9,14.15,1.09,418999.3,7.13
831767.54,14.15,1.08,418707.97,7.12
831790.0,14.15,1.09,418764.81,7.12
831501.62,14.15,1.08,418477.84,7.12
831346.23,14.15,1.08,418331.33,7.12
831368.69,14.15,1.09,418481.02,7.12
831080.31,14.15,1.08,418194.05,7.12
830706.24,14.14,1.08,417818.86,7.11
830896.27,14.14,1.08,417879.25,7.11
830740.88,14.14,1.08,417804.71,7.11
830574.61,14.14,1.08,417697.11,7.11
830855.06,14.15,1.08,417751.17,7.11
830688.79,14.15,1.08,417950.8,7.12
