ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
868669.44,14.27,0.67,196927.93,3.24
868391.44,14.27,0.67,196649.91,3.23
868454.2,14.27,0.67,196263.18,3.22
868593.6,14.27,0.68,196251.78,3.23
868248.82,14.27,0.67,195979.05,3.22
868520.85,14.27,0.68,195961.49,3.22
868572.54,14.28,0.68,196369.39,3.23
869216.13,14.29,0.69,196531.89,3.23
868764.7,14.28,0.69,195961.26,3.22
869033.53,14.29,0.69,196035.74,3.22
868897.57,14.29,0.69,196265.35,3.23
868949.26,14.29,0.7,196388.45,3.23
868762.68,14.29,0.69,196296.39,3.23
868565.3,14.29,0.69,196092.56,3.23
868429.34,14.29,0.69,196028.36,3.23
868429.34,14.29,0.69,196028.36,3.23
868293.38,14.29,0.69,196008.75,3.23
868345.07,14.29,0.69,196087.27,3.23
868613.89,14.3,0.7,196161.75,3.23
868392.48,14.29,0.7,195944.4,3.23
868392.48,14.29,0.7,195944.4,3.23
868444.17,14.3,0.7,196219.01,3.23
868495.87,14.3,0.7,196342.12,3.23
868547.56,14.3,0.71,196439.75,3.23
868411.6,14.3,0.71,196420.13,3.23
868253.95,14.3,0.7,196267.29,3.23
868305.64,14.3,0.71,196345.81,3.23
867960.85,14.3,0.7,196135.68,3.23
868012.55,14.3,0.7,196258.78,3.23
868064.24,14.3,0.71,196356.41,3.24
867928.28,14.3,0.71,196253.5,3.23
867928.28,14.3,0.71,196279.28,3.23
867792.32,14.3,0.71,196279.28,3.24
867792.32,14.3,0.71,196261.34,3.23
867656.36,14.3,0.71,196158.43,3.23
867925.18,14.31,0.71,196565.43,3.24
867809.2,14.31,0.71,196406.44,3.24
868474.98,14.32,0.72,196517.74,3.24
868743.81,14.33,0.73,196592.22,3.24
868280.18,14.32,0.72,196082.79,3.23
868144.22,14.32,0.72,196312.4,3.24
868206.99,14.32,0.73,195925.68,3.23
867872.2,14.32,0.72,195588.68,3.23
868191.6,14.32,0.73,195757.27,3.23
868243.29,14.33,0.73,195880.38,3.23
868024.49,14.32,0.73,195702.37,3.23
867888.53,14.32,0.73,195660.17,3.23
868157.36,14.33,0.73,195734.65,3.23
868341.07,14.33,0.74,196109.72,3.24
868392.76,14.34,0.74,196232.82,3.24
868235.11,14.34,0.74,196079.0,3.24
868235.11,14.34,0.74,196099.67,3.24
868286.8,14.34,0.74,196197.3,3.24
868150.84,14.34,0.74,196177.68,3.24
868334.55,14.34,0.75,196408.17,3.24
867989.77,14.34,0.74,196227.6,3.24
867939.77,14.34,0.74,196177.6,3.24
867650.1,14.33,0.74,195895.72,3.24
867701.79,14.34,0.74,196018.83,3.24
867970.61,14.34,0.75,196244.82,3.24
868636.4,14.35,0.76,196356.12,3.24
868500.44,14.35,0.76,196253.21,3.24
868364.48,14.35,0.76,196253.21,3.24
868228.52,14.35,0.76,196253.47,3.24
867893.73,14.35,0.75,196053.01,3.24
867893.73,14.35,0.75,196053.01,3.24
867757.77,14.35,0.75,195949.84,3.24
867757.77,14.35,0.75,195949.84,3.24
867758.61,14.35,0.75,195950.72,3.24
868073.53,14.36,0.76,195738.48,3.24
867783.86,14.35,0.76,195454.7,3.23
867320.24,14.35,0.75,194945.27,3.22
867184.28,14.35,0.75,194945.53,3.23
866531.52,14.34,0.74,194219.64,3.21
866395.56,14.34,0.74,194116.47,3.21
866672.02,14.35,0.75,194092.86,3.21
866723.71,14.35,0.75,194471.84,3.22
866587.75,14.35,0.75,194362.46,3.22
866451.79,14.35,0.75,194362.46,3.22
866503.48,14.35,0.76,194485.57,3.22
866555.17,14.35,0.76,194583.19,3.22
866555.17,14.35,0.76,194583.19,3.22
866419.21,14.35,0.76,194480.29,3.22
866283.25,14.35,0.76,194480.29,3.22
866147.29,14.35,0.76,194460.67,3.22
866198.99,14.36,0.76,194539.2,3.22
865856.56,14.35,0.76,194332.46,3.22
865720.6,14.35,0.76,194229.55,3.22
865772.3,14.36,0.76,194413.73,3.22
866106.83,14.36,0.77,194467.09,3.22
866106.83,14.36,0.77,194467.09,3.22
866106.83,14.36,0.77,194467.09,3.22
865970.87,14.36,0.77,194800.72,3.23
865845.98,14.36,0.77,194067.89,3.22
865783.13,14.36,0.77,193925.17,3.22
865783.13,14.36,0.77,193925.17,3.22
865757.83,14.36,0.77,193907.52,3.22
865621.87,14.36,0.77,193887.91,3.22
865485.91,14.36,0.77,193804.61,3.22
865548.68,14.37,0.77,193417.89,3.21
865824.86,14.37,0.78,193529.94,3.21
865876.55,14.38,0.78,193653.04,3.21
865876.55,14.38,0.78,193653.04,3.21
865740.59,14.38,0.78,193588.85,3.21
865520.6,14.37,0.78,193425.49,3.21
865704.31,14.38,0.78,193510.12,3.21
865756.0,14.38,0.78,193742.37,3.22
865818.77,14.38,0.79,193355.65,3.21
866094.95,14.39,0.79,193467.69,3.21
866371.41,14.39,0.8,193444.09,3.21
866235.45,14.39,0.8,193780.96,3.22
865945.78,14.39,0.79,193574.02,3.22
865603.36,14.39,0.79,193227.84,3.21
865655.05,14.39,0.79,193350.94,3.21
865706.74,14.39,0.8,193448.57,3.22
865570.78,14.39,0.8,193347.3,3.21
865434.82,14.39,0.8,193345.66,3.22
865486.51,14.39,0.8,193468.77,3.22
865350.55,14.39,0.8,193426.93,3.22
865413.32,14.4,0.8,193040.21,3.21
865202.71,14.4,0.8,192678.8,3.21
865066.75,14.4,0.8,192659.19,3.21
865066.75,14.4,0.8,192659.19,3.21
865066.75,14.4,0.8,192659.19,3.21
