ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
841364.88,13.97,0.37,178977.31,2.97
841210.38,13.97,0.37,178988.67,2.97
841394.1,13.97,0.38,178988.48,2.97
841445.79,13.98,0.38,178986.9,2.97
841497.48,13.98,0.38,179016.48,2.97
841766.31,13.98,0.39,179016.48,2.97
841431.52,13.98,0.38,179041.25,2.97
841295.56,13.98,0.38,178938.08,2.97
840975.56,13.98,0.38,178618.08,2.97
841244.39,13.98,0.38,178578.72,2.97
841296.08,13.98,0.39,178573.49,2.97
841347.77,13.99,0.39,178573.23,2.97
841211.81,13.99,0.39,178471.96,2.97
841075.85,13.99,0.39,178471.96,2.97
841127.54,13.99,0.39,180223.62,3.0
840991.58,13.99,0.39,180221.98,3.0
841043.27,13.99,0.4,180266.82,3.0
840907.31,13.99,0.4,180157.46,3.0
840771.35,13.99,0.4,180157.46,3.0
840771.35,13.99,0.4,180382.27,3.0
840783.1,13.99,0.4,180420.98,3.0
840834.79,13.99,0.4,180516.71,3.0
840490.0,13.99,0.39,180165.48,3.0
840541.7,13.99,0.4,180165.66,3.0
840593.39,14.0,0.4,180554.38,3.01
840921.23,14.0,0.41,181559.99,3.02
841104.94,14.01,0.41,181562.59,3.02
841104.94,14.01,0.41,181423.66,3.02
840968.98,14.01,0.41,181423.66,3.02
840968.98,14.01,0.41,181608.14,3.02
841020.67,14.01,0.41,181610.25,3.03
840884.71,14.01,0.41,181610.51,3.03
840748.75,14.01,0.41,181610.51,3.03
840800.45,14.01,0.42,181609.03,3.03
840852.14,14.02,0.42,181793.11,3.03
840546.36,14.01,0.42,181447.31,3.02
840546.36,14.01,0.42,181372.04,3.02
840570.16,14.01,0.42,181461.32,3.02
840621.85,14.01,0.42,181462.71,3.03
840485.89,14.01,0.42,181359.53,3.02
840196.22,14.01,0.41,181002.06,3.02
839906.54,14.01,0.41,181067.74,3.02
839958.23,14.01,0.41,181067.92,3.02
839822.28,14.01,0.41,181067.55,3.02
839620.67,14.01,0.41,182800.92,3.05
839484.71,14.01,0.41,182766.76,3.05
839484.71,14.01,0.41,182898.46,3.05
839753.53,14.01,0.42,182827.8,3.05
839767.25,14.01,0.42,182830.39,3.05
839651.27,14.01,0.41,182830.39,3.05
839515.31,14.01,0.41,182761.65,3.05
839379.35,14.01,0.42,182761.91,3.05
839243.39,14.01,0.42,182658.74,3.05
839107.43,14.01,0.42,182624.57,3.05
839107.43,14.01,0.42,183411.05,3.06
839107.43,14.01,0.42,182914.73,3.05
838955.38,14.01,0.41,182763.94,3.05
838819.42,14.01,0.41,182695.2,3.05
839128.84,14.02,0.42,184131.17,3.08
839245.8,14.02,0.42,184268.89,3.08
839109.84,14.02,0.42,184269.15,3.08
839002.18,14.02,0.42,184166.03,3.08
838584.48,14.01,0.42,183652.17,3.07
838853.31,14.02,0.42,183674.31,3.07
838717.35,14.02,0.42,183571.14,3.07
838901.06,14.02,0.43,183571.14,3.07
838952.75,14.02,0.43,183549.0,3.07
838816.79,14.02,0.43,183549.0,3.07
838839.19,14.03,0.43,185655.12,3.1
838934.4,14.03,0.43,185045.83,3.09
839203.23,14.03,0.44,185045.64,3.09
839254.92,14.04,0.44,185045.64,3.1
839254.92,14.04,0.44,185045.64,3.1
839438.63,14.04,0.45,185045.64,3.1
