ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
125,252,197430,6212,197430
125,252,198430,6212,198430
126,254,199240,6212,199240
126,254,200240,6212,200240
127,256,201050,6212,201050
127,256,202050,6212,202050
128,258,203050,6212,203050
128,258,203050,6212,203050
128,258,203050,6212,203050
128,258,203860,6212,203860
129,260,204330,6212,204330
129,260,205140,6212,205140
130,262,205950,6212,205950
130,262,206320,6212,206320
130,262,206970,6212,206970
130,262,206970,6212,206970
131,264,207970,6212,207970
131,264,207970,6212,207970
131,264,208780,6212,208780
132,266,209780,6212,209780
133,268,210780,6212,210780
133,268,211590,6212,211590
133,268,212400,6212,212400
133,268,212870,6212,212870
133,268,212870,6212,212870
133,268,212870,6212,212870
134,270,213680,6212,213680
134,270,214680,6212,214680
134,270,215000,6212,215000
134,270,215320,6212,215320
135,272,216130,6212,216130
136,274,217130,6212,217130
136,274,217450,6212,217450
136,274,218450,6212,218450
136,274,218450,6212,218450
137,276,218920,6212,218920
137,276,218920,6212,218920
137,276,219150,6212,219150
137,276,220150,6212,220150
138,278,221150,6212,221150
139,280,222150,6212,222150
139,280,223150,6212,223150
139,280,223150,6212,223150
139,280,223150,6212,223150
139,280,223310,6212,223310
140,282,224310,6212,224310
140,282,224770,6212,224770
140,282,225240,6212,225240
141,284,226240,6212,226240
141,284,226350,6212,226350
141,284,227160,6212,227160
141,284,227630,6212,227630
142,286,228630,6212,228630
142,286,229280,6212,229280
142,286,230090,6212,230090
143,288,231090,6212,231090
144,296,231090,6212,231090
144,296,231900,6212,231900
145,298,232370,6212,232370
145,298,233180,6212,233180
145,298,233180,6212,233180
146,300,233830,6212,233830
146,300,234640,6212,234640
147,302,235450,6212,235450
147,302,236260,6212,236260
148,304,237260,6212,237260
148,304,237480,6212,237480
148,304,238480,6212,238480
149,306,239130,6212,239130
149,306,240130,6212,240130
149,306,240130,6212,240130
149,306,240450,6212,240450
150,314,240450,6212,240450
151,316,241450,6212,241450
151,316,242100,6212,242100
152,318,242750,6212,242750
152,318,243070,6212,243070
152,318,243070,6212,243070
152,318,243540,6212,243540
152,318,244350,6212,244350
153,320,244900,6212,244900
153,320,245220,6212,245220
153,320,246220,6212,246220
154,322,247220,6212,247220
154,322,248220,6212,248220
155,324,248680,6212,248680
155,324,249490,6212,249490
156,326,250490,6212,250490
156,326,251490,6212,251490
157,328,252140,6212,252140
157,328,252950,6212,252950
158,330,253950,6212,253950
158,330,254760,6212,254760
158,330,255080,6212,255080
158,330,255080,6212,255080
159,332,256080,6212,256080
159,332,256890,6212,256890
160,334,257540,6212,257540
160,334,258540,6212,258540
160,334,258770,6212,258770
160,334,259240,6212,259240
160,334,259240,6212,259240
161,342,259240,6212,259240
161,342,259470,6212,259470
162,344,260280,6212,260280
162,344,260280,6212,260280
162,344,260740,6212,260740
162,344,261210,6212,261210
163,346,262020,6212,262020
163,346,263020,6212,263020
164,348,264020,6212,264020
164,348,264250,6212,264250
164,348,264900,6212,264900
164,348,264900,6212,264900
165,350,265550,6212,265550
165,350,266550,6212,266550
165,350,266550,6212,266550
166,352,267550,6212,267550
166,352,268550,6212,268550
167,354,269360,6212,269360
167,354,270170,6212,270170
168,356,270640,6212,270640
168,356,271110,6212,271110
168,356,271920,6212,271920
169,358,272920,6212,272920
169,358,273570,6212,273570
170,360,274570,6212,274570
170,360,275040,6212,275040
170,360,275510,6212,275510
171,362,276320,6212,276320
171,362,277320,6212,277320
172,364,278130,6212,278130
172,364,278130,6212,278130
172,364,279130,6212,279130
173,366,280130,6212,280130
173,366,280600,6212,280600
173,366,281070,6212,281070
174,374,281070,6212,281070
174,374,281230,6212,281230
175,376,282230,6212,282230
175,376,282230,6212,282230
175,376,283230,6212,283230
176,378,284230,6212,284230
176,378,284550,6212,284550
176,378,285550,6212,285550
177,380,286550,6212,286550
177,380,287360,6212,287360
178,382,288360,6212,288360
178,382,288830,6212,288830
179,384,289640,6212,289640
179,384,290110,6212,290110
179,384,291110,6212,291110
179,384,291270,6212,291270
180,386,292270,6212,292270
180,386,293270,6212,293270
181,388,294270,6212,294270
181,388,295270,6212,295270
181,388,295380,6212,295380
181,388,295380,6212,295380
182,390,296380,6212,296380
182,390,296610,6212,296610
182,390,296610,6212,296610
182,390,297420,6212,297420
183,392,298010,6212,298010
183,392,298470,6212,298470
184,394,299470,6212,299470
184,394,300470,6212,300470
185,396,301280,6212,301280
185,396,302090,6212,302090
186,398,302740,6212,302740
186,398,303740,6212,303740
186,398,304060,6212,304060
186,398,304280,6212,304280
186,398,304280,6212,304280
186,398,304740,6212,304740
187,406,304740,6212,304740
187,406,304960,6212,304960
188,408,305510,6212,305510
188,408,306320,6212,306320
188,408,306320,6212,306320
189,410,307130,6212,307130
189,410,307940,6212,307940
189,410,307940,6212,307940
190,412,308940,6212,308940
190,412,309410,6212,309410
190,412,309880,6212,309880
191,414,310880,6212,310880
191,414,311350,6212,311350
191,414,311350,6212,311350
192,416,312160,6212,312160
192,416,312160,6212,312160
192,416,313160,6212,313160
193,418,313810,6212,313810
193,418,314620,6212,314620
193,418,315090,6212,315090
194,420,315900,6212,315900
194,420,316370,6212,316370
195,422,317370,6212,317370
