ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1595541.66,26.18,0.71,228054.38,3.74
1595335.46,26.18,0.71,227983.32,3.74
1595040.72,26.17,0.7,227771.37,3.74
1594834.53,26.18,0.7,227766.19,3.74
1595152.49,26.18,0.71,228296.7,3.75
1594946.29,26.18,0.71,228294.67,3.75
1594627.33,26.18,0.71,227975.72,3.74
1594627.33,26.18,0.71,227975.72,3.74
1594421.14,26.18,0.71,227901.51,3.74
1594421.14,26.18,0.71,227856.9,3.74
1594214.94,26.18,0.71,227785.83,3.74
1594008.74,26.18,0.71,227780.66,3.74
1593990.58,26.19,0.71,227877.05,3.74
1593784.38,26.19,0.71,227875.03,3.74
1593784.38,26.19,0.71,227932.29,3.74
1593578.19,26.19,0.71,227858.08,3.74
1593261.86,26.18,0.71,227494.99,3.74
1593243.7,26.19,0.71,227645.4,3.74
1593037.5,26.19,0.71,227574.33,3.74
1593511.59,26.2,0.72,227684.07,3.74
1593511.59,26.2,0.72,227684.07,3.74
1593511.59,26.2,0.72,227684.07,3.74
1593292.01,26.2,0.72,227461.63,3.74
1593241.85,26.2,0.72,227453.88,3.74
1593516.16,26.2,0.72,227240.23,3.74
1593404.09,26.2,0.72,227234.35,3.74
1593197.89,26.2,0.72,227229.18,3.74
1593179.73,26.21,0.73,227325.57,3.74
1593179.73,26.21,0.73,227325.57,3.74
1593179.73,26.21,0.73,227325.57,3.74
1592973.54,26.21,0.73,227323.54,3.74
1592955.38,26.21,0.73,227519.13,3.74
1592955.38,26.21,0.73,227519.13,3.74
1592955.38,26.21,0.73,227519.13,3.74
1592937.21,26.22,0.73,227615.52,3.75
1592698.3,26.21,0.73,227439.65,3.74
1592492.1,26.21,0.73,227365.44,3.74
1592886.03,26.22,0.74,227437.43,3.74
1592679.84,26.23,0.74,227366.43,3.74
1592798.38,26.23,0.74,227618.28,3.75
1592592.18,26.23,0.74,227613.04,3.75
1592522.64,26.23,0.75,227174.65,3.74
1592522.64,26.23,0.75,227153.25,3.74
1592316.45,26.23,0.75,227082.18,3.74
1592110.25,26.24,0.75,227077.01,3.74
1591852.41,26.24,0.75,226408.63,3.73
1591692.49,26.24,0.75,226286.01,3.73
1591990.7,26.24,0.75,226218.19,3.73
1591644.64,26.24,0.75,226443.37,3.73
1591438.44,26.24,0.75,226372.3,3.73
1591665.96,26.25,0.76,226638.89,3.74
1591317.74,26.24,0.75,226379.27,3.73
1591111.54,26.25,0.75,226374.1,3.73
