ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
124,298,223790,6212,223790
124,298,223790,6212,223790
125,300,224790,6212,224790
126,304,226790,6212,226790
126,304,227020,6212,227020
126,304,227490,6212,227490
127,306,228490,6212,228490
127,306,229300,6212,229300
127,306,230300,6212,230300
128,308,231300,6212,231300
128,308,232300,6212,232300
129,310,233110,6212,233110
129,310,233110,6212,233110
129,310,233920,6212,233920
130,312,234510,6212,234510
130,312,234830,6212,234830
131,314,235830,6212,235830
131,314,235830,6212,235830
132,322,235830,6212,235830
132,322,236300,6212,236300
133,324,237110,6212,237110
133,324,237110,6212,237110
133,324,238110,6212,238110
133,324,238340,6212,238340
134,326,239340,6212,239340
134,326,240340,6212,240340
135,328,241340,6212,241340
135,328,241340,6212,241340
135,328,241660,6212,241660
135,328,242130,6212,242130
136,330,243130,6212,243130
136,330,243130,6212,243130
136,330,243780,6212,243780
137,332,244590,6212,244590
138,340,252590,6212,252590
138,340,253590,6212,253590
138,340,254590,6212,254590
138,340,255590,6212,255590
139,342,256240,6212,256240
139,342,257240,6212,257240
139,342,257710,6212,257710
139,342,258710,6212,258710
139,342,259710,6212,259710
140,344,260710,6212,260710
140,344,261710,6212,261710
141,346,262710,6212,262710
141,346,262940,6212,262940
141,346,263940,6212,263940
142,348,264940,6212,264940
142,348,265750,6212,265750
143,350,266560,6212,266560
143,350,267030,6212,267030
144,352,268030,6212,268030
144,352,269030,6212,269030
144,352,270030,6212,270030
145,354,271030,6212,271030
145,354,271030,6212,271030
146,356,271580,6212,271580
146,356,272050,6212,272050
146,356,272700,6212,272700
146,356,272700,6212,272700
146,356,273700,6212,273700
147,358,274700,6212,274700
148,360,275510,6212,275510
148,360,275980,6212,275980
149,368,276980,6212,276980
150,370,277980,6212,277980
150,370,278980,6212,278980
151,372,279790,6212,279790
151,372,280790,6212,280790
152,380,288790,6212,288790
152,380,289600,6212,289600
153,382,290600,6212,290600
154,384,291150,6212,291150
154,384,292150,6212,292150
155,386,293150,6212,293150
155,386,293620,6212,293620
155,386,294620,6212,294620
155,386,295430,6212,295430
156,388,296080,6212,296080
157,390,297080,6212,297080
157,390,298080,6212,298080
157,390,299080,6212,299080
157,390,300080,6212,300080
158,392,301080,6212,301080
158,392,302080,6212,302080
158,392,303080,6212,303080
158,392,304080,6212,304080
158,392,304550,6212,304550
158,392,305550,6212,305550
158,392,305550,6212,305550
158,392,306550,6212,306550
158,392,306550,6212,306550
159,394,307550,6212,307550
159,394,308550,6212,308550
159,394,308550,6212,308550
160,396,309550,6212,309550
160,396,309780,6212,309780
160,396,310780,6212,310780
160,396,311780,6212,311780
160,396,311780,6212,311780
160,396,311780,6212,311780
160,396,312240,6212,312240
161,398,313240,6212,313240
162,400,314050,6212,314050
162,400,314050,6212,314050
162,400,315050,6212,315050
162,400,315270,6212,315270
163,402,316270,6212,316270
163,402,317080,6212,317080
164,406,318080,6212,318080
165,408,318540,6212,318540
165,408,319350,6212,319350
166,410,320160,6212,320160
166,410,320810,6212,320810
166,410,321810,6212,321810
166,410,322040,6212,322040
166,410,323040,6212,323040
167,412,324040,6212,324040
168,414,325040,6212,325040
168,414,326040,6212,326040
169,416,326510,6212,326510
170,418,326980,6212,326980
171,420,327980,6212,327980
171,420,328980,6212,328980
172,422,329980,6212,329980
172,422,330980,6212,330980
172,422,331300,6212,331300
173,424,332300,6212,332300
173,424,333110,6212,333110
173,424,333920,6212,333920
173,424,334920,6212,334920
173,424,335920,6212,335920
174,426,336920,6212,336920
175,428,337730,6212,337730
175,428,338540,6212,338540
175,428,339540,6212,339540
175,428,340010,6212,340010
176,430,341010,6212,341010
177,438,341010,6212,341010
177,438,341010,6212,341010
177,438,342010,6212,342010
177,438,342010,6212,342010
178,440,343010,6212,343010
178,440,343010,6212,343010
179,442,343820,6212,343820
179,442,344820,6212,344820
179,442,345050,6212,345050
180,444,346050,6212,346050
180,444,346860,6212,346860
181,446,347670,6212,347670
181,446,347670,6212,347670
181,446,348670,6212,348670
181,446,349020,6212,349020
182,448,350020,6212,350020
182,448,351020,6212,351020
182,448,351020,6212,351020
182,448,351340,6212,351340
183,450,352340,6212,352340
184,458,353340,6212,353340
184,458,353340,6212,353340
184,458,354340,6212,354340
184,458,355340,6212,355340
185,460,356150,6212,356150
185,460,357150,6212,357150
185,460,357150,6212,357150
185,460,358150,6212,358150
185,460,359150,6212,359150
185,460,360150,6212,360150
185,460,360620,6212,360620
186,462,361620,6212,361620
186,462,362620,6212,362620
186,462,363430,6212,363430
187,464,364240,6212,364240
187,464,365240,6212,365240
187,464,365240,6212,365240
187,464,365240,6212,365240
188,468,366240,6212,366240
188,468,366470,6212,366470
189,470,367470,6212,367470
189,470,368470,6212,368470
189,470,369280,6212,369280
190,472,369930,6212,369930
190,472,369930,6212,369930
190,472,370930,6212,370930
191,474,371930,6212,371930
191,474,372390,6212,372390
191,474,373200,6212,373200
191,474,374200,6212,374200
191,474,375200,6212,375200
191,474,376200,6212,376200
191,474,377200,6212,377200
192,476,378010,6212,378010
192,476,378010,6212,378010
193,478,379010,6212,379010
193,478,380010,6212,380010
193,478,381010,6212,381010
193,478,381480,6212,381480
194,480,382480,6212,382480
194,480,383480,6212,383480
194,480,383480,6212,383480
195,482,384480,6212,384480
195,482,385290,6212,385290
195,482,385520,6212,385520
196,490,386520,6212,386520
196,490,387520,6212,387520
196,490,388520,6212,388520
196,490,389520,6212,389520
197,492,389990,6212,389990
197,492,390990,6212,390990
197,492,391990,6212,391990
197,492,392990,6212,392990
197,492,393990,6212,393990
197,492,394800,6212,394800
197,492,395800,6212,395800
