ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
894447.65,14.69,1.07,183569.7,3.01
894062.11,14.69,1.06,183072.77,3.01
894105.45,14.69,1.07,183477.81,3.01
894114.05,14.69,1.07,183260.9,3.01
894005.91,14.69,1.07,183152.77,3.01
893739.6,14.68,1.06,182865.08,3.0
893769.86,14.68,1.06,182870.35,3.0
897225.04,14.74,1.12,186091.66,3.06
896975.08,14.74,1.12,185538.66,3.05
896725.13,14.74,1.12,184985.66,3.04
896780.93,14.74,1.12,184627.48,3.03
896789.52,14.74,1.12,184429.72,3.03
897403.18,14.75,1.13,184543.52,3.03
897294.01,14.75,1.13,184352.18,3.03
897831.57,14.76,1.14,184501.4,3.03
897446.03,14.76,1.14,184004.47,3.03
897253.68,14.76,1.14,183569.18,3.02
897941.8,14.77,1.15,183646.04,3.02
901396.98,14.83,1.21,186867.35,3.07
901229.89,14.83,1.21,186720.28,3.07
902357.97,14.84,1.22,187540.14,3.09
902683.48,14.85,1.23,187418.46,3.08
902903.15,14.85,1.23,187266.53,3.08
902712.03,14.85,1.23,187314.69,3.08
902462.07,14.85,1.23,186761.69,3.07
902999.63,14.86,1.24,186910.91,3.08
903214.26,14.87,1.25,186902.2,3.08
903480.6,14.87,1.25,186658.71,3.07
903092.38,14.87,1.25,186169.06,3.07
903867.21,14.88,1.26,186491.48,3.07
903500.5,14.88,1.26,185965.92,3.06
903342.36,14.88,1.26,185807.79,3.06
903398.16,14.88,1.26,185449.61,3.05
903406.76,14.88,1.26,185251.86,3.05
904020.42,14.89,1.27,185365.65,3.05
904795.25,14.91,1.29,185688.07,3.06
905329.08,14.92,1.3,185716.43,3.06
905547.43,14.92,1.3,185828.58,3.06
907235.55,14.95,1.33,186905.44,3.08
906850.02,14.94,1.32,186408.51,3.07
906293.31,14.94,1.32,185692.95,3.06
907068.14,14.95,1.33,186015.37,3.07
906701.43,14.95,1.33,185489.81,3.06
906925.57,14.95,1.33,184983.99,3.05
907214.24,14.96,1.34,185469.97,3.06
907270.05,14.96,1.34,185111.8,3.05
907622.37,14.97,1.35,185266.83,3.06
908397.2,14.98,1.36,185589.25,3.06
909010.86,14.99,1.37,185703.05,3.06
908625.32,14.99,1.37,185206.11,3.06
908925.59,15.0,1.38,184895.13,3.05
908503.44,14.99,1.37,184472.98,3.04
908507.16,14.99,1.37,184485.77,3.04
909189.35,15.01,1.39,184556.7,3.05
910317.43,15.02,1.4,185376.56,3.06
910321.15,15.02,1.4,185389.35,3.06
911003.34,15.04,1.42,185460.28,3.06
910636.63,15.03,1.41,184934.72,3.05
