ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1819219.65,30.31,1.79,228939.18,3.81
1818621.33,30.31,1.79,228863.7,3.81
1819951.48,30.33,1.81,229937.91,3.83
1819394.68,30.33,1.81,229406.37,3.82
1819394.68,30.33,1.81,229406.37,3.82
1819096.55,30.33,1.81,229381.38,3.82
1818349.74,30.32,1.8,228639.47,3.81
1817877.17,30.31,1.8,228230.54,3.81
1817805.12,30.32,1.8,229034.28,3.82
1818634.56,30.34,1.82,229335.13,3.83
1818964.71,30.35,1.83,229409.34,3.83
1818407.91,30.34,1.83,228877.79,3.82
1818183.72,30.34,1.83,228864.95,3.82
1817626.91,30.33,1.82,228313.04,3.81
1817685.79,30.34,1.83,228063.68,3.81
1817777.46,30.35,1.83,227850.99,3.8
1817808.97,30.35,1.83,227728.28,3.8
1817885.92,30.35,1.84,227524.03,3.8
1818308.16,30.36,1.85,227633.72,3.8
1819066.84,30.38,1.86,228343.68,3.81
1819396.99,30.39,1.87,228417.89,3.82
1818798.67,30.39,1.88,228342.41,3.82
1818837.6,30.39,1.88,228418.06,3.82
1818997.31,30.4,1.88,228689.54,3.82
1818250.51,30.39,1.87,227967.99,3.81
1818221.43,30.39,1.88,228125.95,3.81
1817923.04,30.39,1.88,228055.76,3.81
1817623.11,30.39,1.88,228050.47,3.81
1817324.72,30.39,1.88,227980.36,3.81
1816784.62,30.39,1.87,227492.28,3.8
1818115.54,30.41,1.9,229836.96,3.84
1817544.02,30.4,1.89,229313.85,3.84
1817290.24,30.4,1.89,228916.96,3.83
1817596.81,30.41,1.9,229082.65,3.83
1816850.0,30.4,1.89,228361.11,3.82
1819615.14,30.45,1.93,231468.09,3.87
1820932.88,30.47,1.96,232691.4,3.89
1821072.2,30.47,1.96,233110.85,3.9
1820520.11,30.47,1.96,232615.37,3.89
1820520.11,30.47,1.96,232615.37,3.89
1819856.33,30.46,1.95,231808.48,3.88
1819707.77,30.46,1.95,231631.41,3.88
1819409.39,30.46,1.95,231619.53,3.88
1819109.45,30.46,1.95,231555.93,3.88
1818811.07,30.46,1.95,231556.35,3.88
1818811.07,30.46,1.95,231556.35,3.88
1819045.65,30.47,1.96,232006.24,3.89
1818719.18,30.46,1.95,231658.89,3.88
1818420.79,30.47,1.95,231647.01,3.88
1818420.79,30.47,1.95,231647.01,3.88
1818446.59,30.47,1.96,231899.14,3.89
1818419.06,30.47,1.96,232125.56,3.89
1816063.99,30.47,1.96,232075.03,3.89
1815991.94,30.48,1.97,232878.78,3.91
1816821.38,30.5,1.99,233174.26,3.91
1816749.34,30.5,1.99,233978.01,3.93
1816776.68,30.5,1.99,233969.79,3.93
1816476.75,30.5,1.99,234218.23,3.93
1817327.92,30.52,2.01,234282.17,3.93
1816664.14,30.52,2.01,233475.28,3.92
1816340.58,30.51,2.01,233449.68,3.92
1816268.53,30.52,2.01,234253.42,3.94
1816051.49,30.52,2.01,234511.81,3.94
1815835.99,30.52,2.01,234448.3,3.94
1815728.12,30.52,2.01,234580.51,3.94
1815656.07,30.53,2.01,235384.26,3.96
1815439.03,30.53,2.01,235378.97,3.96
1814965.24,30.52,2.01,234762.08,3.95
1814612.18,30.52,2.01,234542.3,3.94
1815970.46,30.55,2.03,235365.73,3.96
1815772.91,30.55,2.04,235394.75,3.96
1815474.78,30.55,2.04,235444.86,3.96
1815259.29,30.55,2.04,235450.11,3.96
1814961.16,30.55,2.04,235418.54,3.96
1814961.16,30.55,2.04,235460.41,3.96
1815079.72,30.55,2.04,235392.61,3.96
1816437.99,30.58,2.07,236216.04,3.98
1816463.79,30.58,2.07,236956.71,3.99
1817943.45,30.61,2.1,238417.24,4.01
1817645.07,30.61,2.1,238405.36,4.01
1817345.13,30.61,2.1,238341.76,4.01
1817316.05,30.61,2.1,238429.14,4.02
1817465.05,30.62,2.1,238404.09,4.02
1817166.15,30.62,2.1,238863.66,4.02
1816950.65,30.62,2.1,238800.59,4.02
1816661.44,30.62,2.11,238771.6,4.02
1816541.08,30.62,2.11,238830.79,4.03
1816324.04,30.62,2.11,238825.05,4.03
1813876.01,30.62,2.11,238756.33,4.03
1813848.48,30.63,2.11,238852.46,4.03
1813550.09,30.63,2.11,238840.58,4.03
1813748.01,30.63,2.12,239267.67,4.04
