ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
878665.14,15.05,2.78,799578.37,13.69
878295.21,15.04,2.78,799181.01,13.69
878545.75,15.05,2.78,799167.48,13.69
878341.67,15.04,2.78,798943.8,13.68
878117.4,15.04,2.78,798972.64,13.69
877926.34,15.04,2.78,798712.97,13.68
877702.07,15.04,2.77,798611.35,13.68
882135.98,15.12,2.85,805867.93,13.81
881944.92,15.11,2.85,805612.03,13.81
881720.65,15.11,2.85,805506.64,13.81
881339.05,15.11,2.84,805190.04,13.8
881136.25,15.11,2.84,804960.85,13.8
881855.45,15.12,2.85,805171.72,13.8
882106.0,15.12,2.86,805158.19,13.8
882106.0,15.12,2.86,805158.19,13.8
881579.51,15.12,2.85,804590.4,13.8
881544.04,15.12,2.85,804754.25,13.8
881311.12,15.12,2.85,804635.12,13.8
881120.06,15.12,2.85,804375.45,13.8
881337.39,15.12,2.86,804715.12,13.81
881054.79,15.12,2.85,804430.29,13.8
881054.79,15.12,2.85,804430.29,13.8
880863.73,15.12,2.85,804245.6,13.8
880639.45,15.11,2.85,804069.0,13.8
880637.21,15.12,2.85,804009.56,13.8
880854.54,15.12,2.86,804219.32,13.81
880854.54,15.12,2.86,804219.32,13.81
880439.21,15.12,2.85,803858.02,13.8
879421.78,15.12,2.86,803046.62,13.81
879230.73,15.12,2.86,802861.93,13.81
879195.26,15.12,2.86,802850.83,13.81
879195.26,15.12,2.86,802850.83,13.81
879004.2,15.12,2.86,802666.14,13.81
878779.93,15.12,2.86,802489.54,13.81
878983.3,15.13,2.86,802184.71,13.81
878792.24,15.13,2.86,801932.79,13.8
878567.97,15.13,2.86,801823.42,13.8
878376.91,15.12,2.86,801638.72,13.8
878152.64,15.12,2.86,801462.13,13.8
877961.58,15.12,2.86,801202.46,13.8
877961.58,15.12,2.86,801202.46,13.8
878066.05,15.13,2.86,801424.44,13.81
877783.44,15.12,2.86,801256.14,13.8
877242.77,15.12,2.85,800674.05,13.8
877051.72,15.11,2.85,800489.36,13.8
876827.44,15.11,2.85,800312.76,13.79
877413.14,15.12,2.86,800404.87,13.8
876601.06,15.12,2.86,798912.34,13.78
876410.01,15.12,2.86,798652.67,13.78
876185.73,15.12,2.85,798551.05,13.78
875886.99,15.11,2.85,798257.44,13.78
875834.0,15.12,2.85,798148.4,13.77
875831.75,15.12,2.85,798088.96,13.78
875416.42,15.12,2.85,797727.67,13.77
875416.42,15.12,2.85,797727.67,13.77
875192.15,15.11,2.85,797591.32,13.77
875001.09,15.11,2.85,797406.63,13.77
874241.04,15.11,2.85,796571.99,13.77
874016.77,15.11,2.84,796395.4,13.77
873825.71,15.11,2.84,796220.51,13.77
873601.44,15.11,2.84,796034.1,13.77
873830.69,15.11,2.85,795820.17,13.76
874048.03,15.12,2.85,796533.23,13.78
873856.97,15.12,2.85,796348.54,13.78
873475.36,15.11,2.85,795901.92,13.77
873579.83,15.12,2.85,796048.93,13.77
873164.5,15.11,2.85,795687.64,13.77
873162.25,15.12,2.85,795628.2,13.77
873379.58,15.12,2.86,795837.96,13.78
872997.98,15.11,2.85,795570.83,13.77
872997.98,15.11,2.85,795570.83,13.77
872995.73,15.12,2.85,795511.39,13.78
873154.41,15.12,2.86,795775.07,13.78
872963.35,15.12,2.86,795515.41,13.78
873180.68,15.13,2.86,795855.07,13.79
873156.6,15.13,2.86,795349.15,13.78
872965.54,15.13,2.86,795089.48,13.78
872550.21,15.12,2.86,794728.19,13.78
872168.6,15.12,2.85,794346.9,13.77
872043.01,15.12,2.85,794145.35,13.77
871818.74,15.12,2.85,794043.72,13.77
871956.42,15.12,2.86,793938.03,13.77
871541.09,15.12,2.86,793576.74,13.77
871505.62,15.12,2.86,793762.11,13.77
871314.56,15.12,2.86,793587.22,13.77
871015.82,15.12,2.85,793293.62,13.77
871233.16,15.12,2.86,793483.81,13.77
871042.1,15.12,2.86,793308.93,13.77
871042.1,15.12,2.86,793308.93,13.77
871042.1,15.12,2.86,793308.93,13.77
870626.77,15.12,2.85,792947.63,13.77
869645.58,15.12,2.86,792208.35,13.78
869645.58,15.12,2.86,792208.35,13.78
869421.31,15.12,2.86,792021.94,13.78
869039.7,15.12,2.85,791705.34,13.77
869231.6,15.12,2.86,791487.34,13.77
869336.07,15.12,2.86,792064.83,13.78
869333.82,15.13,2.86,792005.39,13.78
869109.54,15.13,2.86,791889.34,13.78
869109.54,15.13,2.86,791889.34,13.78
869109.54,15.13,2.86,791889.34,13.78
869107.29,15.13,2.86,791829.91,13.78
