ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
178,450,384400,6212,384400
178,450,385400,6212,385400
179,452,386210,6212,386210
179,452,386680,6212,386680
179,452,386680,6212,386680
180,454,388680,6212,388680
181,462,396680,6212,396680
182,464,397680,6212,397680
182,464,398490,6212,398490
182,464,398490,6212,398490
183,466,399490,6212,399490
183,466,400490,6212,400490
184,468,401490,6212,401490
185,470,402490,6212,402490
185,470,403490,6212,403490
186,472,404490,6212,404490
186,472,405490,6212,405490
187,474,406490,6212,406490
187,474,406490,6212,406490
187,474,407140,6212,407140
187,474,407510,6212,407510
187,474,408320,6212,408320
188,476,409320,6212,409320
188,476,410320,6212,410320
189,478,410790,6212,410790
190,482,414790,6212,414790
191,484,415790,6212,415790
191,484,416790,6212,416790
191,484,417110,6212,417110
191,484,417580,6212,417580
192,486,418390,6212,418390
193,488,420390,6212,420390
193,488,420390,6212,420390
193,488,421390,6212,421390
194,490,422390,6212,422390
195,494,426390,6212,426390
195,494,427390,6212,427390
196,496,428390,6212,428390
196,496,429390,6212,429390
197,498,429940,6212,429940
197,498,430410,6212,430410
198,500,431410,6212,431410
198,500,431880,6212,431880
198,500,432530,6212,432530
199,502,434530,6212,434530
200,504,435340,6212,435340
200,504,435810,6212,435810
200,504,436280,6212,436280
200,504,436280,6212,436280
201,506,437090,6212,437090
201,506,437680,6212,437680
202,508,438680,6212,438680
202,508,439150,6212,439150
203,510,439960,6212,439960
204,512,440960,6212,440960
205,514,442960,6212,442960
205,514,443430,6212,443430
205,514,444240,6212,444240
205,514,445240,6212,445240
206,516,445890,6212,445890
207,518,447890,6212,447890
207,518,448700,6212,448700
208,520,449700,6212,449700
208,520,450020,6212,450020
208,520,450490,6212,450490
209,522,451490,6212,451490
209,522,451490,6212,451490
209,522,451490,6212,451490
210,524,453490,6212,453490
211,532,461490,6212,461490
211,532,461490,6212,461490
211,532,462490,6212,462490
211,532,462960,6212,462960
212,534,463550,6212,463550
212,534,464200,6212,464200
213,536,465010,6212,465010
213,536,466010,6212,466010
213,536,466010,6212,466010
213,536,466010,6212,466010
214,538,466820,6212,466820
214,538,467820,6212,467820
214,538,467870,6212,467870
215,540,468870,6212,468870
215,540,469870,6212,469870
216,542,470680,6212,470680
216,542,471490,6212,471490
217,544,472490,6212,472490
217,544,472720,6212,472720
217,544,473720,6212,473720
218,546,474190,6212,474190
218,546,475000,6212,475000
219,548,477000,6212,477000
220,550,478000,6212,478000
220,550,478810,6212,478810
221,552,479810,6212,479810
221,552,479810,6212,479810
221,552,479810,6212,479810
221,552,480810,6212,480810
222,554,481810,6212,481810
223,556,483810,6212,483810
223,556,484810,6212,484810
223,556,484810,6212,484810
224,558,485810,6212,485810
224,558,486280,6212,486280
224,558,487090,6212,487090
225,566,495090,6212,495090
226,568,495900,6212,495900
226,568,495900,6212,495900
226,568,496370,6212,496370
226,568,496370,6212,496370
227,570,497180,6212,497180
228,578,505180,6212,505180
228,578,506180,6212,506180
229,580,506830,6212,506830
230,582,507830,6212,507830
231,590,515830,6212,515830
232,592,516830,6212,516830
232,592,517830,6212,517830
233,594,518300,6212,518300
234,596,520300,6212,520300
234,596,521110,6212,521110
234,596,522110,6212,522110
235,598,523110,6212,523110
235,598,523570,6212,523570
236,600,524040,6212,524040
236,600,524040,6212,524040
236,600,524040,6212,524040
237,602,525040,6212,525040
237,602,526040,6212,526040
238,604,527040,6212,527040
238,604,527510,6212,527510
239,606,528510,6212,528510
239,606,529160,6212,529160
240,608,530160,6212,530160
240,608,531160,6212,531160
241,610,531810,6212,531810
241,610,532130,6212,532130
242,612,533130,6212,533130
242,612,534130,6212,534130
242,612,535130,6212,535130
242,612,535940,6212,535940
243,616,539940,6212,539940
243,616,540750,6212,540750
243,616,541070,6212,541070
244,624,549070,6212,549070
245,632,549070,6212,549070
245,632,549300,6212,549300
246,636,553300,6212,553300
246,636,553770,6212,553770
246,636,553770,6212,553770
246,636,554000,6212,554000
247,638,554470,6212,554470
247,638,555470,6212,555470
248,640,556470,6212,556470
248,640,557470,6212,557470
249,642,559470,6212,559470
250,644,560470,6212,560470
251,646,561470,6212,561470
252,648,562470,6212,562470
252,648,563470,6212,563470
253,650,564470,6212,564470
254,652,566470,6212,566470
254,652,566940,6212,566940
254,652,567940,6212,567940
254,652,568750,6212,568750
255,654,570750,6212,570750
256,656,571750,6212,571750
256,656,572750,6212,572750
257,664,580750,6212,580750
257,664,580750,6212,580750
258,666,582750,6212,582750
259,668,583400,6212,583400
259,668,584400,6212,584400
260,670,585400,6212,585400
260,670,586400,6212,586400
261,672,587400,6212,587400
261,672,588400,6212,588400
262,674,589400,6212,589400
262,674,589400,6212,589400
262,674,589400,6212,589400
263,682,597400,6212,597400
264,690,605400,6212,605400
264,690,606210,6212,606210
265,692,607020,6212,607020
266,694,609020,6212,609020
266,694,610020,6212,610020
267,702,618020,6212,618020
268,704,619020,6212,619020
268,704,619490,6212,619490
269,706,620490,6212,620490
269,706,620490,6212,620490
269,706,621490,6212,621490
269,706,621490,6212,621490
270,708,622490,6212,622490
270,708,623490,6212,623490
271,710,624490,6212,624490
271,710,625490,6212,625490
271,710,625960,6212,625960
272,712,627960,6212,627960
273,714,628430,6212,628430
273,714,629240,6212,629240
274,716,630240,6212,630240
275,720,634240,6212,634240
275,720,634240,6212,634240
275,720,634710,6212,634710
275,720,635710,6212,635710
276,722,636180,6212,636180
276,722,636990,6212,636990
277,724,637460,6212,637460
277,724,638270,6212,638270
277,724,638590,6212,638590
277,724,639060,6212,639060
278,726,640060,6212,640060
278,726,640380,6212,640380
279,728,640840,6212,640840
279,728,641840,6212,641840
279,728,642650,6212,642650
279,728,642760,6212,642760
280,730,643570,6212,643570
280,730,643890,6212,643890
280,730,644890,6212,644890
281,732,646890,6212,646890
281,732,646890,6212,646890
282,734,647890,6212,647890
282,734,648890,6212,648890
282,734,648890,6212,648890
283,736,649890,6212,649890
283,736,650700,6212,650700
284,744,658700,6212,658700
284,744,659020,6212,659020
285,746,660020,6212,660020
285,746,661020,6212,661020
286,748,662020,6212,662020
286,748,662830,6212,662830
287,750,663830,6212,663830
287,750,663830,6212,663830
288,752,664830,6212,664830
288,752,665830,6212,665830
288,752,666830,6212,666830
289,754,667640,6212,667640
289,754,667640,6212,667640
289,754,668640,6212,668640
290,756,668870,6212,668870
290,756,669870,6212,669870
291,758,670870,6212,670870
292,760,671870,6212,671870
292,760,672870,6212,672870
293,762,673870,6212,673870
293,762,674870,6212,674870
293,762,674870,6212,674870
293,762,675340,6212,675340
294,764,676340,6212,676340
294,764,677340,6212,677340
295,766,678340,6212,678340
295,766,678340,6212,678340
295,766,678560,6212,678560
295,766,679020,6212,679020
295,766,679490,6212,679490
296,768,680490,6212,680490
296,768,680810,6212,680810
296,768,681360,6212,681360
297,776,689360,6212,689360
297,776,689360,6212,689360
298,778,690170,6212,690170
299,782,694170,6212,694170
299,782,694170,6212,694170
300,784,695170,6212,695170
300,784,696170,6212,696170
301,786,697170,6212,697170
302,788,697640,6212,697640
302,788,698450,6212,698450
302,788,698770,6212,698770
303,790,699770,6212,699770
303,790,699990,6212,699990
304,792,701990,6212,701990
305,800,709990,6212,709990
306,808,717990,6212,717990
306,808,718990,6212,718990
307,810,719990,6212,719990
307,810,720990,6212,720990
308,812,721990,6212,721990
308,812,722990,6212,722990
309,814,723990,6212,723990
309,814,724990,6212,724990
310,816,725460,6212,725460
310,816,725780,6212,725780
310,816,726590,6212,726590
310,816,726910,6212,726910
311,818,727910,6212,727910
311,818,728720,6212,728720
312,820,729530,6212,729530
312,820,729750,6212,729750
312,820,730070,6212,730070
312,820,731070,6212,731070
313,822,732070,6212,732070
313,822,733070,6212,733070
314,824,734070,6212,734070
314,824,734230,6212,734230
314,824,734820,6212,734820
315,826,736820,6212,736820
316,828,737820,6212,737820
317,830,738820,6212,738820
317,830,739040,6212,739040
317,830,739850,6212,739850
317,830,740320,6212,740320
317,830,740640,6212,740640
317,830,741290,6212,741290
317,830,741750,6212,741750
318,832,742560,6212,742560
318,832,743560,6212,743560
319,834,744210,6212,744210
319,834,745210,6212,745210
320,836,746020,6212,746020
320,836,747020,6212,747020
321,838,748020,6212,748020
321,838,748490,6212,748490
321,838,748720,6212,748720
322,840,749720,6212,749720
322,840,749720,6212,749720
322,840,750190,6212,750190
322,840,751190,6212,751190
323,848,759190,6212,759190
324,850,760190,6212,760190
324,850,760660,6212,760660
324,850,761130,6212,761130
325,852,761600,6212,761600
325,852,762600,6212,762600
325,852,763070,6212,763070
326,854,764070,6212,764070
327,856,765070,6212,765070
327,856,765070,6212,765070
327,856,765390,6212,765390
327,856,766390,6212,766390
327,856,766710,6212,766710
327,856,766710,6212,766710
328,858,767710,6212,767710
328,858,768710,6212,768710
329,860,769710,6212,769710
329,860,769710,6212,769710
329,860,770710,6212,770710
330,862,771710,6212,771710
330,862,772710,6212,772710
331,864,773710,6212,773710
332,866,775710,6212,775710
333,868,776180,6212,776180
333,868,777180,6212,777180
334,876,785180,6212,785180
335,878,786180,6212,786180
335,878,787180,6212,787180
336,880,788180,6212,788180
336,880,788990,6212,788990
337,882,789800,6212,789800
337,882,790800,6212,790800
338,884,791800,6212,791800
338,884,792800,6212,792800
339,886,793450,6212,793450
339,886,794100,6212,794100
339,886,794560,6212,794560
340,888,795370,6212,795370
340,888,795530,6212,795530
340,888,796340,6212,796340
341,890,797150,6212,797150
341,890,798150,6212,798150
342,892,799150,6212,799150
342,892,799470,6212,799470
342,892,800470,6212,800470
343,894,801470,6212,801470
343,894,802280,6212,802280
344,898,806280,6212,806280
345,900,807280,6212,807280
345,900,807500,6212,807500
345,900,808500,6212,808500
345,900,808500,6212,808500
346,902,809500,6212,809500
346,902,809500,6212,809500
347,910,817500,6212,817500
347,910,818500,6212,818500
348,912,819500,6212,819500
348,912,820050,6212,820050
349,914,821050,6212,821050
349,914,821860,6212,821860
350,916,822860,6212,822860
350,916,823860,6212,823860
351,918,824330,6212,824330
351,918,825330,6212,825330
352,920,826330,6212,826330
352,920,827330,6212,827330
353,922,828330,6212,828330
353,922,828330,6212,828330
353,922,828800,6212,828800
353,922,829800,6212,829800
354,924,830800,6212,830800
354,924,830800,6212,830800
354,924,831800,6212,831800
355,926,832610,6212,832610
356,934,840610,6212,840610
356,934,841610,6212,841610
356,934,841610,6212,841610
357,936,842420,6212,842420
357,936,843420,6212,843420
358,938,844420,6212,844420
358,938,845420,6212,845420
359,940,846230,6212,846230
360,948,846230,6212,846230
360,948,846230,6212,846230
360,948,847230,6212,847230
361,950,848230,6212,848230
361,950,849230,6212,849230
362,952,850230,6212,850230
362,952,850230,6212,850230
362,952,850230,6212,850230
362,952,851040,6212,851040
363,954,851510,6212,851510
363,954,852320,6212,852320
364,956,853320,6212,853320
364,956,854320,6212,854320
364,956,854550,6212,854550
365,958,855550,6212,855550
365,958,856200,6212,856200
366,960,857200,6212,857200
366,960,857850,6212,857850
367,968,865850,6212,865850
368,970,866220,6212,866220
368,970,866220,6212,866220
368,970,866220,6212,866220
368,970,866220,6212,866220
368,970,867220,6212,867220
369,972,868030,6212,868030
369,972,869030,6212,869030
370,974,869840,6212,869840
370,974,870650,6212,870650
370,974,870970,6212,870970
370,974,871290,6212,871290
371,976,872290,6212,872290
372,984,880290,6212,880290
372,984,880760,6212,880760
372,984,881230,6212,881230
373,986,882230,6212,882230
373,986,883230,6212,883230
373,986,883230,6212,883230
374,988,884040,6212,884040
375,990,886040,6212,886040
375,990,887040,6212,887040
375,990,887040,6212,887040
375,990,887500,6212,887500
376,992,888090,6212,888090
376,992,888090,6212,888090
377,1000,896090,6212,896090
377,1000,896090,6212,896090
377,1000,896320,6212,896320
377,1000,896320,6212,896320
377,1000,896970,6212,896970
378,1002,897780,6212,897780
378,1002,898240,6212,898240
379,1004,899240,6212,899240
379,1004,899710,6212,899710
379,1004,900030,6212,900030
379,1004,901030,6212,901030
380,1006,901840,6212,901840
380,1006,902650,6212,902650
381,1008,903120,6212,903120
381,1008,904120,6212,904120
382,1010,906120,6212,906120
383,1012,907120,6212,907120
383,1012,907590,6212,907590
383,1012,908590,6212,908590
383,1012,908590,6212,908590
383,1012,908590,6212,908590
383,1012,908590,6212,908590
384,1014,909590,6212,909590
384,1014,910060,6212,910060
385,1016,911060,6212,911060
385,1016,911530,6212,911530
385,1016,912000,6212,912000
386,1018,913000,6212,913000
386,1018,914000,6212,914000
387,1020,915000,6212,915000
387,1020,916000,6212,916000
388,1022,917000,6212,917000
388,1022,918000,6212,918000
388,1022,918000,6212,918000
389,1024,919000,6212,919000
389,1024,919590,6212,919590
390,1026,920400,6212,920400
391,1034,928400,6212,928400
391,1034,929400,6212,929400
392,1038,933400,6212,933400
392,1038,933400,6212,933400
393,1040,934050,6212,934050
393,1040,934700,6212,934700
394,1042,935700,6212,935700
394,1042,936700,6212,936700
395,1044,937700,6212,937700
396,1052,945700,6212,945700
397,1056,949700,6212,949700
397,1056,949920,6212,949920
397,1056,950140,6212,950140
398,1058,951140,6212,951140
399,1066,959140,6212,959140
399,1066,959140,6212,959140
399,1066,959610,6212,959610
399,1066,960610,6212,960610
400,1074,968610,6212,968610
401,1078,972610,6212,972610
402,1080,973610,6212,973610
402,1080,974420,6212,974420
402,1080,974420,6212,974420
403,1082,975420,6212,975420
403,1082,975420,6212,975420
403,1082,975890,6212,975890
403,1082,976350,6212,976350
404,1090,984350,6212,984350
405,1092,985350,6212,985350
405,1092,985350,6212,985350
405,1092,985820,6212,985820
405,1092,986820,6212,986820
406,1094,987820,6212,987820
406,1094,988470,6212,988470
406,1094,988790,6212,988790
407,1096,989790,6212,989790
407,1096,990600,6212,990600
408,1098,991600,6212,991600
408,1098,992600,6212,992600
409,1100,993600,6212,993600
409,1100,994410,6212,994410
410,1102,995410,6212,995410
410,1102,996410,6212,996410
411,1106,1000410,6212,1000410
412,1108,1001220,6212,1001220
412,1108,1002030,6212,1002030
413,1110,1002840,6212,1002840
413,1110,1003840,6212,1003840
414,1112,1004840,6212,1004840
414,1112,1005840,6212,1005840
414,1112,1006310,6212,1006310
414,1112,1006310,6212,1006310
415,1114,1006780,6212,1006780
415,1114,1007780,6212,1007780
415,1114,1008250,6212,1008250
415,1114,1008250,6212,1008250
416,1122,1016250,6212,1016250
417,1124,1016900,6212,1016900
417,1124,1017900,6212,1017900
418,1126,1018710,6212,1018710
418,1126,1019710,6212,1019710
419,1128,1020710,6212,1020710
419,1128,1021030,6212,1021030
420,1130,1023030,6212,1023030
420,1130,1023030,6212,1023030
420,1130,1024030,6212,1024030
421,1132,1024500,6212,1024500
421,1132,1025500,6212,1025500
422,1134,1026500,6212,1026500
422,1134,1027310,6212,1027310
422,1134,1027310,6212,1027310
423,1136,1028310,6212,1028310
424,1144,1036310,6212,1036310
424,1144,1036780,6212,1036780
424,1144,1037430,6212,1037430
425,1146,1039430,6212,1039430
426,1148,1040430,6212,1040430
427,1152,1044430,6212,1044430
428,1154,1045240,6212,1045240
428,1154,1046240,6212,1046240
428,1154,1046240,6212,1046240
428,1154,1046470,6212,1046470
429,1156,1047470,6212,1047470
429,1156,1047470,6212,1047470
429,1156,1048280,6212,1048280
430,1158,1049280,6212,1049280
430,1158,1050280,6212,1050280
430,1158,1050280,6212,1050280
430,1158,1050510,6212,1050510
430,1158,1050510,6212,1050510
431,1160,1051510,6212,1051510
431,1160,1051980,6212,1051980
432,1162,1052790,6212,1052790
433,1170,1060790,6212,1060790
433,1170,1061790,6212,1061790
434,1172,1063790,6212,1063790
434,1172,1064160,6212,1064160
434,1172,1064160,6212,1064160
